============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R166 c4 b760 m7557.0 rB
R167 c3 b612 m6797.0 rL
R168 c4 b620 m6185.0 rW
R169 c3 b621 m6805.0 rH
R170 c2 b558 m6184.0 rW
R171 c0 b408 m6742.0 rU
R172 c1 b504 m7150.0 rB
R173 c1 b469 m6646.0 rW
R174 c0 b504 m7115.0 rU
R175 c0 b539 m7619.0 rU
R176 c1 b574 m8158.0 rH
R177 c0 b456 m7584.0 rL
R178 c2 b648 m7128.0 rJ
R179 c1 b648 m8100.0 rL
R180 c0 b525 m7452.0 rJ
R181 c0 b498 m8240.0 rH
R182 c0 b468 m7742.0 rS
R183 c-1 b380 m7508.0 rH
R184 c-1 b360 m7128.0 rL
R185 c-3 b272 m6768.0 rL
R186 c-2 b315 m6224.0 rW
R187 c-4 b198 m6539.0 rL
R188 c-3 b256 m6341.0 rD
R189 c-4 b192 m6341.0 rL
R190 c-1 b300 m5957.0 rB
R191 c-1 b285 m5657.0 rS
R192 c-1 b280 m5514.5 rL
R193 c0 b318 m5234.5 rW
R194 c-1 b280 m5552.5 rU
R195 c-2 b295 m5832.5 rL
R196 c-1 b280 m5537.5 rU
R197 c-2 b295 m5817.5 rD
R198 c-3 b236 m5817.5 rW
R199 c-1 b315 m6289.5 rU
R200 c0 b402 m6604.5 rU
R201 c0 b497 m7006.5 rL
R202 c1 b528 m6509.5 rJ
R203 c0 b444 m7301.5 rS
R204 c0 b426 m7079.5 rL
R205 c-1 b335 m6653.5 rW
R206 c0 b490 m6988.5 rL
R207 c1 b520 m6498.5 rS
R208 c1 b504 m6238.5 rL
R209 c0 b406 m5734.5 rH
R210 c1 b432 m5328.5 rL
R211 c2 b392 m4896.5 rW
R212 c1 b424 m5288.5 rS
R213 c1 b357 m5076.5 rU
R214 c1 b440 m5433.5 rL
R215 c0 b350 m4993.5 rW
R216 c1 b432 m5343.5 rU
R217 c0 b406 m5775.5 rU
R218 c0 b434 m6181.5 rW
R219 c1 b469 m6615.5 rU
R220 c1 b497 m7084.5 rU
R221 c1 b648 m8078.5 rJ
R222 c1 b637 m9050.5 rB
