============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: H
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rH
R2 c1 b616 m8800 rS
R3 c1 b680 m8492.0 rU
R4 c2 b736 m9172.0 rD
R5 c0 b644 m9172.0 rW
R6 c2 b945 m10460.0 rS
R7 c1 b800 m9987.5 rB
R8 c0 b644 m9187.5 rL
R9 c1 b553 m7899.5 rH
R10 c-1 b370 m7346.5 rU
R11 c-1 b390 m7716.5 rS
R12 c-1 b380 m7521.5 rU
R13 c-1 b400 m7901.5 rB
R14 c-1 b380 m7501.5 rH
R15 c0 b432 m7121.5 rL
R16 c-2 b335 m6689.5 rL
R17 c0 b448 m6354.5 rW
R18 c0 b414 m6802.5 rU
R19 c0 b438 m7216.5 rS
R20 c0 b420 m6997.5 rB
R21 c0 b462 m6577.5 rW
R22 c0 b426 m7039.5 rW
R23 c0 b553 m7891.5 rL
R24 c0 b518 m7338.5 rW
R25 c1 b672 m8374.5 rB
R26 c1 b546 m7702.5 rL
R27 c2 b648 m7156.5 rW
R28 c2 b711 m7804.5 rS
R29 c2 b600 m7449.0 rL
R30 c2 b621 m6849.0 rJ
R31 c2 b702 m7781.0 rW
R32 c3 b765 m8483.0 rH
R33 c3 b702 m7718.0 rU
R34 c4 b828 m9122.0 rS
R35 c3 b792 m8708.0 rL
R36 c3 b720 m7916.0 rW
R37 c3 b846 m9356.0 rB
R38 c2 b774 m8510.0 rU
R39 c3 b837 m9284.0 rD
R40 c2 b837 m9284.0 rS
R41 c1 b712 m8865.5 rL
R42 c0 b574 m8153.5 rU
R43 c2 b846 m9301.5 rL
R44 c3 b693 m7609.5 rL
R45 c3 b567 m6223.5 rW
R46 c3 b612 m6790.5 rB
R47 c3 b558 m6178.5 rL
R48 c4 b570 m5620.5 rS
R49 c4 b540 m5335.5 rB
R50 c4 b432 m4795.5 rU
R51 c3 b477 m5227.5 rU
R52 c3 b522 m5704.5 rB
R53 c3 b468 m5182.5 rW
R54 c4 b570 m5650.5 rW
R55 c4 b680 m6790.5 rU
R56 c3 b675 m7470.5 rW
R57 c3 b738 m8145.5 rB
R58 c4 b675 m7407.5 rD
R59 c2 b600 m7407.5 rL
R60 c1 b552 m6807.5 rW
R61 c1 b592 m7359.5 rS
R62 c1 b568 m7063.5 rW
R63 c0 b462 m7631.5 rL
R64 c0 b432 m7169.5 rH
R65 c1 b544 m6737.5 rU
R66 c1 b584 m7281.5 rW
R67 c1 b553 m7865.5 rW
R68 c0 b595 m8418.5 rL
R69 c1 b553 m7823.5 rU
R70 c0 b588 m8376.5 rU
R71 c0 b630 m8964.5 rD
R72 c0 b540 m8964.5 rU
R73 c-1 b480 m9504.5 rU
R74 c-1 b525 m10464.5 rS
R75 c-1 b515 m10202.0 rB
R76 c-1 b485 m9687.0 rJ
R77 c-1 b525 m10415.0 rL
R78 c0 b564 m9365.0 rL
R79 c0 b623 m8801.0 rU
R80 c0 b570 m9424.0 rU
R81 c0 b700 m9994.0 rU
R82 c-1 b535 m10694.0 rB
R83 c-2 b510 m10159.0 rW
R84 c-1 b560 m11179.0 rW
R85 c-1 b590 m11739.0 rW
R86 c-1 b620 m12329.0 rW
R87 c0 b780 m12949.0 rB
R88 c0 b854 m12169.0 rL
R89 c-1 b570 m11315.0 rW
R90 c-2 b595 m11885.0 rJ
R91 c-4 b384 m12778.0 rU
R92 c-2 b660 m13162.0 rS
R93 c-3 b516 m12832.0 rD
R94 c-2 b645 m12832.0 rW
R95 c-1 b675 m13477.0 rW
R96 c1 b1192 m14827.0 rU
R97 c0 b1127 m16019.0 rS
R98 c0 b930 m15455.5 rS
R99 c0 b900 m14990.5 rW
R100 c0 b954 m15890.5 rD
R101 c0 b954 m15890.5 rB
R102 c0 b900 m14936.5 rL
R103 c0 b792 m13136.5 rL
R104 c0 b744 m12344.5 rB
R105 c0 b702 m11600.5 rB
R106 c0 b654 m10898.5 rS
R107 c-1 b530 m10571.5 rJ
R108 c-2 b570 m11366.5 rH
R109 c-2 b540 m10796.5 rW
R110 c-3 b456 m11336.5 rB
R111 c-3 b436 m10880.5 rW
R112 c-1 b590 m11752.5 rL
R113 c0 b636 m10572.5 rW
R114 c0 b678 m11208.5 rB
R115 c-1 b530 m10530.5 rB
R116 c-1 b505 m10000.5 rL
R117 c-1 b475 m9495.5 rW
R118 c0 b600 m9970.5 rL
R119 c1 b752 m9370.5 rW
R120 c2 b872 m10874.5 rL
R121 c1 b808 m10002.5 rU
R122 c2 b936 m11618.5 rH
R123 c2 b963 m10682.5 rL
R124 c1 b784 m9719.5 rU
R125 c0 b742 m10503.5 rL
R126 c2 b882 m9761.5 rH
R127 c1 b640 m7997.5 rH
R128 c1 b592 m7357.5 rU
R129 c2 b688 m8541.5 rW
R130 c1 b744 m9229.5 rS
R131 c1 b623 m8857.5 rL
R132 c2 b747 m8234.5 rW
R133 c2 b810 m8981.5 rL
R134 c2 b738 m8171.5 rW
R135 c0 b630 m8909.5 rU
R136 c1 b768 m9539.5 rU
R137 c1 b832 m10307.5 rW
R138 c0 b672 m11139.5 rL
R139 c0 b686 m9795.5 rU
R140 c1 b840 m10481.5 rU
R141 c1 b976 m12161.5 rD
R142 c0 b732 m12161.5 rL
R143 c1 b856 m10697.5 rB
R144 c2 b891 m9841.5 rB
R145 c1 b720 m8950.5 rW
R146 c3 b936 m10390.5 rW
R147 c1 b912 m11326.5 rW
R148 c1 b984 m12238.5 rJ
R149 c0 b966 m13714.5 rW
R150 c0 b882 m14680.5 rU
R151 c0 b936 m15562.5 rL
R152 c0 b1029 m14626.5 rH
R153 c0 b816 m13597.5 rH
R154 c0 b896 m12781.5 rL
R155 c1 b833 m11885.5 rJ
R156 c0 b792 m13135.5 rD
R157 c0 b792 m13135.5 rH
R158 c0 b744 m12343.5 rU
R159 c0 b786 m13087.5 rW
R160 c0 b834 m13873.5 rS
R161 c0 b810 m13456.5 rH
R162 c0 b762 m12646.5 rU
R163 c-1 b675 m13408.5 rS
R164 c-1 b655 m13071.0 rL
R165 c0 b750 m12416.0 rU
R166 c-2 b660 m13166.0 rU
R167 c0 b973 m13826.0 rL
R168 c1 b1032 m12853.0 rW
R169 c0 b973 m13885.0 rJ
R170 c0 b924 m15345.0 rU
R171 c1 b1141 m16269.0 rU
R172 c0 b1225 m17410.0 rD
R173 c-1 b875 m17410.0 rH
R174 c-1 b830 m16535.0 rW
R175 c0 b1218 m17365.0 rD
R176 c0 b1218 m17365.0 rL
R177 c0 b972 m16147.0 rL
R178 c1 b1001 m14203.0 rU
R179 c1 b1224 m15204.0 rS
R180 c1 b1168 m14592.0 rU
R181 c1 b1264 m15760.0 rH
R182 c2 b1305 m14496.0 rL
R183 c3 b1188 m13191.0 rW
R184 c2 b1296 m14379.0 rB
R185 c2 b1179 m13083.0 rW
R186 c2 b1287 m14262.0 rU
R187 c2 b1521 m16836.0 rU
R188 c3 b1656 m18357.0 rB
R189 c3 b1512 m16701.0 rS
R190 c3 b1440 m15945.0 rU
R191 c4 b1740 m17385.0 rW
R192 c3 b1728 m19125.0 rW
R193 c3 b1881 m20853.0 rH
R194 c2 b1710 m18972.0 rW
R195 c0 b1242 m20682.0 rU
R196 c0 b1540 m21924.0 rU
R197 c1 b2008 m25004.0 rU
R198 c0 b1626 m27012.0 rW
R199 c2 b2727 m30264.0 rL
R200 c3 b2484 m27537.0 rU
R201 c3 b2709 m30021.0 rW
R202 c1 b2624 m32730.0 rL
R203 c0 b2114 m30106.0 rW
R204 c0 b2261 m32220.0 rL
R205 c1 b2216 m27698.0 rB
R206 c0 b1785 m25482.0 rD
R207 c-1 b1275 m25482.0 rL
R208 c-2 b1215 m24207.0 rW
R209 c-1 b1275 m25422.0 rU
R210 c-2 b1335 m26697.0 rH
R211 c-2 b1270 m25362.0 rL
R212 c-2 b1205 m24092.0 rS
R213 c-2 b1175 m23489.5 rU
R214 c-3 b988 m24664.5 rW
R215 c-1 b1285 m25652.5 rW
R216 c0 b1890 m26937.5 rL
R217 c2 b2088 m23157.5 rD
R218 c2 b2088 m23157.5 rD
R219 c2 b2088 m23157.5 rW
R220 c3 b2277 m25245.5 rH
R221 c4 b2300 m22968.5 rW
R222 c3 b2277 m25268.5 rJ
R223 c1 b2296 m28684.5 rW
R224 c0 b1860 m30980.5 rU
R225 c0 b2088 m34700.5 rB
R226 c0 b1962 m32612.5 rH
R227 c0 b1722 m28688.5 rL
R228 c0 b1620 m26966.5 rD
R229 c0 b1620 m26966.5 rU
R230 c0 b1716 m28586.5 rU
R231 c0 b1824 m30302.5 rL
R232 c0 b1869 m26654.5 rL
R233 c0 b1736 m24785.5 rS
R234 c0 b1680 m23917.5 rU
R235 c0 b1536 m25597.5 rJ
R236 c-1 b1400 m27901.5 rH
R237 c0 b1764 m25101.5 rS
R238 c0 b1701 m24219.5 rL
R239 c0 b1582 m22518.5 rL
R240 c1 b1680 m20936.5 rW
R241 c2 b1944 m24296.5 rU
R242 c2 b2367 m26240.5 rB
R243 c2 b2151 m23873.5 rH
R244 c3 b1764 m19571.5 rB
R245 c3 b1611 m17807.5 rL
R246 c2 b1458 m16196.5 rB
R247 c2 b1184 m14738.5 rL
R248 c0 b952 m13554.5 rW
R249 c1 b1168 m14506.5 rS
R250 c1 b1120 m13922.5 rL
R251 c1 b1032 m12802.5 rB
R252 c2 b1062 m11770.5 rH
