============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: H
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rD
R2 c0 b700 m10000 rW
R3 c0 b642 m10700 rB
R4 c-1 b505 m10058 rD
R5 c-1 b505 m10058 rU
R6 c0 b636 m10563 rJ
R7 c-2 b580 m11517 rS
R8 c-2 b565 m11227.0 rS
R9 c-2 b550 m10944.5 rB
R10 c-2 b520 m10394.5 rU
R11 c-2 b550 m10914.5 rL
R12 c-2 b520 m10364.5 rS
R13 c-2 b510 m10104.5 rS
R14 c-2 b495 m9849.5 rL
R15 c-2 b470 m9354.5 rB
R16 c-2 b445 m8884.5 rL
R17 c-2 b425 m8439.5 rL
R18 c-1 b405 m8014.5 rW
R19 c-2 b425 m8419.5 rW
R20 c-2 b445 m8844.5 rU
R21 c-2 b465 m9289.5 rH
R22 c-3 b356 m8824.5 rD
R23 c-1 b445 m8824.5 rW
R24 c-2 b465 m9269.5 rB
R25 c-3 b356 m8804.5 rU
R26 c-3 b368 m9160.5 rW
R27 c-3 b396 m9896.5 rW
R28 c-3 b428 m10688.5 rU
R29 c-2 b560 m11116.5 rH
R30 c-2 b530 m10556.5 rH
R31 c-2 b505 m10026.5 rW
R32 c-3 b424 m10531.5 rW
R33 c-5 b330 m10955.5 rU
R34 c-5 b339 m11285.5 rB
R35 c-4 b330 m10946.5 rW
R36 c-5 b339 m11276.5 rU
R37 c-4 b351 m11615.5 rL
R38 c-4 b330 m10913.5 rU
R39 c-4 b339 m11243.5 rL
R40 c-3 b440 m10904.5 rL
R41 c-2 b505 m10024.5 rW
R42 c-1 b530 m10529.5 rB
R43 c-1 b500 m9999.5 rU
R44 c-2 b525 m10499.5 rB
R45 c-3 b400 m9974.5 rU
R46 c-4 b312 m10374.5 rU
R47 c-4 b321 m10686.5 rL
R48 c-4 b303 m10044.5 rL
R49 c-3 b392 m9741.5 rU
R50 c-3 b408 m10133.5 rJ
R51 c-3 b432 m10745.5 rU
R52 c-2 b560 m11177.5 rU
R53 c-1 b590 m11737.5 rW
R54 c-2 b620 m12327.5 rW
R55 c-2 b650 m12947.5 rW
R56 c-2 b680 m13597.5 rS
R57 c-2 b665 m13257.5 rB
R58 c-3 b504 m12592.5 rL
R59 c-3 b464 m11584.5 rW
R60 c-2 b605 m12048.5 rL
R61 c-3 b436 m10838.5 rL
R62 c-2 b525 m10402.5 rH
R63 c-4 b297 m9877.5 rU
R64 c-2 b510 m10174.5 rB
R65 c-2 b485 m9664.5 rB
R66 c-3 b368 m9179.5 rW
R67 c-3 b400 m9915.5 rW
R68 c-1 b540 m10715.5 rW
R69 c-2 b565 m11255.5 rH
R70 c-2 b535 m10690.5 rS
R71 c-3 b420 m10423.0 rW
R72 c-3 b452 m11263.0 rW
R73 c-4 b354 m11715.0 rL
R74 c-4 b333 m11007.0 rW
R75 c-3 b468 m11673.0 rU
R76 c-2 b610 m12141.0 rH
R77 c-4 b348 m11531.0 rU
R78 c-3 b476 m11879.0 rD
R79 c-3 b476 m11879.0 rL
R80 c-2 b575 m11403.0 rL
R81 c-1 b545 m10828.0 rD
R82 c-2 b545 m10828.0 rL
R83 c0 b618 m10283.0 rL
R84 c-1 b485 m9665.0 rD
R85 c-2 b485 m9665.0 rL
R86 c-1 b460 m9180.0 rH
R87 c-2 b440 m8720.0 rL
R88 c-2 b415 m8280.0 rU
R89 c-2 b435 m8695.0 rJ
R90 c-1 b470 m9348.0 rU
R91 c0 b721 m10288.0 rU
R92 c0 b777 m11009.0 rL
R93 c0 b721 m10232.0 rD
R94 c0 b618 m10232.0 rS
R95 c-1 b500 m9923.0 rW
R96 c0 b630 m10423.0 rH
R97 c-1 b490 m9793.0 rU
R98 c-3 b412 m10283.0 rL
R99 c-2 b475 m9459.0 rB
R100 c-1 b450 m8984.0 rL
R101 c-3 b344 m8534.0 rL
R102 c-1 b410 m8190.0 rD
R103 c-3 b328 m8190.0 rW
R104 c-2 b430 m8518.0 rL
R105 c-1 b385 m7658.0 rB
R106 c-1 b365 m7273.0 rB
R107 c-2 b350 m6908.0 rU
R108 c-2 b365 m7258.0 rL
R109 c-1 b345 m6893.0 rD
R110 c-2 b345 m6893.0 rB
R111 c-3 b264 m6548.0 rW
R112 c-4 b207 m6812.0 rH
R113 c-3 b268 m6605.0 rH
R114 c-5 b192 m6337.0 rL
R115 c-4 b186 m6145.0 rW
R116 c-3 b256 m6331.0 rU
R117 c-2 b330 m6587.0 rD
R118 c-3 b264 m6587.0 rL
R119 c-2 b320 m6323.0 rL
R120 c-2 b305 m6003.0 rB
R121 c-2 b285 m5698.0 rH
R122 c-2 b275 m5413.0 rB
R123 c-1 b260 m5138.0 rW
R124 c-3 b216 m5398.0 rW
R125 c-3 b228 m5614.0 rL
R126 c-4 b162 m5386.0 rH
R127 c-2 b255 m5062.0 rL
R128 c-1 b245 m4807.0 rW
R129 c-2 b255 m5052.0 rH
R130 c-3 b192 m4797.0 rJ
R131 c-5 b153 m5085.0 rL
R132 c-5 b150 m4932.0 rL
R133 c-4 b141 m4632.0 rU
R134 c-3 b192 m4773.0 rB
R135 c-3 b184 m4581.0 rU
R136 c-3 b192 m4765.0 rB
R137 c-4 b138 m4573.0 rB
R138 c-4 b135 m4435.0 rW
R139 c-5 b138 m4570.0 rU
R140 c-5 b147 m4846.0 rW
R141 c-5 b156 m5140.0 rD
R142 c-3 b208 m5140.0 rB
R143 c-2 b250 m4932.0 rU
R144 c-3 b208 m5182.0 rW
R145 c-2 b270 m5390.0 rH
R146 c-3 b208 m5120.0 rB
R147 c-3 b200 m4912.0 rW
R148 c-5 b156 m5112.0 rU
R149 c-5 b159 m5268.0 rU
R150 c-6 b110 m5427.0 rB
R151 c-6 b108 m5317.0 rS
R152 c-7 b106 m5263.0 rD
R153 c-4 b159 m5263.0 rD
R154 c-5 b159 m5263.0 rH
R155 c-4 b150 m4945.0 rW
R156 c-4 b159 m5245.0 rU
R157 c-3 b220 m5404.0 rU
R158 c-2 b295 m5844.0 rH
R159 c-1 b280 m5549.0 rL
R160 c-2 b265 m5269.0 rU
R161 c-1 b290 m5799.0 rS
R162 c-1 b285 m5654.0 rW
R163 c-1 b300 m5939.0 rL
R164 c-2 b285 m5639.0 rW
R165 c0 b378 m6209.0 rW
R166 c0 b396 m6587.0 rD
R167 c0 b396 m6587.0 rJ
R168 c-1 b360 m7181.0 rL
R169 c0 b455 m6461.0 rW
R170 c2 b666 m7371.0 rB
R171 c3 b612 m6705.0 rD
R172 c1 b476 m6705.0 rJ
R173 c0 b450 m7419.0 rB
R174 c-1 b350 m6969.0 rH
R175 c-1 b335 m6619.0 rJ
R176 c0 b432 m7122.0 rS
R177 c-1 b350 m6906.0 rB
R178 c-1 b330 m6556.0 rJ
R179 c0 b426 m7051.0 rB
R180 c0 b402 m6625.0 rS
R181 c0 b390 m6424.0 rB
R182 c-1 b305 m6034.0 rW
R183 c-1 b320 m6339.0 rU
R184 c-1 b335 m6659.0 rH
R185 c-3 b256 m6324.0 rU
R186 c-1 b345 m6836.0 rW
R187 c0 b432 m7181.0 rS
R188 c-1 b350 m6965.0 rU
R189 c-1 b370 m7315.0 rW
R190 c0 b462 m7685.0 rB
R191 c0 b511 m7223.0 rD
R192 c-1 b365 m7223.0 rU
R193 c-2 b380 m7588.0 rL
R194 c-1 b365 m7208.0 rL
R195 c-3 b276 m6843.0 rW
R196 c-3 b288 m7119.0 rH
R197 c-2 b345 m6831.0 rB
R198 c-2 b325 m6486.0 rU
R199 c-3 b276 m6811.0 rU
R200 c-1 b355 m7087.0 rU
R201 c-1 b375 m7442.0 rW
R202 c-2 b395 m7817.0 rB
R203 c-1 b375 m7422.0 rL
R204 c-1 b355 m7047.0 rU
R205 c-2 b375 m7402.0 rL
R206 c-4 b213 m7027.0 rU
R207 c-4 b219 m7240.0 rS
R208 c-5 b216 m7130.5 rW
R209 c-4 b222 m7346.5 rU
R210 c-5 b228 m7568.5 rL
R211 c-4 b216 m7112.5 rL
R212 c-5 b207 m6896.5 rL
R213 c-5 b201 m6689.5 rU
R214 c-6 b138 m6890.5 rL
R215 c-5 b201 m6614.5 rU
R216 c-5 b207 m6815.5 rJ
R217 c-6 b144 m7126.5 rL
R218 c-5 b207 m6838.5 rW
R219 c-3 b284 m7045.5 rW
R220 c-4 b222 m7329.5 rL
R221 c-4 b216 m7107.5 rB
R222 c-4 b207 m6891.5 rL
R223 c-3 b268 m6684.5 rL
R224 c-1 b325 m6416.5 rD
R225 c0 b390 m6416.5 rU
R226 c0 b414 m6806.5 rJ
R227 c-1 b375 m7427.5 rL
R228 c1 b536 m6677.5 rL
R229 c2 b558 m6141.5 rD
R230 c0 b434 m6141.5 rB
R231 c0 b348 m5707.5 rU
R232 c-2 b305 m6055.5 rL
R233 c-1 b290 m5750.5 rW
R234 c-2 b305 m6040.5 rS
R235 c-1 b295 m5888.0 rL
R236 c-1 b280 m5593.0 rH
R237 c-1 b270 m5313.0 rU
R238 c-2 b280 m5583.0 rW
R239 c-2 b295 m5863.0 rW
R240 c-2 b310 m6158.0 rL
R241 c-2 b295 m5848.0 rB
R242 c-2 b280 m5553.0 rB
R243 c-3 b212 m5273.0 rW
R244 c-5 b165 m5485.0 rU
R245 c-7 b114 m5650.0 rS
R246 c-7 b112 m5593.0 rU
R247 c-7 b116 m5705.0 rL
R248 c-4 b168 m5589.0 rW
