============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: X
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rL
R2 c0 b564 m9400 rU
R3 c0 b700 m9964 rU
R4 c0 b642 m10664 rL
R5 c0 b606 m10022 rU
R6 c0 b749 m10628 rD
R7 c0 b749 m10628 rW
R8 c-1 b570 m11377 rL
R9 c-2 b545 m10807 rH
R10 c0 b588 m9717 rJ
R11 c-1 b530 m10599 rW
R12 c-3 b448 m11129 rU
R13 c-2 b580 m11577 rU
R14 c-1 b640 m12737 rL
R15 c0 b726 m12097 rH
R16 c2 b1026 m11371 rL
R17 c3 b936 m10345 rL
R18 c2 b855 m9409 rL
R19 c3 b774 m8554 rU
R20 c0 b658 m9328 rL
R21 c0 b609 m8670 rL
R22 c1 b648 m8061 rH
R23 c0 b525 m7413 rL
R24 c1 b552 m6888 rL
R25 c2 b576 m6336 rL
R26 c1 b464 m5760 rU
R27 c0 b441 m6224 rL
R28 c0 b406 m5783 rB
R29 c0 b378 m5377 rW
R30 c0 b406 m5755 rW
R31 c0 b434 m6161 rU
R32 c0 b497 m7029 rW
R33 c-1 b380 m7526 rS
R34 c0 b444 m7336.0 rH
R35 c2 b621 m6892.0 rU
R36 c0 b532 m7513.0 rU
R37 c-1 b405 m8045.0 rD
R38 c-2 b405 m8045.0 rH
R39 c0 b462 m7640.0 rL
R40 c1 b576 m7178.0 rL
R41 c2 b603 m6602.0 rJ
R42 c1 b608 m7507.0 rU
R43 c1 b656 m8115.0 rH
R44 c0 b525 m7459.0 rU
R45 c0 b480 m7984.0 rJ
R46 c-1 b440 m8704.0 rB
R47 c-3 b332 m8264.0 rW
R48 c-4 b258 m8596.0 rU
R49 c-4 b267 m8854.0 rU
R50 c-3 b376 m9388.0 rH
R51 c-2 b435 m8636.0 rS
R52 c-3 b340 m8418.5 rD
R53 c-4 b255 m8418.5 rH
R54 c-5 b240 m7908.5 rH
R55 c-2 b385 m7668.5 rS
R56 c-3 b300 m7476.0 rS
R57 c-2 b370 m7326.0 rL
R58 c0 b462 m6586.0 rW
R59 c1 b568 m7048.0 rL
R60 c1 b520 m6480.0 rW
R61 c0 b490 m7000.0 rB
R62 c0 b396 m6510.0 rL
R63 c0 b434 m6114.0 rL
R64 c-1 b285 m5680.0 rU
R65 c-1 b300 m5965.0 rB
R66 c-1 b285 m5665.0 rJ
R67 c-1 b305 m6093.0 rW
R68 c-2 b320 m6398.0 rD
R69 c-4 b192 m6398.0 rW
R70 c-6 b132 m6590.0 rD
R71 c-5 b198 m6590.0 rL
R72 c-3 b256 m6392.0 rW
R73 c-2 b335 m6648.0 rU
R74 c-2 b350 m6983.0 rH
R75 c-3 b268 m6633.0 rL
R76 c-2 b320 m6365.0 rB
R77 c-1 b305 m6045.0 rU
R78 c-2 b320 m6350.0 rL
R79 c0 b348 m5710.0 rD
R80 c-1 b290 m5710.0 rU
R81 c-1 b300 m6000.0 rS
R82 c0 b413 m5850.0 rB
R83 c0 b385 m5437.0 rL
R84 c1 b408 m5052.0 rU
R85 c0 b385 m5460.0 rU
R86 c0 b354 m5845.0 rD
R87 c0 b354 m5845.0 rD
R88 c-3 b236 m5845.0 rH
R89 c-3 b228 m5609.0 rL
R90 c-1 b270 m5381.0 rW
R91 c0 b420 m5921.0 rS
R92 c0 b348 m5711.0 rH
R93 c0 b324 m5363.0 rU
R94 c3 b513 m5687.0 rD
R95 c2 b513 m5687.0 rB
R96 c1 b416 m5174.0 rW
R97 c1 b448 m5590.0 rS
R98 c1 b432 m5366.0 rJ
R99 c1 b488 m6014.0 rL
R100 c0 b336 m5526.0 rL
R101 c-1 b260 m5190.0 rW
R102 c0 b348 m5710.0 rU
R103 c-1 b305 m6058.0 rW
R104 c-2 b320 m6363.0 rW
R105 c-2 b335 m6683.0 rD
R106 c-2 b335 m6683.0 rB
R107 c-2 b320 m6348.0 rW
R108 c-3 b268 m6668.0 rL
R109 c-2 b320 m6400.0 rW
R110 c1 b568 m7040.0 rW
R111 c0 b539 m7608.0 rD
R112 c0 b539 m7608.0 rU
R113 c0 b574 m8147.0 rU
R114 c0 b528 m8721.0 rU
R115 c0 b558 m9249.0 rU
R116 c0 b693 m9807.0 rW
R117 c0 b784 m11193.0 rL
R118 c0 b735 m10409.0 rL
R119 c0 b679 m9674.0 rL
R120 c2 b810 m8995.0 rH
R121 c1 b656 m8185.0 rL
R122 c1 b608 m7529.0 rH
R123 c0 b490 m6921.0 rH
R124 c-1 b325 m6431.0 rU
R125 c-1 b340 m6756.0 rH
R126 c-2 b325 m6416.0 rU
R127 c0 b497 m7066.0 rH
R128 c0 b462 m6569.0 rW
R129 c1 b568 m7031.0 rW
R130 c0 b532 m7599.0 rW
R131 c0 b574 m8131.0 rB
R132 c0 b456 m7557.0 rL
R133 c-2 b360 m7101.0 rW
R134 c0 b474 m7821.0 rB
R135 c0 b518 m7347.0 rH
R136 c1 b552 m6829.0 rU
R137 c2 b720 m7933.0 rS
R138 c1 b608 m7573.0 rW
R139 c0 b574 m8181.0 rJ
R140 c0 b637 m9042.0 rL
R141 c0 b510 m8405.0 rL
R142 c-1 b395 m7895.0 rH
R143 c-1 b375 m7500.0 rU
R144 c0 b581 m8250.0 rB
R145 c0 b539 m7669.0 rW
R146 c1 b704 m8747.0 rL
R147 c2 b729 m8043.0 rL
R148 c0 b518 m7314.0 rB
R149 c0 b408 m6796.0 rL
R150 c0 b384 m6388.0 rU
R151 c2 b612 m6772.0 rL
R152 c3 b504 m5548.0 rB
R153 c4 b510 m5044.0 rD
R154 c3 b459 m5044.0 rU
R155 c2 b504 m5503.0 rW
R156 c0 b366 m6007.0 rH
R157 c-2 b285 m5641.0 rU
R158 c-1 b300 m5926.0 rL
R159 c-1 b285 m5626.0 rD
R160 c-1 b285 m5626.0 rW
R161 c1 b480 m5911.0 rJ
R162 c0 b469 m6631.0 rH
R163 c1 b496 m6162.0 rW
R164 c1 b536 m6658.0 rU
R165 c2 b702 m7730.0 rD
R166 c2 b702 m7730.0 rW
R167 c1 b680 m8432.0 rU
R168 c2 b828 m9112.0 rS
R169 c1 b696 m8698.0 rB
R170 c1 b648 m8002.0 rH
R171 c1 b592 m7354.0 rU
R172 c3 b774 m8538.0 rL
R173 c3 b630 m6990.0 rJ
R174 c2 b720 m7935.0 rL
R175 c2 b657 m7215.0 rB
R176 c1 b528 m6558.0 rJ
R177 c1 b592 m7350.0 rL
R178 c1 b544 m6758.0 rU
R179 c2 b666 m7302.0 rW
R180 c0 b560 m7968.0 rL
R181 c1 b600 m7408.0 rH
R182 c1 b552 m6808.0 rB
R183 c1 b504 m6256.0 rU
R184 c0 b408 m6760.0 rW
R185 c-2 b360 m7168.0 rU
R186 c0 b532 m7528.0 rU
R187 c0 b486 m8060.0 rW
R188 c-1 b430 m8546.0 rW
R189 c-3 b360 m8976.0 rH
R190 c-5 b261 m8616.0 rU
R191 c-7 b178 m8877.0 rS
R192 c-8 b88 m8788.0 rL
R193 c-6 b174 m8700.0 rD
R194 c-4 b261 m8700.0 rU
R195 c0 b540 m8961.0 rW
R196 c0 b672 m9501.0 rU
R197 c1 b816 m10173.0 rD
R198 c0 b714 m10173.0 rH
R199 c-1 b475 m9459.0 rS
R200 c-1 b465 m9221.5 rB
R201 c-3 b352 m8756.5 rU
R202 c-4 b276 m9108.5 rW
R203 c-5 b282 m9384.5 rU
R204 c-4 b291 m9666.5 rJ
R205 c-4 b306 m10103.5 rB
R206 c-4 b294 m9797.5 rH
R207 c-5 b288 m9503.5 rL
R208 c-2 b465 m9215.5 rH
R209 c-2 b440 m8750.5 rL
R210 c-2 b420 m8310.5 rU
R211 c-2 b460 m9150.5 rL
R212 c0 b609 m8690.5 rS
R213 c0 b588 m8386.0 rS
R214 c0 b567 m8092.0 rJ
R215 c0 b540 m8943.0 rS
R216 c-1 b435 m8673.0 rL
R217 c1 b664 m8238.0 rL
R218 c0 b532 m7574.0 rH
R219 c0 b497 m7042.0 rU
R220 c0 b532 m7539.0 rJ
R221 c0 b588 m8337.0 rH
R222 c2 b702 m7749.0 rW
R223 c2 b765 m8451.0 rU
R224 c2 b837 m9216.0 rS
R225 c1 b704 m8797.5 rU
R226 c1 b768 m9501.5 rW
R227 c1 b824 m10269.5 rD
R228 c0 b721 m10269.5 rL
R229 c0 b672 m9548.5 rH
R230 c1 b712 m8876.5 rH
R231 c0 b525 m7452.5 rL
R232 c0 b455 m6402.5 rD
R233 c3 b585 m6402.5 rJ
R234 c1 b584 m7280.5 rW
R235 c2 b765 m8448.5 rS
R236 c3 b729 m8066.0 rU
R237 c4 b880 m8795.0 rU
R238 c4 b970 m9675.0 rW
R239 c1 b856 m10645.0 rW
R240 c0 b812 m11501.0 rJ
R241 c2 b1152 m12719.0 rB
R242 c3 b1044 m11567.0 rS
R243 c2 b999 m11045.0 rL
R244 c3 b909 m10046.0 rJ
R245 c1 b920 m11410.0 rL
R246 c2 b864 m9570.0 rL
R247 c3 b792 m8706.0 rL
R248 c3 b720 m7914.0 rU
R249 c3 b783 m8634.0 rL
R250 c4 b790 m7851.0 rH
R251 c6 b693 m6271.0 rD
R252 c4 b630 m6271.0 rH
R253 c4 b570 m5641.0 rU
R254 c4 b630 m6211.0 rU
R255 c3 b621 m6841.0 rD
R256 c0 b483 m6841.0 rW
R257 c0 b518 m7324.0 rB
R258 c0 b483 m6806.0 rW
R259 c1 b584 m7289.0 rH
R260 c1 b544 m6705.0 rW
R261 c1 b624 m7793.0 rD
R262 c2 b702 m7793.0 rW
R263 c5 b920 m9197.0 rL
R264 c3 b747 m8277.0 rU
R265 c2 b819 m9024.0 rL
R266 c2 b747 m8205.0 rB
R267 c1 b600 m7458.0 rL
R268 c2 b621 m6858.0 rW
R269 c0 b525 m7479.0 rL
R270 c1 b560 m6954.0 rL
R271 c2 b576 m6394.0 rL
R272 c4 b590 m5818.0 rJ
R273 c3 b612 m6703.0 rU
R274 c2 b666 m7315.0 rL
R275 c2 b603 m6649.0 rU
R276 c3 b711 m7855.0 rH
R277 c3 b648 m7144.0 rU
R278 c3 b702 m7792.0 rU
R279 c1 b680 m8494.0 rJ
R280 c2 b864 m9514.0 rW
R281 c0 b728 m10378.0 rH
R282 c0 b679 m9650.0 rB
R283 c0 b630 m8971.0 rU
R284 c0 b679 m9601.0 rU
R285 c1 b880 m10959.0 rL
R286 c2 b909 m10079.0 rL
R287 c1 b736 m9170.0 rU
R288 c0 b700 m9906.0 rU
R289 c-1 b535 m10606.0 rL
R290 c0 b606 m10071.0 rL
R291 c0 b665 m9465.0 rU
R292 c0 b714 m10130.0 rW
R293 c0 b654 m10844.0 rW
R294 c1 b920 m11498.0 rU
R295 c0 b875 m12418.0 rW
R296 c0 b931 m13293.0 rW
R297 c3 b1368 m15155.0 rU
R298 c2 b1494 m16523.0 rU
R299 c2 b1629 m18017.0 rU
R300 c2 b1773 m19646.0 rJ
R301 c1 b1792 m22306.0 rL
R302 c3 b1692 m18722.0 rU
R303 c3 b1845 m20414.0 rL
R304 c3 b1512 m16724.0 rU
R305 c5 b1830 m18236.0 rU
R306 c4 b2010 m20066.0 rL
R307 c5 b1810 m18056.0 rU
R308 c4 b1990 m19866.0 rU
R309 c5 b2190 m21856.0 rB
R310 c3 b1773 m19666.0 rW
R311 c1 b1720 m21439.0 rL
R312 c2 b1782 m19719.0 rH
R313 c1 b1296 m16155.0 rH
R314 c2 b1341 m14859.0 rU
R315 c4 b1760 m17541.0 rU
R316 c3 b1746 m19301.0 rB
R317 c2 b1584 m17555.0 rL
R318 c3 b1440 m15971.0 rU
R319 c3 b1575 m17411.0 rW
R320 c2 b1710 m18986.0 rS
R321 c2 b1638 m18131.0 rW
R322 c2 b1782 m19769.0 rL
R323 c3 b1620 m17987.0 rL
R324 c2 b1476 m16367.0 rW
R325 c0 b1253 m17843.0 rL
R326 c3 b1494 m16590.0 rL
R327 c3 b1359 m15096.0 rL
R328 c1 b1104 m13737.0 rW
R329 c1 b1192 m14841.0 rH
R330 c1 b1000 m12457.0 rU
R331 c0 b945 m13457.0 rB
R332 c0 b756 m12512.0 rL
R333 c0 b826 m11756.0 rU
R334 c0 b882 m12582.0 rU
R335 c1 b1080 m13464.0 rW
R336 c2 b1314 m14544.0 rU
R337 c3 b1431 m15858.0 rW
R338 c2 b1557 m17289.0 rL
R339 c3 b1278 m14175.0 rL
R340 c1 b1032 m12897.0 rD
R341 c0 b774 m12897.0 rW
R342 c1 b1160 m14445.0 rJ
R343 c1 b1296 m16185.0 rU
R344 c2 b1575 m17481.0 rL
R345 c1 b1280 m15906.0 rU
R346 c1 b1376 m17186.0 rL
R347 c2 b1431 m15810.0 rB
R348 c2 b1296 m14379.0 rU
R349 c3 b1413 m15675.0 rL
R350 c5 b1430 m14262.0 rL
R351 c4 b1290 m12832.0 rH
R352 c7 b1276 m11542.0 rL
R353 c7 b1133 m10266.0 rH
R354 c5 b920 m9133.0 rS
R355 c4 b870 m8673.0 rH
R356 c3 b711 m7803.0 rL
R357 c3 b576 m6381.0 rH
R358 c4 b590 m5805.0 rU
R359 c7 b770 m6985.0 rU
R360 c9 b936 m7755.0 rL
R361 c8 b828 m6819.0 rU
R362 c9 b924 m7647.0 rL
R363 c8 b816 m6723.0 rH
R364 c6 b660 m5907.0 rW
R365 c6 b726 m6567.0 rL
R366 c4 b590 m5841.0 rJ
R367 c5 b680 m6726.0 rU
R368 c6 b825 m7406.0 rH
R369 c4 b660 m6581.0 rU
R370 c5 b730 m7241.0 rD
R371 c3 b657 m7241.0 rL
R372 c3 b594 m6584.0 rL
R373 c5 b540 m5396.0 rH
R374 c4 b490 m4856.0 rL
R375 c3 b396 m4366.0 rL
R376 c4 b400 m3970.0 rS
R377 c3 b342 m3770.0 rH
R378 c2 b315 m3428.0 rL
R379 c3 b288 m3113.0 rB
R380 c3 b261 m2825.0 rS
R381 c2 b243 m2694.5 rS
R382 c2 b234 m2573.0 rB
R383 c1 b192 m2339.0 rB
R384 c1 b176 m2147.0 rW
R385 c0 b168 m2323.0 rL
R386 c3 b198 m2155.0 rL
R387 c3 b180 m1957.0 rL
R388 c3 b162 m1777.0 rU
R389 c1 b160 m1939.0 rH
R390 c3 b162 m1779.0 rW
R391 c5 b200 m1941.0 rU
R392 c5 b220 m2141.0 rU
R393 c6 b264 m2361.0 rB
R394 c5 b210 m2097.0 rL
R395 c4 b190 m1887.0 rU
R396 c3 b189 m2077.0 rD
R397 c3 b189 m2077.0 rW
R398 c2 b207 m2266.0 rU
R399 c3 b243 m2680.0 rU
R400 c4 b300 m2923.0 rW
R401 c4 b330 m3223.0 rL
R402 c4 b290 m2893.0 rS
R403 c4 b280 m2748.0 rU
R404 c4 b340 m3308.0 rW
R405 c2 b333 m3648.0 rW
R406 c5 b440 m4314.0 rH
R407 c4 b390 m3874.0 rH
R408 c3 b315 m3484.0 rW
R409 c5 b420 m4114.0 rL
R410 c3 b333 m3694.0 rW
R411 c3 b369 m4027.0 rS
R412 c2 b351 m3842.5 rU
R413 c4 b420 m4193.5 rW
R414 c3 b423 m4613.5 rD
R415 c4 b470 m4613.5 rU
R416 c3 b504 m5553.5 rD
R417 c2 b504 m5553.5 rW
R418 c4 b660 m6561.5 rJ
R419 c3 b684 m7551.5 rS
R420 c3 b657 m7209.5 rB
R421 c2 b594 m6552.5 rD
R422 c2 b594 m6552.5 rL
R423 c0 b420 m5958.5 rL
R424 c0 b336 m5538.5 rL
R425 c0 b371 m5202.5 rW
R426 c2 b504 m5573.5 rU
R427 c3 b549 m6077.5 rW
R428 c3 b603 m6626.5 rH
R429 c3 b495 m5420.5 rU
R430 c3 b540 m5915.5 rB
R431 c3 b486 m5375.5 rU
R432 c3 b576 m6347.5 rW
R433 c1 b560 m6923.5 rB
R434 c1 b512 m6363.5 rL
R435 c3 b531 m5851.5 rU
R436 c2 b576 m6382.5 rH
R437 c2 b531 m5806.5 rU
R438 c3 b621 m6868.5 rL
R439 c3 b567 m6247.5 rU
R440 c4 b690 m6814.5 rW
R441 c6 b902 m8194.5 rD
R442 c4 b820 m8194.5 rU
R443 c3 b819 m9014.5 rW
R444 c2 b891 m9833.5 rS
R445 c1 b752 m9388.0 rD
R446 c1 b752 m9388.0 rU
R447 c2 b981 m10892.0 rJ
R448 c1 b992 m12364.0 rH
R449 c0 b798 m11372.0 rW
R450 c0 b732 m12170.0 rU
R451 c0 b780 m12902.0 rB
R452 c-1 b610 m12122.0 rW
R453 c2 b1152 m12732.0 rU
R454 c2 b1251 m13884.0 rL
R455 c1 b1016 m12633.0 rL
R456 c2 b963 m10601.0 rW
R457 c3 b1134 m12527.0 rW
R458 c4 b1370 m13661.0 rS
R459 c3 b1170 m12976.0 rB
R460 c2 b1071 m11806.0 rL
R461 c3 b972 m10735.0 rU
R462 c2 b1062 m11707.0 rW
R463 c1 b1024 m12769.0 rS
R464 c0 b861 m12257.0 rL
R465 c-1 b570 m11396.0 rU
R466 c-2 b600 m11966.0 rL
R467 c-1 b540 m10766.0 rU
R468 c-3 b456 m11306.0 rS
R469 c-2 b555 m11078.0 rW
