============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: X
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rW
R2 c-2 b530 m10600 rU
R3 c0 b784 m11130 rJ
R4 c1 b992 m12306 rS
R5 c0 b833 m11810.0 rL
R6 c1 b880 m10977.0 rL
R7 c4 b930 m9217.0 rW
R8 c6 b1221 m11077.0 rU
R9 c6 b1496 m13519.0 rL
R10 c5 b1210 m12023.0 rU
R11 c4 b1330 m13233.0 rU
R12 c2 b1314 m14563.0 rL
R13 c1 b1064 m13249.0 rU
R14 c3 b1296 m14313.0 rW
R15 c3 b1413 m15609.0 rS
R16 c2 b1350 m14902.5 rW
R17 c5 b1770 m17602.5 rB
R18 c4 b1590 m15832.5 rU
R19 c3 b1575 m17422.5 rD
R20 c0 b1225 m17422.5 rJ
R21 c0 b1158 m19260.5 rU
R22 c0 b1512 m21576.5 rU
R23 c1 b1976 m24600.5 rB
R24 c1 b1816 m22624.5 rD
R25 c1 b1816 m22624.5 rL
R26 c2 b1881 m20808.5 rH
R27 c4 b1710 m17046.5 rU
R28 c4 b1880 m18756.5 rH
R29 c2 b1521 m16876.5 rW
R30 c1 b1472 m18397.5 rB
R31 c1 b1360 m16925.5 rH
R32 c0 b1092 m15565.5 rU
R33 c0 b1169 m16657.5 rB
R34 c1 b1240 m15488.5 rL
R35 c0 b858 m14248.5 rW
R36 c0 b1120 m15964.5 rU
R37 c0 b1026 m17084.5 rL
R38 c0 b1127 m16058.5 rL
R39 c0 b900 m14931.5 rB
R40 c0 b987 m14031.5 rW
R41 c0 b1127 m16005.5 rJ
R42 c1 b1416 m17696.5 rW
R43 c0 b1344 m19112.5 rU
R44 c-1 b1025 m20456.5 rH
R45 c-1 b975 m19431.5 rH
R46 c-2 b925 m18456.5 rU
R47 c-2 b970 m19381.5 rL
R48 c-1 b925 m18411.5 rB
R49 c0 b1050 m17486.5 rW
R50 c0 b1116 m18536.5 rW
R51 c0 b1182 m19652.5 rW
R52 c-2 b1045 m20834.5 rW
R53 c-3 b876 m21879.5 rW
R54 c-4 b684 m22755.5 rL
R55 c-4 b663 m22071.5 rU
R56 c-4 b684 m22734.5 rB
R57 c-5 b663 m22050.5 rL
R58 c-3 b832 m20724.5 rL
R59 c-2 b995 m19892.5 rL
R60 c-1 b900 m17902.5 rB
R61 c-2 b855 m17002.5 rU
R62 c-2 b895 m17857.5 rU
R63 c0 b1128 m18752.5 rL
R64 c0 b1062 m17624.5 rL
R65 c0 b1162 m16562.5 rU
R66 c-1 b890 m17724.5 rL
R67 c-2 b845 m16834.5 rU
R68 c-1 b885 m17679.5 rB
R69 c-1 b840 m16794.5 rW
R70 c-1 b885 m17634.5 rB
R71 c-2 b840 m16749.5 rB
R72 c-2 b800 m15909.5 rS
R73 c-1 b780 m15509.5 rL
R74 c0 b888 m14729.5 rL
R75 c0 b834 m13841.5 rW
R76 c0 b882 m14675.5 rL
R77 c-2 b690 m13793.5 rU
R78 c-2 b725 m14483.5 rW
R79 c-1 b765 m15208.5 rU
R80 c-1 b800 m15973.5 rW
R81 c-2 b840 m16773.5 rW
R82 c-4 b531 m17613.5 rS
R83 c-4 b522 m17348.0 rJ
R84 c-4 b546 m18131.0 rL
R85 c-3 b704 m17585.0 rH
R86 c-3 b676 m16881.0 rU
R87 c-2 b880 m17557.0 rU
R88 c-1 b970 m19317.0 rW
R89 c-1 b1015 m20287.0 rU
R90 c-3 b856 m21302.0 rW
R91 c-3 b888 m22158.0 rL
R92 c-1 b1020 m20382.0 rH
R93 c-2 b970 m19362.0 rS
R94 c-1 b945 m18877.0 rL
R95 c-2 b900 m17932.0 rL
R96 c-3 b684 m17032.0 rB
R97 c-2 b820 m16348.0 rD
R98 c-2 b820 m16348.0 rW
R99 c-2 b860 m17168.0 rU
R100 c-3 b724 m18028.0 rW
R101 c-5 b564 m18752.0 rU
R102 c-5 b582 m19316.0 rJ
R103 c-6 b404 m20189.0 rW
R104 c-8 b206 m20593.0 rH
R105 c-7 b404 m20181.0 rL
R106 c-9 b198 m19777.0 rU
R107 c-8 b200 m19975.0 rD
R108 c-4 b600 m19975.0 rS
R109 c-4 b591 m19675.0 rB
R110 c-6 b382 m19084.0 rL
R111 c-7 b376 m18702.0 rJ
R112 c-7 b386 m19266.0 rU
R113 c-7 b394 m19652.0 rD
R114 c-7 b394 m19652.0 rW
R115 c-5 b615 m20440.0 rB
R116 c-4 b597 m19825.0 rW
R117 c-3 b820 m20422.0 rW
R118 c-1 b1065 m21242.0 rB
R119 c-2 b1010 m20177.0 rW
R120 c-4 b636 m21187.0 rU
R121 c-4 b675 m22459.0 rL
R122 c-5 b654 m21784.0 rU
R123 c-4 b693 m23092.0 rH
R124 c-1 b1120 m22399.0 rL
R125 c-2 b1065 m21279.0 rL
R126 c-1 b960 m19149.0 rL
R127 c-2 b910 m18189.0 rU
R128 c-5 b573 m19099.0 rU
R129 c-6 b394 m19672.0 rS
R130 c-6 b390 m19475.0 rD
R131 c-5 b585 m19475.0 rW
R132 c-3 b804 m20060.0 rU
R133 c-3 b836 m20864.0 rU
R134 c-4 b651 m21700.0 rU
R135 c-5 b672 m22351.0 rL
R136 c-6 b434 m21679.0 rL
R137 c-5 b639 m21245.0 rD
R138 c-3 b852 m21245.0 rL
R139 c-3 b816 m20393.0 rW
R140 c-3 b852 m21209.0 rD
R141 c-4 b639 m21209.0 rD
R142 c-7 b426 m21209.0 rL
R143 c-6 b416 m20783.0 rJ
R144 c-7 b430 m21407.0 rS
R145 c-8 b212 m21192.0 rS
R146 c-6 b422 m21086.0 rL
R147 c-4 b609 m20242.0 rH
R148 c-4 b591 m19633.0 rU
R149 c-3 b812 m20224.0 rH
R150 c-4 b585 m19412.0 rS
R151 c-4 b576 m19119.5 rB
R152 c-5 b558 m18543.5 rS
R153 c-5 b549 m18264.5 rW
R154 c-5 b567 m18813.5 rU
R155 c-6 b388 m19380.5 rD
R156 c-4 b582 m19380.5 rW
R157 c-3 b800 m19962.5 rU
R158 c-3 b832 m20762.5 rU
R159 c-4 b648 m21594.5 rH
R160 c-3 b812 m20298.5 rB
R161 c-4 b585 m19486.5 rU
R162 c-4 b603 m20071.5 rU
R163 c-5 b621 m20674.5 rL
R164 c-4 b603 m20053.5 rW
R165 c-3 b852 m21259.5 rU
R166 c-3 b888 m22111.5 rD
R167 c-5 b666 m22111.5 rW
R168 c-7 b456 m22777.5 rH
R169 c-4 b672 m22321.5 rU
R170 c-3 b948 m23665.5 rL
R171 c-1 b1140 m22717.5 rS
R172 c-1 b1110 m22147.5 rB
R173 c-1 b1055 m21037.5 rU
R174 c-4 b663 m22092.5 rD
R175 c-4 b663 m22092.5 rB
R176 c-4 b645 m21429.5 rL
R177 c-3 b832 m20784.5 rD
R178 c-3 b832 m20784.5 rH
R179 c-2 b1000 m19952.5 rL
R180 c-3 b760 m18952.5 rH
R181 c-5 b546 m18192.5 rD
R182 c-3 b728 m18192.5 rB
R183 c-3 b700 m17464.5 rW
R184 c-4 b546 m18164.5 rL
R185 c-6 b354 m17618.5 rL
R186 c-7 b340 m16910.5 rB
R187 c-8 b166 m16570.5 rD
R188 c-8 b166 m16570.5 rL
R189 c-8 b165 m16404.5 rD
R190 c-8 b165 m16404.5 rU
R191 c-8 b166 m16569.5 rH
R192 c-5 b495 m16403.5 rJ
R193 c-4 b516 m17146.5 rU
R194 c-3 b708 m17662.5 rW
R195 c-3 b736 m18370.5 rU
R196 c-5 b576 m19106.5 rJ
R197 c-5 b600 m19970.5 rW
R198 c-5 b618 m20570.5 rL
R199 c-3 b800 m19952.5 rU
R200 c-5 b624 m20752.5 rD
R201 c-3 b832 m20752.5 rU
R202 c-5 b648 m21584.5 rD
R203 c-3 b864 m21584.5 rS
R204 c-4 b636 m21152.5 rL
R205 c-5 b618 m20516.5 rW
R206 c-5 b636 m21134.5 rU
R207 c-7 b436 m21770.5 rW
R208 c-6 b446 m22206.5 rD
R209 c-6 b446 m22206.5 rU
R210 c-6 b454 m22652.5 rH
R211 c-5 b666 m22198.5 rU
R212 c-7 b458 m22864.5 rU
R213 c-7 b468 m23322.5 rH
R214 c-6 b458 m22854.5 rU
R215 c-4 b702 m23312.5 rL
R216 c-3 b908 m22610.5 rS
R217 c-2 b1110 m22156.5 rW
R218 c-3 b932 m23266.5 rW
R219 c-3 b968 m24198.5 rL
R220 c-2 b1165 m23230.5 rW
R221 c-2 b1220 m24395.5 rW
R222 c-2 b1345 m26835.5 rB
R223 c-3 b1020 m25490.5 rL
R224 c-3 b980 m24470.5 rW
R225 c-2 b1275 m25450.5 rS
R226 c-1 b1245 m24813.0 rS
R227 c-2 b1210 m24190.5 rL
R228 c-1 b1150 m22980.5 rL
R229 c0 b1314 m21830.5 rJ
R230 c-1 b1195 m23801.5 rW
R231 c0 b1500 m24996.5 rU
R232 c-2 b1325 m26496.5 rW
R233 c-4 b837 m27821.5 rW
R234 c-2 b1475 m29495.5 rU
R235 c-3 b1240 m30970.5 rU
R236 c-4 b969 m32210.5 rU
R237 c-3 b1328 m33179.5 rW
R238 c-1 b1730 m34507.5 rL
R239 c0 b1968 m32777.5 rH
R240 c0 b2163 m30809.5 rD
R241 c-1 b1545 m30809.5 rD
R242 c-1 b1545 m30809.5 rU
R243 c-2 b1620 m32354.5 rL
R244 c-3 b1232 m30734.5 rW
R245 c-3 b1280 m31966.5 rH
R246 c-2 b1535 m30686.5 rW
R247 c-3 b1292 m32221.5 rW
R248 c-2 b1680 m33513.5 rU
R249 c-4 b1056 m35193.5 rS
R250 c-5 b1041 m34665.5 rL
R251 c-4 b978 m32583.5 rL
R252 c-3 b1268 m31605.5 rU
R253 c-3 b1316 m32873.5 rU
R254 c-2 b1780 m35505.5 rW
R255 c-2 b1865 m37285.5 rL
R256 c-3 b1420 m35420.5 rB
R257 c-2 b1705 m34000.5 rH
R258 c-1 b1530 m30590.5 rS
R259 c0 b1794 m29825.5 rJ
R260 c-2 b1630 m32516.5 rW
R261 c0 b2052 m34146.5 rU
R262 c-1 b1810 m36198.5 rS
R263 c-1 b1765 m35293.5 rU
R264 c0 b2226 m37058.5 rU
R265 c-1 b1965 m39284.5 rU
R266 c-1 b2065 m41249.5 rL
R267 c0 b2352 m39184.5 rD
R268 c-2 b1960 m39184.5 rH
R269 c-1 b1865 m37224.5 rL
R270 c-1 b1675 m33494.5 rJ
R271 c-3 b1444 m36007.5 rL
R272 c-4 b1038 m34563.5 rB
R273 c-4 b1008 m33525.5 rL
R274 c-4 b978 m32517.5 rU
R275 c-4 b1005 m33495.5 rW
R276 c-5 b1038 m34500.5 rL
R277 c-3 b1300 m32424.5 rL
R278 c-3 b1248 m31124.5 rL
R279 c0 b1794 m29876.5 rJ
R280 c0 b1956 m32567.5 rU
R281 c0 b2422 m34523.5 rW
R282 c0 b2590 m36945.5 rL
R283 c0 b2408 m34355.5 rD
R284 c0 b2064 m34355.5 rU
R285 c2 b3465 m38483.5 rL
R286 c1 b2808 m35018.5 rW
R287 c1 b3032 m37826.5 rW
R288 c2 b3681 m40858.5 rH
R289 c0 b2604 m37177.5 rJ
R290 c-1 b2055 m41083.5 rB
R291 c0 b2346 m39028.5 rL
R292 c0 b2569 m36682.5 rW
R293 c-1 b1965 m39251.5 rS
R294 c-1 b1915 m38269.0 rH
R295 c-4 b1092 m36354.0 rB
R296 c-4 b1059 m35262.0 rU
R297 c-5 b1092 m36321.0 rU
R298 c-5 b1125 m37413.0 rB
R299 c-5 b1089 m36288.0 rB
R300 c-5 b1056 m35199.0 rU
R301 c-4 b1089 m36255.0 rL
R302 c-4 b1056 m35166.0 rH
R303 c-4 b1026 m34110.0 rU
R304 c-4 b1056 m35136.0 rL
R305 c-3 b1324 m33024.0 rW
R306 c-4 b1032 m34348.0 rL
R307 c-4 b1002 m33316.0 rL
R308 c-5 b972 m32314.0 rS
R309 c-5 b957 m31828.0 rH
R310 c-4 b927 m30871.0 rW
R311 c-3 b1272 m31798.0 rL
R312 c-5 b918 m30526.0 rL
R313 c-6 b574 m28690.0 rB
R314 c-7 b564 m28116.0 rB
R315 c-6 b552 m27552.0 rD
R316 c-6 b552 m27552.0 rL
R317 c-4 b810 m27000.0 rL
R318 c-3 b1048 m26190.0 rJ
R319 c-5 b834 m27762.0 rH
R320 c-7 b540 m26928.0 rW
R321 c-9 b275 m27468.0 rB
R322 c-9 b272 m27193.0 rU
R323 c-9 b275 m27465.0 rL
R324 c-8 b272 m27190.0 rS
R325 c-8 b271 m27054.0 rL
R326 c-7 b536 m26783.0 rU
R327 c-7 b548 m27319.0 rU
R328 c-8 b279 m27867.0 rD
R329 c-6 b558 m27867.0 rU
R330 c-6 b580 m28983.0 rS
R331 c-6 b574 m28693.0 rL
R332 c-7 b564 m28119.0 rL
R333 c-6 b552 m27555.0 rU
R334 c-5 b861 m28659.0 rU
R335 c-5 b888 m29520.0 rD
R336 c-4 b888 m29520.0 rW
R337 c-3 b1220 m30408.0 rW
R338 c-3 b1268 m31628.0 rU
R339 c-4 b987 m32896.0 rH
R340 c-4 b960 m31909.0 rJ
R341 c-4 b1002 m33349.0 rL
R342 c-3 b1296 m32347.0 rH
R343 c-5 b933 m31051.0 rW
R344 c-5 b960 m31984.0 rL
R345 c-4 b933 m31024.0 rL
R346 c-4 b903 m30091.0 rJ
R347 c-5 b945 m31446.0 rU
R348 c-7 b648 m32391.0 rH
R349 c-5 b954 m31743.0 rW
R350 c-5 b981 m32697.0 rL
R351 c-7 b636 m31716.0 rB
R352 c-8 b311 m31080.0 rH
R353 c-6 b616 m30769.0 rH
R354 c-6 b604 m30153.0 rS
R355 c-7 b598 m29851.0 rW
R356 c-6 b610 m30449.0 rL
R357 c-4 b879 m29229.0 rD
R358 c-4 b879 m29229.0 rU
R359 c-3 b1240 m30987.0 rJ
R360 c-1 b1645 m32847.0 rW
R361 c-1 b1725 m34492.0 rL
R362 c0 b1968 m32767.0 rD
R363 c-1 b1640 m32767.0 rU
R364 c-1 b1805 m36047.0 rU
R365 c-2 b1895 m37852.0 rW
R366 c0 b2502 m41642.0 rW
R367 c-1 b2210 m44144.0 rL
R368 c-2 b2100 m41934.0 rW
R369 c-2 b2205 m44034.0 rW
R370 c-3 b1852 m46239.0 rL
R371 c0 b2664 m44387.0 rH
R372 c-1 b2090 m41723.0 rJ
R373 c-1 b2245 m44858.0 rH
R374 c-2 b2135 m42613.0 rS
R375 c-3 b1664 m41545.5 rW
R376 c-4 b1299 m43209.5 rJ
R377 c-3 b1808 m45158.5 rU
R378 c-3 b1880 m46966.5 rS
R379 c-3 b1844 m46026.5 rD
R380 c-4 b1383 m46026.5 rW
R381 c-4 b1425 m47409.5 rW
R382 c-6 b978 m48834.5 rL
R383 c-7 b958 m47856.5 rD
R384 c-9 b479 m47856.5 rU
R385 c-10 b489 m48814.5 rU
R386 c-6 b996 m49792.5 rW
R387 c-6 b1016 m50788.5 rW
R388 c-6 b1038 m51804.5 rS
R389 c-6 b1026 m51285.5 rL
R390 c-8 b503 m50259.5 rU
R391 c-9 b508 m50762.5 rB
R392 c-8 b503 m50254.5 rW
R393 c-6 b1016 m50757.5 rH
R394 c-5 b1494 m49741.5 rW
R395 c-5 b1539 m51235.5 rU
R396 c-4 b1632 m54313.5 rW
R397 c-5 b1680 m55945.5 rW
R398 c-6 b1154 m57625.5 rU
R399 c-7 b1176 m58779.5 rL
R400 c-7 b1154 m57603.5 rU
R401 c-5 b1764 m58757.5 rL
R402 c-5 b1659 m55229.5 rL
R403 c-4 b1608 m53570.5 rU
R404 c-4 b1656 m55178.5 rB
R405 c-3 b2144 m53522.5 rS
R406 c-4 b1575 m52450.5 rU
R407 c-6 b1082 m54025.5 rJ
R408 c-5 b1671 m55648.5 rH
R409 c-5 b1620 m53977.5 rW
R410 c-6 b1112 m55597.5 rH
R411 c-5 b1635 m54485.5 rH
R412 c-3 b2116 m52850.5 rW
R413 c-4 b1650 m54966.5 rS
R414 c-5 b1626 m54141.5 rW
R415 c-5 b1674 m55767.5 rL
R416 c-1 b2625 m52419.5 rU
R417 c-3 b2204 m55044.5 rL
R418 c-4 b1587 m52840.5 rL
R419 c-4 b1539 m51253.5 rW
R420 c-1 b2720 m54331.5 rL
R421 c1 b4136 m51611.5 rL
R422 c1 b3800 m47475.5 rS
R423 c1 b3648 m45575.5 rB
R424 c0 b2940 m41927.5 rW
R425 c-1 b2245 m44867.5 rW
R426 c-1 b2470 m49357.5 rW
R427 c-2 b2595 m51827.5 rL
R428 c-3 b1972 m49232.5 rD
R429 c-5 b1479 m49232.5 rU
R430 c-5 b1524 m50711.5 rL
R431 c-6 b954 m47663.5 rH
R432 c-7 b936 m46709.5 rL
R433 c-7 b916 m45773.5 rL
R434 c-5 b1320 m43941.5 rL
R435 c-4 b1281 m42621.5 rH
R436 c-1 b2005 m40059.5 rS
R437 c-1 b1955 m39057.0 rU
R438 c-2 b2055 m41012.0 rU
R439 c-1 b2155 m43067.0 rU
R440 c-2 b2265 m45222.0 rD
R441 c-3 b1812 m45222.0 rB
R442 c-2 b2175 m43410.0 rU
