============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: O
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R165 c0 b1854 m30841.5 rS
R166 c2 b2400 m29914.5 rW
R167 c4 b3480 m34714.5 rW
R168 c3 b3438 m38194.5 rU
R169 c0 b2502 m41632.5 rB
R170 c0 b2352 m39130.5 rL
R171 c1 b2760 m34426.5 rH
R172 c1 b2219 m31666.5 rL
R173 c5 b2950 m29447.5 rH
R174 c3 b2385 m26497.5 rL
R175 c2 b1936 m24112.5 rL
R176 c1 b1554 m22176.5 rS
R177 c0 b1284 m21399.5 rU
R178 c0 b1362 m22683.5 rU
R179 c0 b1446 m24045.5 rD
R180 c-2 b1205 m24045.5 rL
R181 c-1 b1145 m22840.5 rU
R182 c-3 b960 m23985.5 rJ
R183 c-4 b765 m25425.5 rJ
R184 c-4 b798 m26573.5 rB
R185 c-4 b774 m25775.5 rL
R186 c-7 b502 m25001.5 rB
R187 c-6 b490 m24499.5 rB
R188 c-7 b482 m24009.5 rH
R189 c-4 b693 m23045.5 rH
R190 c-3 b868 m21659.5 rU
R191 c-1 b1170 m23395.5 rU
R192 c0 b1476 m24565.5 rW
R193 c3 b2349 m26041.5 rB
R194 c2 b2133 m23692.5 rJ
R195 c2 b2421 m26892.5 rW
R196 c3 b2646 m29313.5 rU
R197 c0 b1920 m31959.5 rL
R198 c1 b2107 m30039.5 rL
R199 c2 b2520 m27932.5 rB
R200 c0 b1530 m25412.5 rJ
R201 c-2 b1390 m27707.5 rW
R202 c1 b2328 m29097.5 rU
R203 c2 b2520 m31425.5 rJ
R204 c2 b2824 m35205.5 rB
R205 c2 b2592 m32381.5 rJ
R206 c1 b2541 m36269.5 rS
R207 c0 b2100 m34999.0 rD
R208 c2 b2800 m34999.0 rU
R209 c0 b2268 m37799.0 rH
R210 c0 b2136 m35531.0 rH
R211 c-1 b1670 m33395.0 rU
R212 c-1 b1755 m35065.0 rW
R213 c0 b2583 m36820.0 rD
R214 c0 b2214 m36820.0 rW
R215 c0 b2737 m39034.0 rB
R216 c1 b2541 m36297.0 rL
R217 c2 b2704 m33756.0 rU
R218 c2 b2920 m36460.0 rD
R219 c1 b2920 m36460.0 rL
R220 c4 b3360 m33540.0 rL
R221 c1 b2114 m30180.0 rL
R222 c3 b2529 m28066.0 rL
R223 c1 b2048 m25537.0 rD
R224 c3 b2304 m25537.0 rU
R225 c4 b2790 m27841.0 rS
R226 c3 b2385 m26446.0 rL
R227 c2 b1928 m24061.0 rU
R228 c1 b2080 m25989.0 rU
R229 c4 b3020 m30149.0 rW
R230 c5 b3620 m36189.0 rL
R231 c6 b3586 m32569.0 rD
R232 c5 b3260 m32569.0 rW
R233 c4 b3519 m39089.0 rB
R234 c3 b3204 m35570.0 rW
R235 c3 b3492 m38774.0 rL
R236 c3 b3177 m35282.0 rU
R237 c2 b3465 m38459.0 rU
R238 c2 b3360 m41924.0 rB
R239 c0 b2316 m38564.0 rH
R240 c1 b2380 m33932.0 rL
R241 c3 b2844 m31552.0 rL
R242 c3 b2592 m28708.0 rU
R243 c4 b3390 m33892.0 rL
R244 c6 b3366 m30502.0 rS
R245 c7 b3179 m28819.0 rL
R246 c8 b3084 m25640.0 rW
R247 c7 b3168 m28724.0 rW
R248 c8 b3509 m31892.0 rD
R249 c7 b3509 m31892.0 rU
R250 c5 b3550 m35401.0 rU
R251 c4 b3900 m38951.0 rU
R252 c6 b4290 m42851.0 rS
R253 c5 b4080 m40706.0 rS
R254 c5 b3870 m38666.0 rL
R255 c6 b3480 m34796.0 rH
R256 c3 b2826 m31316.0 rU
R257 c1 b2736 m34142.0 rW
R258 c1 b2952 m36878.0 rU
R259 c2 b3852 m42782.0 rS
R260 c1 b3272 m40856.0 rB
R261 c2 b3008 m37584.0 rH
R262 c4 b3114 m34576.0 rU
R263 c3 b3681 m40804.0 rU
R264 c1 b3115 m44485.0 rS
R265 c0 b2580 m42927.5 rL
R266 c-1 b2020 m40347.5 rB
R267 c-3 b1536 m38327.5 rW
R268 c-3 b1596 m39863.5 rU
R269 c-3 b1660 m41459.5 rL
R270 c-4 b1194 m39799.5 rW
R271 c-2 b2110 m42187.5 rL
R272 c-1 b2005 m40077.5 rH
R273 c1 b3048 m38072.5 rD
