============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: O
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rL
R2 c0 b564 m9400 rU
R3 c1 b800 m9964 rW
R4 c1 b756 m10764 rD
R5 c1 b864 m10764 rD
R6 c4 b972 m10764 rS
R7 c3 b927 m10278.0 rL
R8 c4 b940 m9351.0 rB
R9 c2 b680 m8411.0 rU
R10 c1 b728 m9091.0 rU
R11 c1 b792 m9819.0 rB
R12 c0 b546 m9027.0 rD
R13 c1 b637 m9027.0 rW
R14 c1 b679 m9664.0 rU
R15 c-2 b520 m10343.0 rS
R16 c-3 b404 m10083.0 rS
R17 c-4 b297 m9881.0 rU
R18 c0 b612 m10178.0 rH
R19 c0 b630 m8954.0 rW
R20 c0 b672 m9584.0 rU
R21 c-1 b515 m10256.0 rB
R22 c-2 b490 m9741.0 rU
R23 c-3 b412 m10231.0 rW
R24 c-3 b428 m10643.0 rU
R25 c-2 b555 m11071.0 rB
R26 c-3 b424 m10516.0 rS
R27 c-2 b520 m10304.0 rW
R28 c2 b872 m10824.0 rL
R29 c0 b600 m9952.0 rW
R30 c-1 b530 m10552.0 rS
R31 c-2 b515 m10287.0 rH
R32 c-5 b294 m9772.0 rW
R33 c-6 b202 m10066.0 rU
R34 c-6 b206 m10268.0 rS
R35 c-7 b204 m10165.0 rU
R36 c-4 b312 m10369.0 rD
R37 c-3 b416 m10369.0 rW
R38 c-4 b324 m10785.0 rL
R39 c-3 b420 m10461.0 rD
R40 c-3 b420 m10461.0 rU
R41 c-2 b545 m10881.0 rL
R42 c1 b686 m9791.0 rU
R43 c0 b630 m10477.0 rS
R44 c0 b612 m10162.0 rU
R45 c0 b648 m10774.0 rB
R46 c2 b816 m10126.0 rL
R47 c3 b846 m9310.0 rW
R48 c3 b918 m10156.0 rU
R49 c4 b999 m11074.0 rD
R50 c3 b999 m11074.0 rH
R51 c5 b1010 m10075.0 rS
R52 c4 b864 m9570.0 rB
R53 c3 b792 m8706.0 rB
R54 c2 b720 m7914.0 rJ
R55 c0 b630 m8994.0 rS
R56 c0 b522 m8679.0 rU
R57 c-1 b465 m9201.0 rU
R58 c0 b612 m10131.0 rL
R59 c-1 b480 m9519.0 rU
R60 c0 b600 m9999.0 rU
R61 c-2 b530 m10599.0 rJ
R62 c-2 b570 m11394.0 rH
R63 c-3 b436 m10824.0 rU
R64 c-3 b468 m11696.0 rH
R65 c-3 b452 m11228.0 rD
R66 c-4 b339 m11228.0 rL
R67 c-1 b530 m10550.0 rW
R68 c-4 b333 m11080.0 rH
R69 c-6 b216 m10747.0 rU
R70 c-2 b560 m11179.0 rU
R71 c-1 b590 m11739.0 rH
R72 c0 b742 m10559.0 rB
R73 c0 b594 m9817.0 rW
R74 c0 b630 m10411.0 rW
R75 c3 b1053 m11671.0 rU
R76 c4 b1152 m12724.0 rU
R77 c3 b1251 m13876.0 rL
R78 c0 b762 m12625.0 rL
R79 c0 b833 m11863.0 rS
R80 c0 b690 m11446.5 rW
R81 c-2 b610 m12136.5 rB
