============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: O
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rB
R2 c-2 b470 m9400 rL
R3 c-1 b450 m8930 rL
R4 c-1 b425 m8480 rB
R5 c-2 b405 m8055 rW
R6 c2 b765 m8460 rU
R7 c2 b744 m9225 rL
R8 c0 b595 m8481 rU
R9 c-1 b455 m9076 rU
R10 c0 b600 m9986 rL
R11 c0 b564 m9386 rJ
R12 c0 b721 m10232 rL
R13 c3 b792 m8790 rW
R14 c4 b1040 m10374 rU
R15 c3 b1035 m11414 rD
R16 c3 b1035 m11414 rJ
R17 c3 b1170 m12967 rU
R18 c2 b1136 m14137 rW
R19 c0 b918 m15273 rU
R20 c1 b1376 m17109 rW
R21 c2 b1665 m18485 rL
R22 c2 b1352 m16820 rL
R23 c3 b1395 m15468 rL
R24 c7 b1551 m14073 rW
R25 c5 b1570 m15624 rB
R26 c3 b1269 m14054 rJ
R27 c3 b1440 m15958 rJ
R28 c1 b1274 m18118 rJ
R29 c-1 b1005 m20029 rS
R30 c-1 b980 m19526.5 rU
R31 c0 b1236 m20506.5 rU
R32 c0 b1308 m21742.5 rL
R33 c1 b1435 m20434.5 rW
R34 c-1 b1095 m21869.5 rU
R35 c-1 b1150 m22964.5 rB
R36 c-2 b1095 m21814.5 rB
R37 c-2 b1040 m20719.5 rW
R38 c-2 b1090 m21759.5 rS
R39 c0 b1278 m21214.5 rW
R40 c1 b1575 m22492.5 rU
R41 c1 b1928 m24067.5 rL
R42 c1 b1776 m22139.5 rL
R43 c1 b1632 m20363.5 rJ
R44 c2 b2061 m22811.5 rU
R45 c1 b1743 m24872.5 rH
R46 c1 b1856 m23129.5 rD
R47 c1 b1624 m23129.5 rJ
R48 c1 b1792 m25565.5 rH
R49 c1 b1904 m23773.5 rS
R50 c2 b1832 m22821.5 rS
R51 c2 b1760 m21905.5 rS
R52 c1 b1477 m21025.5 rW
R53 c2 b1920 m23979.5 rL
R54 c0 b1326 m22059.5 rB
R55 c-1 b1040 m20733.5 rS
R56 c-2 b1015 m20213.5 rU
R57 c0 b1278 m21228.5 rL
R58 c0 b1200 m19950.5 rD
R59 c0 b1200 m19950.5 rH
R60 c1 b1504 m18750.5 rS
R61 c2 b1620 m17998.5 rH
R62 c4 b1476 m16378.5 rL
R63 c2 b1350 m14902.5 rU
R64 c0 b978 m16252.5 rL
R65 c1 b1224 m15274.5 rH
R66 c1 b987 m14050.5 rJ
R67 c1 b1092 m15531.5 rH
R68 c3 b1305 m14439.5 rJ
R69 c5 b1640 m16397.5 rH
R70 c4 b1332 m14757.5 rU
R71 c4 b1610 m16089.5 rU
R72 c6 b1947 m17699.5 rU
R73 c6 b2160 m21593.5 rW
R74 c2 b2142 m23753.5 rS
R75 c1 b1816 m22682.5 rH
R76 c0 b1254 m20866.5 rL
R77 c4 b1970 m19612.5 rL
R78 c5 b1770 m17642.5 rD
R79 c4 b1770 m17642.5 rS
R80 c4 b1680 m16757.5 rS
R81 c3 b1440 m15917.5 rS
