============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: S
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rL
R2 c0 b564 m9400 rB
R3 c0 b534 m8836 rU
R4 c0 b564 m9370 rU
R5 c0 b600 m9934 rL
R6 c0 b564 m9334 rU
R7 c0 b594 m9898 rL
R8 c0 b564 m9304 rW
R9 c0 b594 m9868 rW
R10 c0 b630 m10462 rH
R11 c0 b594 m9832 rL
R12 c0 b558 m9238 rH
R13 c0 b522 m8680 rL
R14 c0 b492 m8158 rW
R15 c0 b522 m8650 rS
R16 c0 b504 m8389.0 rL
R17 c0 b444 m7381.0 rW
R18 c0 b474 m7825.0 rU
R19 c0 b498 m8299.0 rL
R20 c0 b474 m7801.0 rD
R21 c0 b474 m7801.0 rU
R22 c0 b498 m8275.0 rD
R23 c0 b498 m8275.0 rW
R24 c0 b528 m8773.0 rU
R25 c0 b564 m9301.0 rH
R26 c0 b528 m8737.0 rD
R27 c0 b528 m8737.0 rJ
R28 c0 b576 m9529.0 rW
R29 c0 b612 m10105.0 rL
R30 c0 b534 m8881.0 rS
R31 c0 b522 m8614.0 rB
R32 c0 b486 m8092.0 rS
R33 c0 b474 m7849.0 rL
R34 c0 b444 m7375.0 rH
R35 c0 b420 m6931.0 rL
R36 c0 b396 m6511.0 rL
R37 c0 b372 m6115.0 rU
R38 c0 b390 m6487.0 rW
R39 c0 b414 m6877.0 rW
R40 c0 b468 m7705.0 rL
R41 c0 b438 m7237.0 rW
R42 c0 b462 m7675.0 rD
R43 c0 b462 m7675.0 rL
R44 c0 b438 m7213.0 rL
R45 c0 b408 m6775.0 rL
R46 c0 b384 m6367.0 rW
R47 c0 b408 m6751.0 rL
R48 c0 b384 m6343.0 rB
R49 c0 b360 m5959.0 rW
R50 c0 b384 m6319.0 rL
R51 c0 b360 m5935.0 rL
R52 c0 b318 m5215.0 rS
R53 c0 b306 m5056.0 rB
R54 c0 b288 m4750.0 rW
R55 c0 b306 m5038.0 rD
R56 c0 b306 m5038.0 rL
R57 c0 b288 m4732.0 rW
R58 c0 b306 m5020.0 rW
R59 c0 b324 m5326.0 rW
R60 c0 b342 m5650.0 rL
R61 c0 b324 m5308.0 rU
R62 c0 b342 m5632.0 rB
R63 c0 b318 m5290.0 rL
R64 c0 b300 m4972.0 rB
R65 c0 b282 m4672.0 rW
R66 c0 b300 m4954.0 rL
R67 c0 b282 m4654.0 rH
R68 c0 b246 m4090.0 rD
R69 c0 b246 m4090.0 rH
R70 c0 b234 m3844.0 rS
R71 c0 b228 m3727.0 rB
R72 c0 b210 m3499.0 rB
R73 c0 b198 m3289.0 rU
R74 c0 b222 m3685.0 rU
R75 c0 b240 m3907.0 rU
R76 c0 b252 m4147.0 rL
R77 c0 b234 m3895.0 rW
R78 c0 b252 m4129.0 rH
R79 c0 b234 m3877.0 rW
R80 c0 b252 m4111.0 rW
