============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: S
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rU
R2 c0 b636 m10600 rS
R3 c0 b618 m10282.0 rW
R4 c0 b696 m11518.0 rB
R5 c0 b654 m10822.0 rL
R6 c0 b612 m10168.0 rW
R7 c0 b648 m10780.0 rL
R8 c0 b612 m10132.0 rS
R9 c0 b594 m9826.0 rL
R10 c0 b558 m9232.0 rU
R11 c0 b588 m9790.0 rL
R12 c0 b558 m9202.0 rD
R13 c0 b558 m9202.0 rB
R14 c0 b522 m8644.0 rU
R15 c0 b552 m9166.0 rW
R16 c0 b588 m9718.0 rH
R17 c0 b552 m9130.0 rU
R18 c0 b582 m9682.0 rS
R19 c0 b564 m9391.0 rU
R20 c0 b600 m9955.0 rJ
R21 c0 b654 m10855.0 rW
R22 c0 b732 m12163.0 rH
R23 c0 b690 m11431.0 rL
R24 c0 b648 m10741.0 rU
R25 c0 b684 m11389.0 rU
R26 c0 b726 m12073.0 rU
R27 c0 b768 m12799.0 rU
R28 c0 b816 m13567.0 rJ
R29 c0 b888 m14791.0 rU
R30 c0 b996 m16567.0 rS
R31 c0 b966 m16069.0 rW
R32 c0 b1026 m17035.0 rU
R33 c0 b1086 m18061.0 rL
R34 c0 b1020 m16975.0 rU
R35 c0 b1146 m19015.0 rU
R36 c0 b1212 m20161.0 rU
R37 c0 b1284 m21373.0 rU
R38 c0 b1362 m22657.0 rH
R39 c0 b1278 m21295.0 rH
R40 c0 b1206 m20017.0 rW
R41 c0 b1278 m21223.0 rD
R42 c0 b1278 m21223.0 rS
R43 c0 b1236 m20584.0 rU
R44 c0 b1314 m21820.0 rB
R45 c0 b1236 m20506.0 rL
R46 c0 b1158 m19270.0 rU
R47 c0 b1230 m20428.0 rU
R48 c0 b1302 m21658.0 rW
R49 c0 b1380 m22960.0 rH
R50 c0 b1296 m21580.0 rW
R51 c0 b1374 m22876.0 rS
R52 c0 b1332 m22189.0 rB
R53 c0 b1254 m20857.0 rU
R54 c0 b1404 m23365.0 rB
R55 c0 b1320 m21961.0 rU
R56 c0 b1482 m24601.0 rU
R57 c0 b1566 m26083.0 rH
R58 c0 b1476 m24517.0 rS
R59 c0 b1428 m23779.0 rW
R60 c0 b1518 m25207.0 rB
R61 c0 b1422 m23689.0 rU
R62 c0 b1512 m25111.0 rD
R63 c0 b1512 m25111.0 rJ
R64 c0 b1644 m27379.0 rB
R65 c0 b1548 m25735.0 rL
R66 c0 b1452 m24187.0 rU
R67 c0 b1626 m27091.0 rW
R68 c0 b1728 m28717.0 rL
R69 c0 b1620 m26989.0 rD
R70 c0 b1620 m26989.0 rU
R71 c0 b1722 m28609.0 rW
R72 c0 b1824 m30331.0 rD
R73 c0 b1824 m30331.0 rH
R74 c0 b1716 m28507.0 rH
R75 c0 b1608 m26791.0 rW
R76 c0 b1704 m28399.0 rW
