============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: S
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rH
R2 c0 b564 m9400 rW
R3 c0 b600 m9964 rH
R4 c0 b564 m9364 rD
R5 c0 b564 m9364 rL
R6 c0 b528 m8800 rL
R7 c0 b498 m8272 rW
R8 c0 b528 m8770 rB
R9 c0 b498 m8242 rU
R10 c0 b528 m8740 rH
R11 c0 b498 m8212 rJ
R12 c0 b540 m8959 rJ
R13 c0 b588 m9769 rU
R14 c0 b660 m10945 rU
R15 c0 b702 m11605 rW
R16 c0 b744 m12307 rD
R17 c0 b744 m12307 rW
R18 c0 b786 m13051 rU
R19 c0 b834 m13837 rW
R20 c0 b882 m14671 rD
R21 c0 b882 m14671 rU
R22 c0 b936 m15553 rU
R23 c0 b990 m16489 rU
R24 c0 b1050 m17479 rU
R25 c0 b1116 m18529 rJ
R26 c0 b1218 m20203 rU
R27 c0 b1362 m22639 rW
R28 c0 b1446 m24001 rJ
R29 c0 b1572 m26170 rW
R30 c0 b1668 m27742 rU
R31 c0 b1770 m29410 rL
R32 c0 b1662 m27640 rU
R33 c0 b1764 m29302 rW
R34 c0 b1866 m31066 rU
R35 c0 b1980 m32932 rS
R36 c0 b1920 m31942.0 rW
R37 c0 b2034 m33862.0 rL
R38 c0 b1788 m29794.0 rD
R39 c0 b1788 m29794.0 rL
R40 c0 b1686 m28006.0 rW
R41 c0 b1782 m29692.0 rW
R42 c0 b1890 m31474.0 rL
R43 c0 b1776 m29584.0 rW
R44 c0 b1884 m31360.0 rJ
R45 c0 b2052 m34186.0 rS
R46 c0 b1992 m33160.0 rU
R47 c0 b2112 m35152.0 rJ
R48 c0 b2304 m38320.0 rJ
R49 c0 b2508 m41776.0 rU
R50 c0 b2658 m44284.0 rL
R51 c0 b2502 m41626.0 rW
R52 c0 b2802 m46630.0 rS
R53 c0 b2718 m45229.0 rL
R54 c0 b2556 m42511.0 rD
R55 c0 b2556 m42511.0 rL
R56 c0 b2400 m39955.0 rU
R57 c0 b2544 m42355.0 rU
R58 c0 b2694 m44899.0 rL
R59 c0 b2538 m42205.0 rB
R60 c0 b2382 m39667.0 rB
R61 c0 b2238 m37285.0 rD
R62 c0 b2238 m37285.0 rU
R63 c0 b2376 m39523.0 rW
R64 c0 b2514 m41899.0 rS
R65 c0 b2442 m40642.0 rL
R66 c0 b2292 m38200.0 rL
R67 c0 b2160 m35908.0 rJ
R68 c0 b2352 m39148.0 rL
R69 c0 b2208 m36796.0 rW
R70 c0 b2346 m39004.0 rJ
R71 c0 b2556 m42523.0 rU
R72 c0 b2862 m47635.0 rU
R73 c0 b3030 m50497.0 rH
R74 c0 b2670 m44437.0 rU
R75 c0 b2988 m49777.0 rJ
R76 c0 b3258 m54259.0 rU
R77 c0 b3456 m57517.0 rU
R78 c0 b3660 m60973.0 rL
R79 c0 b3444 m57313.0 rS
