============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: S
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R169 c0 b912 m15172.0 rL
R170 c0 b858 m14260.0 rL
R171 c0 b810 m13402.0 rW
R172 c0 b858 m14212.0 rJ
R173 c0 b930 m15499.0 rU
R174 c0 b990 m16429.0 rB
R175 c0 b930 m15439.0 rB
R176 c0 b876 m14509.0 rJ
R177 c0 b954 m15823.0 rU
R178 c0 b1008 m16777.0 rU
R179 c0 b1068 m17785.0 rL
R180 c0 b942 m15649.0 rB
R181 c0 b888 m14707.0 rW
R182 c0 b990 m16483.0 rW
R183 c0 b1050 m17473.0 rL
R184 c0 b990 m16423.0 rU
R185 c0 b1050 m17413.0 rB
R186 c0 b984 m16363.0 rB
R187 c0 b924 m15379.0 rD
R188 c0 b924 m15379.0 rU
R189 c0 b984 m16303.0 rD
R190 c0 b984 m16303.0 rH
R191 c0 b924 m15319.0 rU
R192 c0 b1032 m17167.0 rW
R193 c0 b1158 m19231.0 rH
R194 c0 b1086 m18073.0 rU
R195 c0 b1152 m19159.0 rS
R196 c0 b1116 m18583.0 rW
R197 c0 b1182 m19699.0 rL
R198 c0 b1116 m18517.0 rJ
R199 c0 b1212 m20191.0 rW
R200 c0 b1290 m21403.0 rU
R201 c0 b1362 m22693.0 rW
R202 c0 b1446 m24055.0 rU
R203 c0 b1536 m25501.0 rW
R204 c0 b1626 m27037.0 rW
R205 c0 b1722 m28663.0 rU
R206 c0 b1824 m30385.0 rB
R207 c0 b1716 m28561.0 rS
R208 c0 b1668 m27703.0 rJ
R209 c0 b1818 m30205.0 rW
R210 c0 b1926 m32023.0 rW
R211 c0 b2040 m33949.0 rU
R212 c0 b2160 m35989.0 rL
R213 c0 b2034 m33829.0 rW
R214 c0 b2274 m37897.0 rL
R215 c0 b2142 m35623.0 rB
R216 c0 b2010 m33481.0 rH
R217 c0 b1890 m31471.0 rU
R218 c0 b2004 m33361.0 rW
R219 c0 b2124 m35365.0 rH
R220 c0 b1998 m33241.0 rH
R221 c0 b1878 m31243.0 rB
R222 c0 b1764 m29365.0 rS
R223 c0 b1710 m28483.0 rL
R224 c0 b1608 m26773.0 rL
R225 c0 b1416 m23557.0 rB
R226 c0 b1332 m22141.0 rH
R227 c0 b1254 m20809.0 rU
R228 c0 b1326 m22063.0 rL
R229 c0 b1248 m20737.0 rL
R230 c0 b1170 m19489.0 rL
R231 c0 b1104 m18319.0 rL
R232 c0 b1038 m17215.0 rU
R233 c0 b1098 m18253.0 rU
R234 c0 b1164 m19351.0 rJ
R235 c0 b1266 m21097.0 rD
R236 c0 b1266 m21097.0 rL
R237 c0 b1194 m19831.0 rL
R238 c0 b1122 m18637.0 rJ
R239 c0 b1224 m20320.0 rS
R240 c0 b1188 m19708.0 rJ
R241 c0 b1290 m21490.0 rB
R242 c0 b1212 m20200.0 rH
R243 c0 b1068 m17776.0 rB
R244 c0 b1008 m16708.0 rD
R245 c0 b1008 m16708.0 rB
R246 c0 b942 m15700.0 rU
R247 c0 b1056 m17584.0 rW
R248 c0 b1122 m18640.0 rB
R249 c0 b1056 m17518.0 rW
R250 c0 b1116 m18574.0 rU
R251 c0 b1182 m19690.0 rL
R252 c0 b1116 m18508.0 rW
R253 c0 b1182 m19624.0 rU
R254 c0 b1254 m20806.0 rD
R255 c0 b1254 m20806.0 rU
R256 c0 b1404 m23314.0 rH
R257 c0 b1236 m20506.0 rH
R258 c0 b1158 m19270.0 rW
R259 c0 b1230 m20428.0 rW
R260 c0 b1302 m21658.0 rB
R261 c0 b1224 m20356.0 rW
R262 c0 b1296 m21580.0 rB
R263 c0 b1218 m20284.0 rS
R264 c0 b1182 m19675.0 rL
R265 c0 b1044 m17311.0 rW
R266 c0 b1164 m19399.0 rW
R267 c0 b1236 m20563.0 rS
R268 c0 b1200 m19945.0 rJ
R269 c0 b1308 m21745.0 rH
R270 c0 b1230 m20437.0 rU
R271 c0 b1302 m21667.0 rW
R272 c0 b1380 m22969.0 rU
R273 c0 b1464 m24349.0 rL
R274 c0 b1374 m22885.0 rU
R275 c0 b1458 m24259.0 rU
R276 c0 b1632 m27175.0 rW
R277 c0 b1734 m28807.0 rW
R278 c0 b1836 m30541.0 rS
R279 c0 b1782 m29623.0 rW
R280 c0 b1890 m31405.0 rL
R281 c0 b1662 m27625.0 rL
R282 c0 b1560 m25963.0 rB
R283 c0 b1470 m24403.0 rB
R284 c0 b1380 m22933.0 rS
R285 c0 b1338 m22243.0 rU
R286 c0 b1416 m23581.0 rL
R287 c0 b1332 m22165.0 rL
R288 c0 b1176 m19501.0 rS
R289 c0 b1140 m18913.0 rS
R290 c0 b1104 m18343.0 rW
R291 c0 b1170 m19447.0 rB
R292 c0 b1098 m18277.0 rL
R293 c0 b1032 m17179.0 rU
R294 c0 b1098 m18211.0 rU
R295 c0 b1164 m19309.0 rU
R296 c0 b1230 m20473.0 rB
R297 c0 b1158 m19243.0 rU
R298 c0 b1230 m20401.0 rL
R299 c0 b1080 m17941.0 rD
R300 c0 b1080 m17941.0 rL
R301 c0 b948 m15781.0 rU
R302 c0 b1008 m16729.0 rB
R303 c0 b948 m15721.0 rU
R304 c0 b1002 m16669.0 rS
R305 c0 b972 m16168.0 rD
R306 c0 b972 m16168.0 rW
R307 c0 b1032 m17140.0 rU
R308 c0 b1158 m19204.0 rS
R309 c0 b1122 m18625.0 rD
R310 c0 b1122 m18625.0 rW
R311 c0 b1188 m19747.0 rW
R312 c0 b1332 m22123.0 rU
R313 c0 b1410 m23455.0 rW
R314 c0 b1494 m24865.0 rB
R315 c0 b1404 m23371.0 rW
R316 c0 b1488 m24775.0 rH
R317 c0 b1398 m23287.0 rL
R318 c0 b1230 m20491.0 rB
R319 c0 b1158 m19261.0 rU
R320 c0 b1230 m20419.0 rS
R321 c0 b1194 m19804.0 rU
R322 c0 b1260 m20998.0 rL
R323 c0 b1188 m19738.0 rB
R324 c0 b1116 m18550.0 rS
R325 c0 b1080 m17992.0 rL
R326 c0 b1020 m16912.0 rW
R327 c0 b1080 m17932.0 rU
R328 c0 b1206 m20092.0 rB
R329 c0 b1134 m18886.0 rB
R330 c0 b1068 m17752.0 rH
R331 c0 b1002 m16684.0 rB
R332 c0 b942 m15682.0 rB
R333 c0 b888 m14740.0 rU
R334 c0 b942 m15628.0 rL
R335 c0 b828 m13744.0 rD
R336 c0 b828 m13744.0 rU
R337 c0 b876 m14572.0 rU
R338 c0 b930 m15448.0 rD
R339 c0 b930 m15448.0 rL
R340 c0 b876 m14518.0 rL
R341 c0 b822 m13642.0 rL
R342 c0 b774 m12820.0 rW
R343 c0 b816 m13594.0 rU
R344 c0 b870 m14410.0 rU
R345 c0 b972 m16150.0 rL
R346 c0 b912 m15178.0 rB
R347 c0 b858 m14266.0 rU
R348 c0 b912 m15124.0 rL
R349 c0 b858 m14212.0 rU
R350 c0 b906 m15070.0 rU
R351 c0 b960 m15976.0 rW
R352 c0 b1020 m16936.0 rB
R353 c0 b960 m15916.0 rH
R354 c0 b900 m14956.0 rJ
R355 c0 b984 m16306.0 rL
R356 c0 b924 m15322.0 rL
R357 c0 b864 m14398.0 rU
R358 c0 b918 m15262.0 rW
R359 c0 b972 m16180.0 rB
R360 c0 b918 m15208.0 rS
R361 c0 b888 m14749.0 rL
R362 c0 b834 m13861.0 rJ
R363 c0 b912 m15112.0 rU
R364 c0 b966 m16024.0 rS
R365 c0 b936 m15541.0 rS
R366 c0 b906 m15073.0 rB
R367 c0 b852 m14167.0 rB
R368 c0 b804 m13315.0 rU
R369 c0 b852 m14119.0 rU
R370 c0 b900 m14971.0 rH
R371 c0 b846 m14071.0 rL
R372 c0 b798 m13225.0 rD
