============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R173 c0 b294 m4841.0 rL
R174 c0 b258 m4253.0 rH
R175 c0 b240 m3995.0 rS
R176 c0 b234 m3875.0 rL
R177 c0 b222 m3641.0 rS
R178 c0 b216 m3530.0 rL
R179 c0 b204 m3314.0 rL
R180 c0 b192 m3110.0 rB
R181 c0 b180 m2918.0 rL
R182 c0 b168 m2738.0 rW
R183 c0 b180 m2906.0 rD
R184 c0 b180 m2906.0 rL
R185 c0 b168 m2726.0 rW
R186 c0 b174 m2894.0 rB
R187 c0 b168 m2720.0 rW
R188 c0 b186 m3056.0 rW
R189 c0 b210 m3428.0 rU
R190 c0 b222 m3638.0 rD
R191 c0 b222 m3638.0 rB
R192 c0 b210 m3416.0 rB
R193 c0 b198 m3206.0 rL
R194 c0 b186 m3008.0 rB
R195 c0 b174 m2822.0 rD
R196 c0 b174 m2822.0 rD
R197 c0 b174 m2822.0 rH
R198 c0 b162 m2648.0 rL
R199 c0 b150 m2486.0 rL
R200 c0 b132 m2186.0 rB
R201 c0 b126 m2054.0 rJ
R202 c0 b138 m2243.0 rW
R203 c0 b144 m2381.0 rU
R204 c0 b156 m2525.0 rW
R205 c0 b174 m2837.0 rJ
R206 c0 b186 m3098.0 rB
R207 c0 b180 m2912.0 rW
R208 c0 b186 m3092.0 rS
R209 c0 b180 m2999.0 rS
R210 c0 b180 m2909.0 rW
R211 c0 b186 m3089.0 rD
R212 c0 b186 m3089.0 rW
R213 c0 b210 m3461.0 rL
R214 c0 b198 m3251.0 rB
R215 c0 b186 m3053.0 rH
R216 c0 b174 m2867.0 rL
R217 c0 b162 m2693.0 rW
R218 c0 b186 m3017.0 rW
R219 c0 b198 m3203.0 rL
R220 c0 b186 m3005.0 rL
R221 c0 b174 m2819.0 rB
R222 c0 b162 m2645.0 rL
R223 c0 b150 m2483.0 rB
R224 c0 b144 m2333.0 rL
R225 c0 b132 m2189.0 rJ
R226 c0 b144 m2387.0 rW
R227 c0 b156 m2531.0 rH
R228 c0 b138 m2219.0 rL
R229 c0 b126 m2081.0 rU
R230 c0 b144 m2333.0 rH
R231 c0 b132 m2189.0 rW
R232 c0 b144 m2321.0 rB
R233 c0 b132 m2177.0 rB
R234 c0 b126 m2045.0 rS
R235 c0 b120 m1982.0 rU
R236 c0 b132 m2102.0 rU
R237 c0 b138 m2234.0 rL
R238 c0 b126 m2096.0 rJ
R239 c0 b138 m2285.0 rU
R240 c0 b156 m2561.0 rL
R241 c0 b150 m2405.0 rB
R242 c0 b138 m2255.0 rH
R243 c0 b132 m2117.0 rU
R244 c0 b138 m2249.0 rB
R245 c0 b132 m2111.0 rU
R246 c0 b138 m2243.0 rS
R247 c0 b132 m2174.0 rL
R248 c0 b126 m2042.0 rB
R249 c0 b120 m1916.0 rW
R250 c0 b126 m2036.0 rU
R251 c0 b154 m2162.0 rL
R252 c0 b147 m2008.0 rJ
R253 c0 b161 m2229.0 rU
R254 c0 b168 m2390.0 rU
R255 c0 b182 m2558.0 rH
R256 c0 b154 m2194.0 rB
R257 c0 b147 m2040.0 rU
R258 c0 b154 m2187.0 rL
R259 c0 b133 m1879.0 rU
R260 c0 b147 m2012.0 rB
R261 c0 b133 m1865.0 rS
R262 c0 b126 m1798.5 rD
R263 c0 b108 m1798.5 rL
R264 c0 b96 m1582.5 rL
R265 c0 b90 m1486.5 rU
R266 c0 b112 m1576.5 rS
R267 c0 b112 m1520.5 rL
R268 c0 b105 m1408.5 rH
R269 c0 b98 m1303.5 rB
R270 c0 b91 m1205.5 rW
R271 c0 b91 m1296.5 rW
R272 c0 b98 m1387.5 rW
R273 c0 b105 m1485.5 rW
R274 c0 b112 m1590.5 rL
R275 c0 b105 m1478.5 rS
R276 c0 b105 m1426.0 rU
R277 c0 b112 m1531.0 rW
R278 c0 b119 m1643.0 rU
R279 c0 b126 m1762.0 rL
R280 c0 b119 m1636.0 rS
R281 c0 b112 m1576.5 rL
R282 c0 b105 m1464.5 rU
R283 c0 b112 m1569.5 rU
R284 c0 b126 m1793.5 rW
R285 c0 b140 m1919.5 rU
R286 c0 b147 m2059.5 rU
R287 c0 b168 m2353.5 rL
R288 c0 b154 m2185.5 rD
R289 c0 b154 m2185.5 rW
R290 c0 b168 m2339.5 rU
R291 c0 b182 m2507.5 rL
R292 c0 b168 m2325.5 rJ
R293 c0 b182 m2577.5 rW
R294 c0 b196 m2759.5 rU
R295 c0 b210 m2955.5 rW
R296 c0 b224 m3165.5 rL
R297 c0 b210 m2941.5 rU
R298 c0 b224 m3151.5 rD
R299 c0 b224 m3151.5 rB
R300 c0 b210 m2927.5 rW
R301 c0 b224 m3137.5 rW
R302 c0 b238 m3361.5 rU
R303 c0 b273 m3837.5 rU
R304 c0 b294 m4110.5 rL
R305 c0 b273 m3816.5 rL
R306 c0 b252 m3543.5 rL
R307 c0 b231 m3291.5 rU
R308 c0 b266 m3753.5 rU
R309 c0 b287 m4019.5 rD
R310 c0 b287 m4019.5 rL
R311 c0 b266 m3732.5 rU
R312 c0 b280 m3998.5 rU
R313 c0 b301 m4278.5 rU
R314 c0 b322 m4579.5 rJ
R315 c0 b357 m5062.5 rS
R316 c0 b343 m4884.0 rS
R317 c0 b336 m4712.5 rJ
R318 c0 b371 m5216.5 rW
R319 c0 b392 m5587.5 rU
R320 c0 b420 m5979.5 rL
R321 c0 b392 m5559.5 rU
R322 c0 b420 m5951.5 rH
R323 c0 b392 m5531.5 rH
R324 c0 b336 m4747.5 rB
R325 c0 b315 m4411.5 rB
R326 c0 b287 m4096.5 rB
R327 c0 b273 m3809.5 rL
R328 c0 b252 m3536.5 rJ
R329 c0 b280 m3914.5 rD
R330 c0 b280 m3914.5 rS
R331 c0 b266 m3774.5 rU
R332 c0 b287 m4040.5 rS
R333 c0 b273 m3897.0 rL
R334 c0 b259 m3624.0 rD
R335 c0 b259 m3624.0 rU
R336 c0 b273 m3883.0 rH
R337 c0 b259 m3610.0 rU
R338 c0 b273 m3869.0 rL
R339 c0 b252 m3596.0 rW
R340 c0 b287 m4100.0 rL
R341 c0 b252 m3526.0 rD
R342 c0 b252 m3526.0 rJ
R343 c0 b280 m3904.0 rL
R344 c0 b259 m3624.0 rU
R345 c0 b273 m3883.0 rJ
R346 c0 b301 m4293.0 rU
R347 c0 b322 m4594.0 rU
R348 c0 b371 m5238.0 rW
R349 c0 b399 m5609.0 rU
R350 c0 b427 m6008.0 rL
R351 c0 b364 m5154.0 rW
R352 c0 b392 m5518.0 rD
R353 c0 b392 m5518.0 rU
R354 c0 b420 m5910.0 rU
R355 c0 b448 m6330.0 rW
R356 c0 b476 m6778.0 rL
R357 c0 b448 m6302.0 rU
R358 c0 b476 m6750.0 rL
R359 c0 b441 m6274.0 rL
R360 c0 b413 m5833.0 rU
R361 c0 b441 m6246.0 rU
R362 c0 b469 m6687.0 rU
R363 c0 b504 m7156.0 rU
R364 c0 b539 m7660.0 rL
R365 c0 b504 m7121.0 rS
R366 c0 b483 m6869.0 rL
R367 c0 b448 m6386.0 rU
R368 c0 b483 m6834.0 rB
R369 c0 b448 m6351.0 rL
R370 c0 b420 m5903.0 rU
R371 c0 b448 m6323.0 rL
R372 c0 b413 m5875.0 rL
R373 c0 b385 m5462.0 rW
R374 c0 b413 m5847.0 rU
R375 c0 b441 m6260.0 rL
R376 c0 b378 m5378.0 rL
R377 c0 b350 m5000.0 rU
R378 c0 b378 m5350.0 rB
R379 c0 b350 m4972.0 rW
R380 c0 b378 m5322.0 rU
R381 c0 b399 m5700.0 rL
R382 c0 b378 m5301.0 rB
R383 c0 b350 m4923.0 rW
R384 c0 b371 m5273.0 rW
R385 c0 b399 m5644.0 rD
R386 c0 b399 m5644.0 rB
R387 c0 b371 m5245.0 rH
R388 c0 b343 m4874.0 rU
R389 c0 b371 m5217.0 rW
R390 c0 b392 m5588.0 rL
R391 c0 b364 m5196.0 rW
R392 c0 b392 m5560.0 rL
R393 c0 b364 m5168.0 rU
R394 c0 b392 m5532.0 rU
R395 c0 b420 m5924.0 rW
R396 c0 b448 m6344.0 rW
R397 c0 b476 m6792.0 rW
R398 c0 b511 m7268.0 rL
R399 c0 b476 m6757.0 rU
R400 c0 b511 m7233.0 rS
R401 c0 b490 m6977.5 rL
R402 c0 b420 m5997.5 rD
R403 c0 b420 m5997.5 rU
R404 c0 b455 m6417.5 rW
R405 c0 b483 m6872.5 rB
R406 c0 b448 m6389.5 rW
R407 c0 b483 m6837.5 rU
R408 c0 b518 m7320.5 rW
R409 c0 b553 m7838.5 rL
R410 c0 b511 m7285.5 rU
R411 c1 b672 m8307.5 rD
R412 c1 b672 m8307.5 rL
R413 c1 b560 m6963.5 rB
R414 c1 b520 m6403.5 rU
R415 c1 b560 m6923.5 rW
R416 c1 b600 m7483.5 rS
R417 c1 b576 m7183.5 rW
R418 c0 b546 m7759.5 rU
R419 c1 b712 m8851.5 rH
R420 c0 b574 m8139.5 rL
R421 c0 b532 m7565.5 rJ
R422 c0 b588 m8363.5 rB
R423 c0 b546 m7775.5 rU
R424 c0 b623 m8867.5 rW
R425 c0 b665 m9490.5 rL
R426 c0 b574 m8160.5 rD
R427 c0 b574 m8160.5 rJ
R428 c0 b637 m9021.5 rL
R429 c0 b588 m8384.5 rD
R430 c0 b588 m8384.5 rB
R431 c0 b546 m7796.5 rW
R432 c0 b588 m8342.5 rL
R433 c0 b546 m7754.5 rS
R434 c0 b525 m7481.5 rW
R435 c0 b567 m8006.5 rL
R436 c0 b525 m7439.5 rJ
R437 c0 b581 m8227.5 rS
R438 c0 b560 m7937.0 rU
R439 c0 b595 m8497.0 rU
R440 c0 b637 m9092.0 rL
R441 c0 b595 m8455.0 rS
R442 c0 b574 m8157.5 rU
R443 c0 b616 m8731.5 rH
R444 c0 b574 m8115.5 rJ
R445 c0 b630 m8976.5 rL
R446 c0 b588 m8346.5 rU
R447 c0 b630 m8934.5 rH
R448 c0 b588 m8304.5 rS
R449 c0 b567 m8010.5 rU
R450 c0 b602 m8577.5 rU
R451 c0 b644 m9179.5 rW
R452 c0 b693 m9823.5 rD
R453 c0 b693 m9823.5 rU
R454 c0 b742 m10516.5 rW
R455 c0 b791 m11258.5 rL
R456 c0 b679 m9676.5 rL
R457 c0 b588 m8318.5 rL
R458 c0 b546 m7730.5 rW
R459 c0 b581 m8276.5 rD
R460 c0 b581 m8276.5 rL
R461 c0 b539 m7695.5 rS
R462 c0 b525 m7426.0 rW
R463 c0 b560 m7951.0 rU
R464 c0 b602 m8511.0 rJ
R465 c0 b665 m9414.0 rU
R466 c0 b756 m10744.0 rS
R467 c0 b728 m10366.0 rD
R468 c0 b728 m10366.0 rU
R469 c0 b833 m11822.0 rH
R470 c0 b770 m10989.0 rS
R471 c0 b749 m10604.0 rL
R472 c0 b693 m9855.0 rU
R473 c0 b791 m11241.0 rW
R474 c0 b847 m12032.0 rU
R475 c0 b903 m12879.0 rL
R476 c0 b840 m11976.0 rL
R477 c0 b784 m11136.0 rD
R478 c0 b784 m11136.0 rB
R479 c0 b728 m10352.0 rL
R480 c0 b623 m8896.0 rL
R481 c0 b539 m7650.0 rB
R482 c0 b504 m7111.0 rB
R483 c0 b469 m6607.0 rH
R484 c0 b434 m6138.0 rB
R485 c0 b406 m5704.0 rL
R486 c0 b371 m5298.0 rL
R487 c0 b350 m4927.0 rL
R488 c0 b322 m4577.0 rW
R489 c0 b371 m5221.0 rU
R490 c0 b392 m5592.0 rS
R491 c0 b378 m5396.0 rD
R492 c0 b378 m5396.0 rH
R493 c0 b357 m5018.0 rL
R494 c0 b329 m4661.0 rL
R495 c0 b308 m4332.0 rD
R496 c0 b308 m4332.0 rL
R497 c0 b287 m4024.0 rW
R498 c0 b308 m4311.0 rL
R499 c0 b287 m4003.0 rL
R500 c0 b266 m3716.0 rL
R501 c0 b245 m3450.0 rB
R502 c0 b231 m3205.0 rU
R503 c0 b245 m3436.0 rU
R504 c0 b259 m3681.0 rU
R505 c0 b280 m3940.0 rU
R506 c0 b301 m4220.0 rS
R507 c0 b287 m4069.5 rU
R508 c0 b308 m4356.5 rW
R509 c0 b329 m4664.5 rB
R510 c0 b308 m4335.5 rW
R511 c0 b329 m4643.5 rU
R512 c0 b350 m4972.5 rS
R513 c0 b336 m4797.5 rB
R514 c0 b315 m4461.5 rU
R515 c0 b336 m4776.5 rB
R516 c0 b315 m4440.5 rL
R517 c0 b294 m4125.5 rH
R518 c0 b252 m3537.5 rB
R519 c0 b231 m3285.5 rL
R520 c0 b217 m3054.5 rS
