============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rD
R2 c0 b700 m10000 rD
R3 c0 b700 m10000 rD
R4 c0 b700 m10000 rB
R5 c0 b651 m9300 rL
R6 c0 b609 m8649 rW
R7 c0 b651 m9258 rU
R8 c0 b700 m9909 rU
R9 c0 b749 m10609 rU
R10 c0 b798 m11358 rU
R11 c0 b854 m12156 rW
R12 c0 b917 m13010 rJ
R13 c0 b1008 m14386 rW
R14 c0 b1078 m15394 rU
R15 c1 b1320 m16472 rL
R16 c1 b1216 m15152 rU
R17 c1 b1312 m16368 rH
R18 c1 b1208 m15056 rL
R19 c1 b1112 m13848 rS
R20 c1 b1064 m13292.0 rS
R21 c0 b896 m12760.0 rB
R22 c0 b833 m11864.0 rU
R23 c0 b889 m12697.0 rH
R24 c0 b833 m11808.0 rH
R25 c0 b714 m10142.0 rU
R26 c0 b763 m10856.0 rU
R27 c0 b819 m11619.0 rU
R28 c0 b750 m12438.0 rW
R29 c0 b792 m13188.0 rU
R30 c0 b840 m13980.0 rD
R31 c0 b840 m13980.0 rW
R32 c0 b942 m15660.0 rS
R33 c0 b1064 m15189.0 rU
R34 c0 b1141 m16253.0 rL
R35 c0 b1064 m15112.0 rL
R36 c0 b987 m14048.0 rJ
R37 c0 b1092 m15529.0 rL
R38 c0 b1015 m14437.0 rL
R39 c0 b875 m12407.0 rU
R40 c0 b931 m13282.0 rL
R41 c0 b868 m12351.0 rS
R42 c0 b840 m11917.0 rB
R43 c0 b777 m11077.0 rU
R44 c0 b833 m11854.0 rB
R45 c0 b777 m11021.0 rU
R46 c1 b944 m11798.0 rL
R47 c0 b700 m9910.0 rU
R48 c1 b856 m10610.0 rU
R49 c1 b920 m11466.0 rW
R50 c1 b992 m12386.0 rJ
R51 c1 b1112 m13874.0 rD
R52 c1 b1112 m13874.0 rW
R53 c1 b1200 m14986.0 rH
R54 c0 b966 m13786.0 rB
R55 c1 b1032 m12820.0 rU
R56 c1 b1112 m13852.0 rL
R57 c0 b896 m12740.0 rW
R58 c0 b959 m13636.0 rH
R59 c0 b889 m12677.0 rH
R60 c0 b826 m11788.0 rL
R61 c0 b770 m10962.0 rW
R62 c0 b826 m11732.0 rW
R63 c0 b882 m12558.0 rD
R64 c0 b882 m12558.0 rH
R65 c0 b819 m11676.0 rD
R66 c0 b819 m11676.0 rU
R67 c0 b875 m12495.0 rH
R68 c0 b819 m11620.0 rU
R69 c0 b875 m12439.0 rJ
R70 c0 b966 m13752.0 rU
R71 c0 b1036 m14718.0 rU
R72 c0 b1176 m16790.0 rW
R73 c0 b1260 m17966.0 rB
