============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R171 c0 b672 m11132.5 rW
R172 c0 b714 m11804.5 rD
R173 c0 b714 m11804.5 rH
R174 c-4 b333 m11090.5 rW
R175 c-3 b460 m11423.5 rW
R176 c-1 b595 m11883.5 rL
R177 c-1 b565 m11288.5 rW
R178 c0 b714 m11853.5 rW
R179 c-4 b378 m12567.5 rL
R180 c-4 b366 m12189.5 rB
R181 c-5 b357 m11823.5 rS
R182 c-3 b468 m11645.0 rD
R183 c-1 b585 m11645.0 rJ
R184 c1 b1008 m12523.0 rJ
R185 c2 b1269 m14035.0 rB
R186 c4 b1280 m12766.0 rH
R187 c6 b1265 m11486.0 rU
R188 c6 b1551 m14016.0 rL
R189 c8 b1500 m12465.0 rW
R190 c8 b1680 m13965.0 rS
R191 c8 b1584 m13125.0 rS
R192 c9 b1488 m12333.0 rU
R193 c9 b1848 m15309.0 rL
R194 c10 b1620 m13461.0 rU
R195 c10 b1812 m15081.0 rL
R196 c9 b1596 m13269.0 rU
R197 c8 b1788 m14865.0 rH
R198 c8 b1572 m13077.0 rD
R199 c7 b1441 m13077.0 rS
R200 c6 b1364 m12356.5 rJ
R201 c5 b1450 m14402.5 rD
R202 c4 b1450 m14402.5 rB
R203 c2 b1170 m12952.5 rW
R204 c4 b1420 m14122.5 rU
R205 c6 b1716 m15542.5 rU
R206 c8 b2076 m17258.5 rL
R207 c10 b1824 m15182.5 rL
R208 c10 b1608 m13358.5 rU
R209 c10 b1800 m14966.5 rU
R210 c10 b2016 m16766.5 rJ
R211 c10 b2376 m19790.5 rU
R212 c9 b2664 m22166.5 rL
R213 c10 b2352 m19502.5 rB
R214 c8 b2064 m17150.5 rU
R215 c7 b2123 m19214.5 rW
R216 c8 b2568 m21337.5 rW
R217 c6 b2640 m23905.5 rB
R218 c7 b2343 m21265.5 rB
R219 c9 b2280 m18922.5 rS
R220 c9 b2136 m17782.5 rD
R221 c10 b2136 m17782.5 rU
R222 c7 b2200 m19918.5 rW
R223 c5 b2440 m24318.5 rS
R224 c3 b2079 m23098.5 rL
R225 c1 b1688 m21019.5 rU
R226 c2 b2052 m22707.5 rH
R227 c2 b1863 m20655.5 rW
R228 c1 b1808 m22518.5 rW
R229 c0 b1464 m24326.5 rL
R230 c0 b1374 m22862.5 rH
R231 c-1 b1075 m21488.5 rU
R232 c0 b1356 m22563.5 rL
R233 c1 b1704 m21207.5 rL
R234 c1 b1424 m17799.5 rD
R235 c0 b1246 m17799.5 rL
R236 c2 b1494 m16553.5 rL
R237 c1 b1208 m15059.5 rW
R238 c3 b1467 m16267.5 rH
R239 c4 b1490 m14800.5 rW
R240 c3 b1467 m16290.5 rL
R241 c4 b1490 m14823.5 rJ
R242 c5 b1710 m17058.5 rD
R243 c3 b1539 m17058.5 rL
R244 c6 b1716 m15519.5 rL
R245 c8 b1668 m13803.5 rJ
R246 c8 b1968 m16305.5 rB
R247 c8 b1728 m14337.5 rU
R248 c10 b1932 m16065.5 rD
R249 c10 b1932 m16065.5 rB
R250 c10 b1704 m14133.5 rU
R251 c10 b1908 m15837.5 rS
R252 c10 b1788 m14883.5 rH
R253 c10 b1572 m13095.5 rL
R254 c10 b1200 m9951.5 rW
R255 c10 b1344 m11151.5 rB
