============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R169 c0 b996 m16530.0 rL
R170 c0 b936 m15534.0 rD
R171 c0 b936 m15534.0 rH
R172 c0 b876 m14598.0 rL
R173 c0 b828 m13722.0 rU
R174 c0 b876 m14550.0 rU
R175 c0 b930 m15426.0 rU
R176 c0 b984 m16356.0 rB
R177 c0 b924 m15372.0 rU
R178 c0 b1038 m17220.0 rW
R179 c0 b1098 m18258.0 rL
R180 c0 b966 m16062.0 rU
R181 c0 b1026 m17028.0 rU
R182 c0 b1086 m18054.0 rB
R183 c0 b1020 m16968.0 rU
R184 c0 b1080 m17988.0 rL
R185 c0 b1020 m16908.0 rW
R186 c0 b1080 m17928.0 rB
R187 c0 b1014 m16848.0 rD
R188 c0 b1014 m16848.0 rJ
R189 c0 b1104 m18369.0 rB
R190 c0 b1038 m17265.0 rW
R191 c0 b1104 m18303.0 rU
R192 c0 b1236 m20511.0 rL
R193 c0 b1158 m19275.0 rW
R194 c0 b1230 m20433.0 rL
R195 c0 b1158 m19203.0 rU
R196 c0 b1224 m20361.0 rU
R197 c0 b1374 m22809.0 rW
R198 c0 b1452 m24183.0 rH
R199 c0 b1368 m22731.0 rB
R200 c0 b1284 m21363.0 rD
R201 c0 b1284 m21363.0 rW
R202 c0 b1362 m22647.0 rW
R203 c0 b1524 m25371.0 rU
R204 c0 b1710 m28419.0 rB
R205 c0 b1608 m26709.0 rJ
R206 c0 b1752 m29121.0 rU
R207 c0 b1854 m30873.0 rD
R208 c0 b1854 m30873.0 rU
R209 c0 b1968 m32727.0 rD
R210 c0 b1968 m32727.0 rS
R211 c0 b1908 m31743.0 rL
R212 c0 b1794 m29835.0 rL
R213 c0 b1686 m28041.0 rS
R214 c0 b1632 m27198.0 rU
R215 c0 b1734 m28830.0 rW
R216 c0 b1836 m30564.0 rW
R217 c0 b1944 m32400.0 rU
R218 c0 b2064 m34344.0 rB
R219 c0 b1938 m32280.0 rB
R220 c0 b1824 m30342.0 rB
R221 c0 b1716 m28518.0 rH
R222 c0 b1614 m26802.0 rL
R223 c0 b1512 m25188.0 rU
R224 c0 b1602 m26700.0 rS
R225 c0 b1554 m25899.0 rL
R226 c0 b1464 m24345.0 rH
R227 c0 b1374 m22881.0 rL
R228 c0 b1212 m20133.0 rW
R229 c0 b1284 m21345.0 rW
R230 c0 b1362 m22629.0 rH
R231 c0 b1278 m21267.0 rU
R232 c0 b1356 m22545.0 rB
R233 c0 b1272 m21189.0 rW
R234 c0 b1350 m22461.0 rU
R235 c0 b1434 m23811.0 rB
R236 c0 b1344 m22377.0 rU
R237 c0 b1428 m23721.0 rH
R238 c0 b1338 m22293.0 rU
R239 c0 b1500 m24969.0 rD
R240 c0 b1500 m24969.0 rU
R241 c0 b1680 m27969.0 rL
R242 c0 b1578 m26289.0 rD
R243 c0 b1578 m26289.0 rU
R244 c0 b1770 m29445.0 rS
R245 c0 b1716 m28560.0 rW
R246 c-1 b1515 m30276.0 rL
R247 c-1 b1440 m28761.0 rJ
R248 c-1 b1550 m30921.0 rL
R249 c-1 b1470 m29371.0 rS
R250 c-1 b1435 m28636.0 rB
R251 c-1 b1365 m27201.0 rW
R252 c-1 b1430 m28566.0 rU
R253 c-1 b1500 m29996.0 rB
R254 c-1 b1425 m28496.0 rL
R255 c-1 b1285 m25646.0 rW
R256 c-1 b1350 m26931.0 rW
R257 c-1 b1415 m28281.0 rW
R258 c-1 b1485 m29696.0 rB
R259 c-1 b1415 m28211.0 rU
R260 c-1 b1485 m29626.0 rS
R261 c-1 b1445 m28883.5 rW
R262 c-1 b1520 m30328.5 rU
R263 c-1 b1595 m31848.5 rH
R264 c-1 b1515 m30253.5 rW
R265 c-1 b1590 m31768.5 rL
R266 c-1 b1510 m30178.5 rW
R267 c-1 b1585 m31688.5 rD
R268 c-1 b1585 m31688.5 rW
R269 c-1 b1665 m33273.5 rW
R270 c-1 b1835 m36603.5 rJ
R271 c-1 b1970 m39356.5 rH
R272 c-1 b1870 m37386.5 rL
R273 c-1 b1780 m35516.5 rL
R274 c-1 b1690 m33736.5 rB
R275 c-1 b1605 m32046.5 rH
R276 c-1 b1525 m30441.5 rL
R277 c-1 b1450 m28916.5 rH
R278 c-1 b1375 m27466.5 rW
R279 c-1 b1445 m28841.5 rL
R280 c-1 b1370 m27396.5 rU
R281 c-1 b1440 m28766.5 rL
R282 c-1 b1370 m27326.5 rD
R283 c-1 b1370 m27326.5 rH
R284 c-1 b1300 m25956.5 rD
R285 c-1 b1300 m25956.5 rL
R286 c-1 b1235 m24656.5 rH
R287 c-1 b1175 m23421.5 rL
R288 c-1 b1115 m22246.5 rL
R289 c-1 b1060 m21131.5 rB
R290 c-1 b1005 m20071.5 rU
R291 c-1 b1055 m21076.5 rH
R292 c-1 b1005 m20021.5 rU
R293 c-1 b1055 m21026.5 rU
R294 c-1 b1105 m22081.5 rJ
R295 c-1 b1190 m23739.5 rS
R296 c-1 b1160 m23144.5 rU
R297 c-1 b1220 m24304.5 rW
R298 c-1 b1280 m25524.5 rS
R299 c-1 b1245 m24884.5 rW
R300 c-1 b1310 m26129.5 rW
R301 c-1 b1440 m28749.5 rW
R302 c-1 b1510 m30189.5 rU
R303 c-1 b1585 m31699.5 rW
R304 c-1 b1745 m34869.5 rU
R305 c-1 b1835 m36614.5 rL
R306 c-1 b1740 m34779.5 rU
R307 c-1 b1830 m36519.5 rL
R308 c-1 b1645 m32859.5 rL
R309 c-1 b1565 m31214.5 rJ
R310 c-1 b1680 m33562.5 rS
