============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: X
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rW
R2 c-1 b530 m10600 rH
R3 c-2 b505 m10070 rL
R4 c-4 b288 m9565 rH
R5 c-3 b372 m9277 rS
R6 c-3 b364 m9091.0 rU
R7 c2 b855 m9455.0 rU
R8 c1 b832 m10310.0 rL
R9 c0 b570 m9478.0 rU
R10 c0 b606 m10048.0 rL
R11 c5 b950 m9442.0 rL
R12 c5 b850 m8492.0 rL
R13 c10 b924 m7642.0 rL
R14 c10 b696 m5794.0 rU
R15 c10 b780 m6490.0 rS
R16 c10 b732 m6100.0 rW
R17 c10 b828 m6832.0 rH
R18 c9 b732 m6004.0 rL
R19 c10 b636 m5272.0 rU
R20 c10 b720 m5908.0 rL
R21 c10 b624 m5188.0 rL
R22 c9 b552 m4564.0 rB
R23 c9 b492 m4012.0 rL
R24 c10 b372 m3028.0 rL
R25 c8 b324 m2656.0 rU
R26 c9 b408 m3304.0 rH
R27 c10 b348 m2896.0 rU
R28 c10 b396 m3244.0 rU
R29 c10 b444 m3640.0 rB
R30 c9 b384 m3196.0 rL
R31 c9 b348 m2812.0 rL
R32 c6 b275 m2464.0 rL
R33 c4 b220 m2189.0 rD
R34 c9 b264 m2189.0 rW
R35 c10 b300 m2453.0 rW
R36 c10 b336 m2753.0 rU
R37 c10 b372 m3089.0 rJ
R38 c10 b444 m3647.0 rW
R39 c9 b492 m4091.0 rU
R40 c10 b612 m5075.0 rU
R41 c10 b684 m5687.0 rL
R42 c10 b612 m5003.0 rW
R43 c8 b684 m5615.0 rL
R44 c10 b600 m4931.0 rS
R45 c8 b564 m4631.0 rJ
R46 c7 b605 m5477.0 rL
R47 c4 b490 m4872.0 rL
R48 c3 b396 m4382.0 rU
R49 c8 b576 m4778.0 rU
R50 c6 b594 m5354.0 rW
R51 c4 b600 m5948.0 rW
R52 c6 b726 m6548.0 rB
R53 c5 b590 m5822.0 rH
R54 c10 b564 m4642.0 rB
R55 c10 b492 m4078.0 rJ
R56 c9 b588 m4816.0 rH
R57 c10 b516 m4228.0 rD
R58 c10 b516 m4228.0 rB
R59 c10 b456 m3712.0 rS
R60 c10 b420 m3484.0 rW
R61 c10 b528 m4324.0 rU
R62 c8 b588 m4852.0 rL
R63 c10 b516 m4264.0 rB
R64 c8 b456 m3748.0 rS
R65 c10 b432 m3520.0 rU
R66 c9 b480 m3952.0 rW
R67 c10 b600 m4912.0 rB
R68 c9 b528 m4312.0 rW
R69 c9 b588 m4840.0 rL
R70 c10 b516 m4252.0 rL
R71 c10 b456 m3736.0 rS
R72 c9 b432 m3508.0 rH
R73 c10 b324 m2644.0 rJ
R74 c7 b352 m3130.0 rW
R75 c6 b385 m3482.0 rL
R76 c6 b341 m3097.0 rB
R77 c10 b336 m2756.0 rU
R78 c10 b420 m3428.0 rU
R79 c10 b516 m4268.0 rS
R80 c8 b492 m4010.0 rL
R81 c6 b396 m3518.0 rU
R82 c6 b440 m3914.0 rS
R83 c5 b370 m3694.0 rW
R84 c6 b495 m4434.0 rW
R85 c5 b500 m4929.0 rD
R86 c5 b500 m4929.0 rL
R87 c10 b480 m3929.0 rW
R88 c8 b540 m4409.0 rH
R89 c10 b468 m3869.0 rU
R90 c8 b528 m4337.0 rB
R91 c10 b468 m3809.0 rU
R92 c10 b576 m4745.0 rU
R93 c8 b648 m5321.0 rS
R94 c7 b550 m4997.0 rB
R95 c6 b495 m4447.0 rU
R96 c5 b550 m5437.0 rU
R97 c10 b720 m5987.0 rB
R98 c9 b636 m5267.0 rJ
R99 c8 b756 m6221.0 rB
R100 c7 b605 m5465.0 rU
R101 c7 b671 m6070.0 rW
R102 c10 b816 m6741.0 rS
R103 c10 b768 m6333.0 rU
R104 c10 b864 m7101.0 rU
R105 c10 b960 m7965.0 rU
R106 c9 b1080 m8925.0 rS
R107 c8 b1008 m8385.0 rW
R108 c10 b1128 m9393.0 rB
R109 c9 b996 m8265.0 rD
R110 c9 b996 m8265.0 rL
R111 c8 b876 m7269.0 rW
R112 c7 b902 m8145.0 rU
R113 c5 b910 m9047.0 rW
R114 c10 b1200 m9957.0 rU
R115 c10 b1488 m12357.0 rU
R116 c10 b1848 m15333.0 rL
R117 c10 b1620 m13485.0 rU
R118 c10 b2016 m16725.0 rS
R119 c9 b1896 m15717.0 rW
R120 c10 b2124 m17613.0 rH
R121 c10 b1860 m15489.0 rW
R122 c7 b1914 m17349.0 rU
R123 c5 b1930 m19263.0 rW
R124 c6 b2332 m21193.0 rB
R125 c5 b1890 m18861.0 rU
R126 c9 b2496 m20751.0 rL
R127 c9 b2196 m18255.0 rW
R128 c10 b2460 m20451.0 rW
R129 c8 b2760 m22911.0 rL
R130 c9 b2088 m17391.0 rL
R131 c10 b1596 m13215.0 rB
R132 c8 b1404 m11619.0 rL
R133 c8 b1236 m10215.0 rD
R134 c10 b1236 m10215.0 rU
R135 c10 b1380 m11451.0 rU
R136 c10 b1716 m14211.0 rS
R137 c9 b1608 m13353.0 rU
R138 c9 b1800 m14961.0 rU
R139 c10 b2016 m16761.0 rL
R140 c10 b1776 m14745.0 rL
R141 c10 b1560 m12969.0 rS
R142 c9 b1464 m12189.0 rW
R143 c9 b1644 m13653.0 rJ
R144 c8 b1944 m16119.0 rL
R145 c10 b1704 m14175.0 rD
R146 c6 b1562 m14175.0 rS
R147 c6 b1474 m13394.0 rD
R148 c10 b1608 m13394.0 rL
R149 c7 b1298 m11786.0 rU
R150 c10 b1572 m13084.0 rW
R151 c8 b1764 m14656.0 rW
R152 c10 b1980 m16420.0 rW
R153 c10 b2208 m18400.0 rH
R154 c10 b1944 m16192.0 rL
R155 c10 b1716 m14248.0 rL
R156 c10 b1308 m10816.0 rL
R157 c8 b1152 m9508.0 rJ
R158 c7 b1243 m11236.0 rW
R159 c7 b1375 m12479.0 rL
R160 c10 b1344 m11104.0 rW
R161 c10 b1500 m12448.0 rW
R162 c10 b1680 m13948.0 rW
R163 c10 b1884 m15628.0 rW
R164 c10 b2112 m17512.0 rU
R165 c9 b2616 m21736.0 rB
R166 c9 b2304 m19120.0 rU
R167 c8 b2580 m21424.0 rU
R168 c9 b2892 m24004.0 rH
R169 c10 b2196 m18220.0 rL
R170 c10 b1932 m16024.0 rL
R171 c7 b1551 m14092.0 rL
R172 c8 b1512 m12541.0 rJ
R173 c6 b1639 m14809.0 rH
R174 c10 b1584 m13170.0 rD
R175 c10 b1584 m13170.0 rH
R176 c9 b1392 m11586.0 rU
R177 c10 b1560 m12978.0 rL
R178 c10 b1188 m9858.0 rD
R179 c9 b1188 m9858.0 rB
R180 c7 b957 m8670.0 rH
R181 c10 b936 m7713.0 rB
R182 c8 b816 m6777.0 rU
R183 c10 b912 m7593.0 rL
R184 c10 b804 m6681.0 rD
R185 c10 b804 m6681.0 rH
R186 c10 b708 m5877.0 rU
R187 c10 b792 m6585.0 rU
R188 c7 b814 m7377.0 rL
R189 c10 b792 m6563.0 rH
R190 c6 b638 m5771.0 rL
R191 c5 b520 m5133.0 rS
R192 c3 b441 m4873.0 rU
R193 c9 b648 m5314.0 rL
R194 c10 b564 m4666.0 rL
R195 c9 b504 m4102.0 rL
R196 c8 b432 m3598.0 rH
R197 c9 b384 m3166.0 rW
R198 c9 b432 m3550.0 rS
R199 c8 b408 m3334.0 rU
R200 c10 b456 m3742.0 rL
R201 c10 b396 m3286.0 rH
R202 c10 b348 m2890.0 rU
R203 c10 b396 m3238.0 rW
R204 c10 b444 m3634.0 rW
R205 c8 b492 m4078.0 rW
R206 c8 b552 m4570.0 rH
R207 c10 b492 m4018.0 rS
R208 c9 b456 m3772.0 rB
R209 c8 b408 m3316.0 rW
R210 c6 b418 m3724.0 rU
R211 c10 b504 m4142.0 rB
R212 c9 b444 m3638.0 rH
R213 c10 b384 m3194.0 rU
R214 c10 b432 m3578.0 rU
R215 c8 b492 m4010.0 rW
R216 c10 b552 m4502.0 rS
R217 c9 b516 m4226.0 rL
R218 c10 b384 m3194.0 rL
R219 c9 b348 m2810.0 rD
R220 c6 b319 m2810.0 rU
R221 c10 b420 m3448.0 rW
R222 c7 b429 m3868.0 rU
R223 c10 b516 m4297.0 rW
R224 c10 b648 m5329.0 rH
R225 c10 b564 m4681.0 rJ
R226 c8 b672 m5527.0 rL
R227 c10 b588 m4855.0 rW
R228 c10 b660 m5443.0 rS
R229 c10 b624 m5113.0 rL
R230 c9 b540 m4489.0 rU
R231 c10 b612 m5029.0 rW
R232 c8 b684 m5641.0 rB
R233 c7 b550 m4957.0 rL
R234 c7 b495 m4407.0 rU
R235 c5 b500 m4902.0 rU
R236 c10 b660 m5402.0 rL
R237 c10 b492 m4082.0 rU
R238 c10 b612 m5066.0 rD
R239 c6 b561 m5066.0 rW
R240 c10 b684 m5627.0 rU
R241 c10 b768 m6311.0 rH
R242 c6 b616 m5543.0 rL
R243 c10 b600 m4927.0 rD
R244 c10 b600 m4927.0 rL
R245 c10 b456 m3727.0 rW
R246 c8 b504 m4183.0 rS
R247 c8 b480 m3931.0 rW
R248 c5 b450 m4411.0 rU
R249 c6 b539 m4861.0 rW
R250 c10 b720 m5939.0 rU
R251 c8 b804 m6659.0 rB
R252 c10 b708 m5855.0 rW
R253 c8 b792 m6563.0 rW
R254 c10 b888 m7355.0 rL
R255 c10 b780 m6467.0 rD
R256 c9 b780 m6467.0 rL
R257 c10 b684 m5687.0 rJ
R258 c8 b816 m6713.0 rH
R259 c10 b708 m5897.0 rL
R260 c10 b624 m5189.0 rB
R261 c8 b552 m4565.0 rL
R262 c10 b420 m3461.0 rW
R263 c10 b468 m3881.0 rB
R264 c9 b420 m3413.0 rH
R265 c7 b330 m2993.0 rL
R266 c10 b288 m2333.0 rU
R267 c8 b324 m2621.0 rL
R268 c10 b276 m2297.0 rS
R269 c10 b264 m2159.0 rU
R270 c10 b300 m2423.0 rB
R271 c8 b264 m2123.0 rL
R272 c10 b228 m1859.0 rH
R273 c8 b204 m1631.0 rS
R274 c10 b192 m1529.0 rW
R275 c10 b216 m1721.0 rU
R276 c10 b240 m1937.0 rB
R277 c9 b204 m1697.0 rL
R278 c9 b180 m1493.0 rL
R279 c8 b168 m1313.0 rL
R280 c7 b132 m1145.0 rL
R281 c10 b132 m1013.0 rL
R282 c10 b108 m881.0 rD
R283 c10 b108 m881.0 rU
R284 c10 b132 m1097.0 rL
R285 c10 b108 m833.0 rS
R286 c10 b96 m779.0 rW
R287 c10 b108 m875.0 rL
R288 c10 b96 m767.0 rU
R289 c10 b108 m863.0 rW
R290 c10 b120 m971.0 rD
R291 c10 b120 m971.0 rU
R292 c9 b132 m1091.0 rH
R293 c8 b120 m959.0 rL
R294 c10 b108 m839.0 rD
R295 c8 b108 m839.0 rB
R296 c7 b88 m731.0 rD
R297 c3 b72 m731.0 rB
R298 c2 b63 m659.0 rU
R299 c7 b88 m722.0 rB
R300 c10 b84 m634.0 rL
R301 c10 b60 m466.0 rW
R302 c10 b72 m586.0 rU
R303 c8 b84 m658.0 rS
R304 c7 b77 m616.0 rU
R305 c7 b77 m693.0 rH
R306 c7 b77 m616.0 rU
R307 c5 b70 m693.0 rL
R308 c8 b84 m623.0 rD
R309 c4 b70 m623.0 rH
R310 c9 b72 m553.0 rL
R311 c9 b60 m481.0 rU
R312 c9 b84 m601.0 rJ
R313 c8 b96 m727.0 rL
R314 c9 b84 m631.0 rU
R315 c7 b88 m715.0 rL
R316 c8 b84 m627.0 rB
R317 c10 b72 m543.0 rW
R318 c8 b84 m615.0 rU
R319 c7 b77 m699.0 rD
R320 c9 b84 m699.0 rD
R321 c8 b84 m699.0 rD
R322 c7 b77 m699.0 rU
R323 c10 b96 m776.0 rB
R324 c8 b84 m680.0 rH
R325 c10 b72 m512.0 rU
R326 c10 b72 m584.0 rU
R327 c10 b96 m728.0 rU
R328 c10 b108 m824.0 rL
R329 c7 b88 m716.0 rL
R330 c10 b84 m628.0 rW
R331 c10 b96 m796.0 rL
R332 c8 b84 m700.0 rH
R333 c9 b84 m616.0 rB
R334 c8 b72 m532.0 rB
R335 c6 b55 m460.0 rB
R336 c5 b50 m405.0 rH
R337 c10 b48 m355.0 rB
R338 c8 b48 m307.0 rL
R339 c10 b36 m211.0 rH
R340 c9 b24 m175.0 rW
R341 c7 b22 m199.0 rL
R342 c10 b24 m177.0 rW
R343 c10 b36 m201.0 rH
R344 c10 b24 m165.0 rW
R345 c9 b24 m189.0 rH
R346 c10 b24 m165.0 rU
R347 c10 b24 m189.0 rL
R348 c8 b24 m165.0 rW
R349 c9 b24 m189.0 rL
R350 c7 b22 m165.0 rW
R351 c5 b20 m187.0 rL
R352 c2 b18 m167.0 rL
R353 c2 b18 m131.0 rL
R354 c10 b12 m95.0 rW
R355 c10 b24 m119.0 rS
R356 c8 b24 m107.0 rU
R357 c9 b24 m131.0 rL
R358 c8 b24 m107.0 rU
R359 c5 b20 m131.0 rL
R360 c10 b24 m111.0 rW
R361 c9 b24 m135.0 rD
R362 c8 b24 m135.0 rL
R363 c10 b24 m111.0 rH
R364 c10 b12 m87.0 rW
R365 c10 b12 m99.0 rU
R366 c10 b24 m111.0 rL
R367 c10 b12 m87.0 rU
R368 c10 b12 m99.0 rW
R369 c6 b22 m111.0 rU
R370 c10 b24 m133.0 rB
R371 c8 b24 m109.0 rL
R372 c10 b12 m85.0 rJ
R373 c10 b24 m103.0 rB
R374 c9 b12 m79.0 rU
R375 c10 b12 m91.0 rS
R376 c10 b12 m85.0 rD
R377 c9 b12 m85.0 rU
R378 c10 b12 m97.0 rB
R379 c8 b12 m85.0 rU
R380 c9 b12 m97.0 rD
R381 c7 b11 m97.0 rJ
R382 c9 b24 m114.0 rB
R383 c8 b12 m90.0 rH
R384 c10 b12 m78.0 rW
R385 c8 b12 m90.0 rD
R386 c7 b11 m90.0 rW
R387 c8 b24 m112.0 rU
R388 c10 b24 m136.0 rS
R389 c9 b24 m124.0 rL
R390 c7 b11 m100.0 rH
R391 c7 b11 m89.0 rB
R392 c10 b12 m78.0 rJ
R393 c10 b12 m96.0 rL
R394 c7 b11 m84.0 rD
R395 c10 b12 m84.0 rL
R396 c10 b12 m72.0 rU
R397 c10 b12 m84.0 rU
R398 c10 b12 m96.0 rS
R399 c9 b12 m90.0 rW
R400 c10 b24 m102.0 rL
R401 c9 b12 m78.0 rH
R402 c8 b12 m66.0 rU
R403 c8 b12 m78.0 rB
R404 c7 b11 m66.0 rD
R405 c4 b10 m66.0 rW
R406 c10 b12 m86.0 rJ
R407 c9 b24 m104.0 rU
R408 c10 b24 m128.0 rU
R409 c10 b24 m152.0 rL
R410 c10 b24 m128.0 rB
R411 c9 b24 m104.0 rH
R412 c10 b12 m56.0 rU
R413 c10 b12 m68.0 rU
R414 c10 b12 m80.0 rB
R415 c10 b12 m68.0 rW
R416 c10 b12 m80.0 rW
R417 c10 b12 m92.0 rB
R418 c9 b12 m80.0 rB
R419 c10 b12 m68.0 rU
R420 c10 b12 m80.0 rS
R421 c10 b12 m74.0 rW
R422 c8 b12 m86.0 rW
R423 c8 b12 m98.0 rL
R424 c10 b12 m86.0 rH
R425 c10 b12 m74.0 rW
R426 c10 b12 m98.0 rU
R427 c10 b24 m122.0 rL
R428 c8 b12 m98.0 rD
R429 c8 b12 m98.0 rU
R430 c8 b24 m122.0 rH
R431 c8 b12 m98.0 rL
R432 c8 b12 m74.0 rS
R433 c7 b11 m68.0 rJ
R434 c8 b12 m85.0 rU
R435 c10 b24 m109.0 rW
R436 c8 b24 m133.0 rU
R437 c10 b24 m157.0 rU
R438 c9 b24 m181.0 rU
R439 c10 b36 m205.0 rU
R440 c10 b36 m241.0 rU
R441 c8 b36 m277.0 rW
R442 c10 b48 m313.0 rU
R443 c10 b48 m361.0 rS
R444 c10 b48 m337.0 rL
R445 c9 b36 m289.0 rL
R446 c10 b36 m253.0 rH
R447 c10 b36 m217.0 rJ
R448 c9 b36 m271.0 rL
R449 c10 b36 m235.0 rL
R450 c10 b24 m199.0 rW
R451 c9 b36 m247.0 rU
R452 c10 b36 m283.0 rU
R453 c10 b48 m355.0 rW
R454 c7 b55 m403.0 rW
R455 c8 b60 m458.0 rU
R456 c10 b72 m518.0 rD
R457 c6 b66 m518.0 rU
R458 c10 b72 m584.0 rL
R459 c8 b72 m512.0 rB
R460 c7 b55 m440.0 rU
R461 c6 b66 m550.0 rL
R462 c8 b60 m484.0 rW
R463 c8 b72 m544.0 rU
R464 c10 b84 m616.0 rU
R465 c10 b84 m700.0 rW
R466 c9 b96 m784.0 rH
R467 c7 b77 m688.0 rL
R468 c10 b84 m611.0 rU
R469 c10 b84 m695.0 rU
R470 c9 b96 m779.0 rL
R471 c8 b84 m683.0 rJ
R472 c10 b108 m809.0 rH
R473 c9 b96 m701.0 rL
R474 c10 b84 m605.0 rW
R475 c9 b96 m773.0 rL
R476 c10 b84 m677.0 rL
R477 c7 b66 m593.0 rU
R478 c10 b84 m659.0 rB
R479 c9 b72 m575.0 rJ
R480 c6 b77 m683.0 rJ
R481 c6 b88 m799.0 rL
