============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: R
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b700 m10000 rH
R2 c0 b558 m9300 rD
R3 c0 b465 m9300 rB
R4 c0 b801 m8835 rU
R5 c0 b679 m9636 rL
R6 c0 b1080 m8957 rH
R7 c0 b79 m7877 rS
R8 c0 b79 m7837.5 rL
R9 c0 b462 m7679.5 rH
R10 c0 b146 m7217.5 rL
R11 c0 b213 m7071.5 rH
R12 c0 b621 m6858.5 rB
R13 c0 b504 m6237.5 rU
R14 c0 b544 m6741.5 rS
R15 c0 b585 m6469.5 rS
R16 c0 b186 m6177.0 rW
R17 c0 b330 m6549.0 rS
R18 c0 b128 m6384.0 rJ
R19 c0 b726 m6576.0 rL
R20 c0 b590 m5850.0 rS
R21 c0 b112 m5555.0 rL
R22 c0 b605 m5443.0 rH
R23 c0 b258 m4233.0 rL
R24 c0 b80 m3975.0 rJ
R25 c0 b82 m4095.0 rL
R26 c0 b41 m4013.0 rL
R27 c0 b240 m3972.0 rJ
R28 c0 b528 m4332.0 rW
R29 c0 b588 m4860.0 rW
R30 c0 b495 m5448.0 rL
R31 c0 b100 m4953.0 rL
R32 c0 b441 m4853.0 rL
R33 c0 b360 m3971.0 rW
R34 c0 b484 m4331.0 rJ
R35 c0 b510 m5057.0 rD
R36 c0 b459 m5057.0 rB
R37 c0 b230 m4598.0 rU
R38 c0 b561 m5058.0 rW
R39 c0 b684 m5619.0 rS
R40 c0 b477 m5277.0 rU
R41 c0 b116 m5754.0 rS
R42 c0 b171 m5696.0 rH
R43 c0 b672 m5525.0 rS
R44 c0 b104 m5189.0 rU
R45 c0 b583 m5293.0 rB
R46 c0 b192 m4710.0 rU
R47 c0 b100 m4902.0 rW
R48 c0 b51 m5002.0 rL
R49 c0 b441 m4900.0 rD
R50 c0 b294 m4900.0 rU
R51 c0 b572 m5194.0 rL
R52 c0 b423 m4622.0 rU
R53 c0 b153 m5045.0 rU
R54 c0 b624 m5198.0 rU
R55 c0 b780 m6446.0 rD
R56 c0 b715 m6446.0 rL
R57 c0 b51 m5016.0 rW
R58 c0 b561 m5067.0 rB
R59 c0 b276 m4506.0 rW
R60 c0 b528 m4782.0 rL
R61 c0 b129 m4254.0 rS
R62 c0 b252 m4189.5 rW
R63 c0 b405 m4441.5 rW
R64 c0 b98 m4846.5 rU
R65 c0 b250 m4944.5 rB
R66 c0 b423 m4694.5 rB
R67 c0 b215 m4271.5 rB
R68 c0 b492 m4056.5 rU
R69 c0 b368 m4548.5 rJ
R70 c0 b364 m5100.5 rL
R71 c0 b308 m4372.5 rB
R72 c0 b205 m4064.5 rH
R73 c0 b390 m3859.5 rW
R74 c0 b129 m4249.5 rL
R75 c0 b252 m4120.5 rL
R76 c0 b156 m3868.5 rL
R77 c0 b418 m3712.5 rL
R78 c0 b165 m3294.5 rW
