============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: R
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b900 m10000 rD
R2 c0 b700 m10000 rW
R3 c0 b214 m10700 rL
R4 c0 b945 m10486 rW
R5 c0 b1150 m11431 rU
R6 c0 b504 m12581 rU
R7 c0 b1048 m13085 rU
R8 c0 b426 m14133 rL
R9 c0 b138 m13707 rL
R10 c0 b1224 m13569 rU
R11 c0 b1184 m14793 rU
R12 c0 b1920 m15977 rB
R13 c0 b1692 m14057 rU
R14 c0 b1750 m17441 rL
R15 c0 b1570 m15691 rU
R16 c0 b346 m17261 rU
R17 c0 b1770 m17607 rL
R18 c0 b954 m15837 rB
R19 c0 b596 m14883 rW
R20 c0 b1240 m15479 rW
R21 c0 b1680 m16719 rS
R22 c0 b636 m15879.0 rB
R23 c0 b306 m15243.0 rU
R24 c0 b312 m15549.0 rB
R25 c0 b612 m15237.0 rS
R26 c0 b1050 m14931.0 rL
R27 c0 b556 m13881.0 rL
R28 c0 b1072 m13325.0 rL
R29 c0 b1120 m11181.0 rU
R30 c0 b992 m12301.0 rW
R31 c0 b1001 m14285.0 rW
R32 c0 b612 m15286.0 rL
R33 c0 b1764 m14674.0 rW
R34 c0 b990 m16438.0 rW
R35 c0 b1400 m17428.0 rW
R36 c0 b189 m18828.0 rH
R37 c0 b1496 m18639.0 rL
R38 c0 b1720 m17143.0 rW
R39 c0 b378 m18863.0 rU
R40 c0 b193 m19241.0 rB
R41 c0 b1146 m19048.0 rL
R42 c0 b720 m17902.0 rU
R43 c0 b970 m19342.0 rU
R44 c0 b213 m21282.0 rB
R45 c0 b422 m21069.0 rL
R46 c0 b1827 m20225.0 rL
R47 c0 b736 m18398.0 rS
R48 c0 b1991 m18030.0 rS
R49 c0 b342 m17034.5 rH
R50 c0 b835 m16692.5 rS
R51 c0 b1630 m16275.0 rU
R52 c0 b1260 m17905.0 rL
R53 c0 b1503 m16645.0 rL
R54 c0 b1507 m13639.0 rU
R55 c0 b304 m15146.0 rL
R56 c0 b596 m14842.0 rW
R57 c0 b620 m15438.0 rL
R58 c0 b149 m14818.0 rU
R59 c0 b300 m14967.0 rL
R60 c0 b1728 m14367.0 rS
R61 c0 b680 m13503.0 rW
R62 c0 b852 m14183.0 rU
R63 c0 b453 m15035.0 rL
R64 c0 b1460 m14582.0 rL
R65 c0 b132 m13122.0 rL
R66 c0 b910 m12990.0 rL
R67 c0 b484 m12080.0 rD
R68 c0 b484 m12080.0 rS
R69 c0 b357 m11838.0 rU
R70 c0 b732 m12195.0 rJ
R71 c0 b266 m13293.0 rW
R72 c0 b272 m13559.0 rL
R73 c0 b931 m13287.0 rS
R74 c0 b1419 m12821.5 rL
R75 c0 b920 m11402.5 rB
R76 c0 b735 m10482.5 rH
R77 c0 b637 m9012.5 rU
R78 c0 b721 m10286.5 rW
