============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: R
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R175 c0 b420 m4196.5 rW
R176 c0 b517 m4616.5 rU
R177 c0 b399 m5650.5 rJ
R178 c0 b126 m6249.5 rW
R179 c0 b320 m6375.5 rW
R180 c0 b134 m6695.5 rL
R181 c0 b528 m6561.5 rL
R182 c0 b244 m6033.5 rL
R183 c0 b224 m5545.5 rL
R184 c0 b108 m5321.5 rW
R185 c0 b330 m5429.5 rU
R186 c0 b174 m5759.5 rB
R187 c0 b336 m5585.5 rL
R188 c0 b600 m4913.5 rW
R189 c0 b224 m5513.5 rL
R190 c0 b424 m5289.5 rL
R191 c0 b245 m4865.5 rL
R192 c0 b188 m4620.5 rU
R193 c0 b588 m4808.5 rU
R194 c0 b720 m5984.5 rD
R195 c0 b60 m5984.5 rB
R196 c0 b60 m5924.5 rW
R197 c0 b420 m5984.5 rB
R198 c0 b616 m5564.5 rJ
R199 c0 b780 m6488.5 rW
R200 c0 b365 m7268.5 rW
R201 c0 b539 m7633.5 rL
R202 c0 b330 m6555.5 rW
R203 c0 b414 m6885.5 rD
R204 c0 b690 m6885.5 rL
R205 c0 b744 m6195.5 rU
R206 c0 b210 m6939.5 rL
R207 c0 b748 m6729.5 rD
R208 c0 b748 m6729.5 rW
R209 c0 b825 m7477.5 rW
R210 c0 b252 m8302.5 rS
R211 c0 b738 m8176.5 rW
R212 c0 b776 m9652.5 rL
R213 c0 b801 m8876.5 rU
R214 c0 b970 m9677.5 rL
R215 c0 b352 m8707.5 rU
R216 c0 b1001 m9059.5 rU
R217 c0 b202 m10060.5 rL
R218 c0 b594 m9858.5 rH
R219 c0 b744 m9264.5 rU
R220 c0 b202 m10008.5 rB
R221 c0 b396 m9806.5 rB
R222 c0 b285 m9410.5 rU
R223 c0 b776 m9695.5 rU
R224 c0 b525 m10471.5 rB
R225 c0 b100 m9946.5 rD
R226 c0 b200 m9946.5 rJ
R227 c0 b1133 m10246.5 rH
R228 c0 b720 m7980.5 rS
R229 c0 b847 m7620.5 rD
R230 c0 b308 m7620.5 rB
R231 c0 b74 m7312.5 rD
R232 c0 b370 m7312.5 rW
R233 c0 b231 m7682.5 rU
R234 c0 b560 m7913.5 rB
R235 c0 b222 m7353.5 rB
R236 c0 b504 m7131.5 rL
R237 c0 b804 m6627.5 rH
R238 c0 b510 m5019.5 rW
R239 c0 b224 m5529.5 rL
R240 c0 b216 m5305.5 rU
R241 c0 b616 m5521.5 rH
R242 c0 b300 m4905.5 rB
R243 c0 b282 m4605.5 rL
R244 c0 b396 m4323.5 rH
R245 c0 b480 m3927.5 rL
R246 c0 b140 m3447.5 rH
R247 c0 b408 m3307.5 rD
R248 c0 b102 m3307.5 rL
R249 c0 b132 m3205.5 rW
R250 c0 b238 m3337.5 rH
R251 c0 b93 m3099.5 rU
R252 c0 b384 m3192.5 rJ
R253 c0 b456 m3768.5 rL
R254 c0 b34 m3312.5 rU
R255 c0 b374 m3380.5 rS
R256 c0 b384 m3193.5 rU
R257 c0 b280 m3961.5 rW
R258 c0 b473 m4241.5 rS
R259 c0 b287 m4005.0 rS
R260 c0 b273 m3861.5 rL
R261 c0 b108 m3588.5 rJ
R262 c0 b190 m3750.5 rL
R263 c0 b72 m3560.5 rD
R264 c0 b432 m3560.5 rB
R265 c0 b64 m3128.5 rD
R266 c0 b32 m3128.5 rW
R267 c0 b192 m3160.5 rU
R268 c0 b408 m3352.5 rW
R269 c0 b342 m3760.5 rL
R270 c0 b280 m3418.5 rL
R271 c0 b64 m3138.5 rB
R272 c0 b248 m3074.5 rL
R273 c0 b348 m2826.5 rW
R274 c0 b256 m3174.5 rB
R275 c0 b90 m2918.5 rW
R276 c0 b217 m3008.5 rL
R277 c0 b234 m2574.5 rU
R278 c0 b290 m2808.5 rL
R279 c0 b52 m2518.5 rU
R280 c0 b26 m2570.5 rL
R281 c0 b208 m2544.5 rH
R282 c0 b192 m2336.5 rB
R283 c0 b154 m2144.5 rU
R284 c0 b92 m2298.5 rS
R285 c0 b207 m2252.5 rH
R286 c0 b228 m1838.5 rW
R287 c0 b105 m2066.5 rL
R288 c0 b160 m1961.5 rL
R289 c0 b57 m1801.5 rU
R290 c0 b114 m1858.5 rU
R291 c0 b100 m1972.5 rL
R292 c0 b133 m1872.5 rW
R293 c0 b63 m2005.5 rW
R294 c0 b242 m2131.5 rH
R295 c0 b190 m1889.5 rU
R296 c0 b105 m2079.5 rB
R297 c0 b200 m1974.5 rU
R298 c0 b22 m2174.5 rH
R299 c0 b264 m2152.5 rD
R300 c0 b198 m2152.5 rW
R301 c0 b240 m2350.5 rL
R302 c0 b88 m2110.5 rW
R303 c0 b66 m2198.5 rU
R304 c0 b264 m2330.5 rH
R305 c0 b147 m2066.5 rH
R306 c0 b80 m1919.5 rL
R307 c0 b133 m1839.5 rS
R308 c0 b180 m1773.0 rL
R309 c0 b80 m1593.0 rL
R310 c0 b48 m1513.0 rB
R311 c0 b60 m1465.0 rU
R312 c0 b192 m1525.0 rH
R313 c0 b70 m1333.0 rL
R314 c0 b144 m1193.0 rU
R315 c0 b56 m1337.0 rS
R316 c0 b84 m1309.0 rB
R317 c0 b52 m1225.0 rU
R318 c0 b156 m1277.0 rH
R319 c0 b72 m1121.0 rU
R320 c0 b96 m1193.0 rW
R321 c0 b13 m1289.0 rD
R322 c0 b104 m1289.0 rW
R323 c0 b28 m1393.0 rL
R324 c0 b154 m1365.0 rB
R325 c0 b156 m1211.0 rS
R326 c0 b60 m1133.0 rW
R327 c0 b48 m1193.0 rB
R328 c0 b108 m1145.0 rS
R329 c0 b88 m1091.0 rU
R330 c0 b104 m1267.0 rL
R331 c0 b132 m1163.0 rW
R332 c0 b65 m1295.0 rU
R333 c0 b42 m1360.0 rL
R334 c0 b39 m1276.0 rL
R335 c0 b117 m1237.0 rB
R336 c0 b132 m1120.0 rW
R337 c0 b14 m1384.0 rL
R338 c0 b84 m1370.0 rS
R339 c0 b98 m1328.0 rD
R340 c0 b154 m1328.0 rJ
R341 c0 b192 m1559.0 rU
R342 c0 b216 m1751.0 rL
R343 c0 b48 m1535.0 rB
R344 c0 b30 m1487.0 rU
R345 c0 b112 m1517.0 rW
R346 c0 b68 m1629.0 rD
R347 c0 b204 m1629.0 rW
R348 c0 b189 m2037.0 rL
R349 c0 b114 m1848.0 rU
R350 c0 b60 m1962.0 rD
R351 c0 b80 m1962.0 rB
R352 c0 b190 m1882.0 rH
R353 c0 b17 m1692.0 rW
R354 c0 b162 m1709.0 rL
R355 c0 b16 m1547.0 rW
R356 c0 b48 m1563.0 rS
R357 c0 b176 m1539.0 rB
R358 c0 b154 m1363.0 rB
R359 c0 b104 m1209.0 rS
R360 c0 b60 m1157.0 rH
R361 c0 b99 m1097.0 rS
R362 c0 b77 m1047.5 rL
R363 c0 b90 m893.5 rL
R364 c0 b72 m803.5 rL
R365 c0 b56 m731.5 rS
R366 c0 b16 m703.5 rW
R367 c0 b88 m719.5 rW
R368 c0 b63 m807.5 rH
R369 c0 b32 m744.5 rU
R370 c0 b64 m776.5 rB
R371 c0 b32 m712.5 rS
R372 c0 b63 m696.5 rL
R373 c0 b77 m633.5 rD
R374 c0 b63 m633.5 rU
R375 c0 b21 m696.5 rW
R376 c0 b72 m717.5 rL
R377 c0 b21 m645.5 rJ
R378 c0 b77 m677.5 rS
R379 c0 b49 m639.0 rD
R380 c0 b21 m639.0 rL
R381 c0 b6 m597.0 rB
R382 c0 b60 m591.0 rH
R383 c0 b66 m531.0 rB
R384 c0 b35 m465.0 rB
R385 c0 b55 m430.0 rU
R386 c0 b35 m485.0 rU
R387 c0 b36 m520.0 rS
R388 c0 b12 m502.0 rL
R389 c0 b20 m490.0 rU
R390 c0 b66 m510.0 rL
R391 c0 b16 m378.0 rL
R392 c0 b32 m362.0 rU
R393 c0 b12 m394.0 rH
R394 c0 b12 m370.0 rU
R395 c0 b44 m382.0 rH
R396 c0 b24 m338.0 rD
R397 c0 b28 m338.0 rL
R398 c0 b21 m282.0 rD
R399 c0 b24 m282.0 rS
R400 c0 b21 m270.0 rU
R401 c0 b6 m291.0 rU
R402 c0 b3 m297.0 rH
R403 c0 b6 m294.0 rL
R404 c0 b3 m288.0 rL
R405 c0 b27 m285.0 rL
R406 c0 b12 m258.0 rB
R407 c0 b21 m246.0 rU
R408 c0 b3 m267.0 rL
R409 c0 b9 m264.0 rD
R410 c0 b9 m264.0 rD
R411 c0 b24 m264.0 rW
R412 c0 b12 m288.0 rU
R413 c0 b9 m300.0 rU
R414 c0 b24 m309.0 rB
R415 c0 b15 m285.0 rB
R416 c0 b36 m270.0 rU
R417 c0 b20 m306.0 rD
R418 c0 b4 m306.0 rL
R419 c0 b12 m302.0 rS
R420 c0 b3 m296.0 rB
R421 c0 b27 m293.0 rH
R422 c0 b33 m266.0 rU
R423 c0 b3 m299.0 rB
R424 c0 b9 m296.0 rL
R425 c0 b15 m287.0 rU
R426 c0 b40 m302.0 rH
R427 c0 b30 m262.0 rU
R428 c0 b3 m292.0 rL
R429 c0 b36 m289.0 rU
R430 c0 b44 m325.0 rU
R431 c0 b20 m369.0 rU
R432 c0 b20 m409.0 rL
R433 c0 b24 m389.0 rU
R434 c0 b25 m413.0 rD
R435 c0 b50 m413.0 rL
R436 c0 b4 m363.0 rL
R437 c0 b36 m359.0 rB
R438 c0 b48 m323.0 rU
R439 c0 b12 m371.0 rB
R440 c0 b16 m359.0 rU
R441 c0 b16 m375.0 rL
R442 c0 b48 m343.0 rL
R443 c0 b12 m295.0 rL
R444 c0 b36 m283.0 rS
R445 c0 b24 m265.0 rL
R446 c0 b30 m241.0 rD
R447 c0 b18 m241.0 rW
R448 c0 b6 m259.0 rU
R449 c0 b30 m265.0 rW
R450 c0 b12 m295.0 rU
R451 c0 b36 m307.0 rH
R452 c0 b33 m235.0 rB
R453 c0 b15 m202.0 rL
R454 c0 b16 m187.0 rU
R455 c0 b9 m203.0 rU
R456 c0 b36 m221.0 rD
R457 c0 b9 m221.0 rH
R458 c0 b12 m203.0 rS
R459 c0 b16 m197.0 rS
R460 c0 b14 m189.0 rH
R461 c0 b18 m175.0 rU
R462 c0 b24 m193.0 rW
R463 c0 b24 m217.0 rL
R464 c0 b10 m193.0 rB
R465 c0 b2 m183.0 rL
R466 c0 b2 m179.0 rB
R467 c0 b6 m177.0 rL
R468 c0 b18 m171.0 rS
R469 c0 b12 m162.0 rL
R470 c0 b10 m150.0 rB
R471 c0 b14 m140.0 rU
R472 c0 b20 m154.0 rL
R473 c0 b18 m134.0 rD
R474 c0 b24 m134.0 rH
R475 c0 b1 m86.0 rD
R476 c0 b12 m86.0 rW
R477 c0 b10 m98.0 rW
R478 c0 b12 m108.0 rJ
R479 c0 b20 m126.0 rL
R480 c0 b2 m86.0 rU
R481 c0 b7 m88.0 rW
R482 c0 b8 m95.0 rJ
R483 c0 b16 m107.0 rU
R484 c0 b24 m139.0 rL
R485 c0 b10 m115.0 rB
R486 c0 b24 m105.0 rB
R487 c0 b12 m81.0 rB
R488 c0 b4 m69.0 rL
R489 c0 b6 m65.0 rU
R490 c0 b5 m77.0 rL
R491 c0 b7 m72.0 rL
R492 c0 b12 m65.0 rD
R493 c0 b12 m65.0 rD
R494 c0 b1 m65.0 rS
R495 c0 b2 m64.5 rL
R496 c0 b5 m62.5 rB
R497 c0 b3 m57.5 rL
R498 c0 b10 m54.5 rW
R499 c0 b10 m64.5 rD
R500 c0 b7 m64.5 rL
R501 c0 b2 m57.5 rU
R502 c0 b10 m59.5 rW
R503 c0 b3 m69.5 rW
R504 c0 b1 m72.5 rL
R505 c0 b2 m71.5 rL
R506 c0 b2 m69.5 rB
R507 c0 b11 m67.5 rL
R508 c0 b12 m56.5 rH
R509 c0 b4 m44.5 rH
R510 c0 b3 m40.5 rU
R511 c0 b6 m43.5 rU
R512 c0 b5 m55.5 rL
R513 c0 b12 m50.5 rL
R514 c0 b8 m38.5 rS
R515 c0 b3 m34.5 rB
R516 c0 b5 m31.5 rL
R517 c0 b12 m21.5 rU
R518 c0 b11 m33.5 rW
R519 c0 b10 m44.5 rW
R520 c0 b8 m64.5 rS
R521 c0 b1 m60.5 rL
R522 c0 b10 m58.5 rH
R523 c0 b7 m48.5 rU
R524 c0 b6 m55.5 rH
R525 c0 b2 m49.5 rL
R526 c0 b3 m47.5 rB
R527 c0 b7 m44.5 rL
R528 c0 b6 m37.5 rU
R529 c0 b8 m43.5 rW
R530 c0 b6 m51.5 rL
R531 c0 b12 m45.5 rS
R532 c0 b3 m39.5 rW
R533 c0 b2 m42.5 rL
R534 c0 b1 m40.5 rH
R535 c0 b6 m39.5 rL
R536 c0 b8 m33.5 rL
R537 c0 b12 m25.5 rW
R538 c0 b12 m37.5 rS
R539 c0 b4 m31.5 rH
R540 c0 b1 m27.5 rL
R541 c0 b6 m26.5 rH
R542 c0 b7 m20.5 rL
R543 c0 b10 m13.5 rW
R544 c0 b1 m33.5 rS
R545 c0 b1 m33.0 rW
R546 c0 b1 m34.0 rL
R547 c0 b2 m33.0 rS
R548 c0 b10 m32.0 rU
R549 c0 b4 m52.0 rU
R550 c0 b12 m60.0 rL
R551 c0 b7 m48.0 rL
R552 c0 b5 m41.0 rW
R553 c0 b3 m46.0 rW
R554 c0 b10 m49.0 rW
R555 c0 b5 m59.0 rH
R556 c0 b6 m54.0 rB
R557 c0 b11 m48.0 rU
R558 c0 b6 m59.0 rU
R559 c0 b5 m65.0 rS
R560 c0 b12 m62.5 rL
