============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: K
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R168 c1 b2728 m34040.5 rU
R169 c2 b2944 m36768.5 rB
R170 c2 b3051 m33824.5 rL
R171 c3 b2772 m30773.5 rU
R172 c1 b2352 m33545.5 rH
R173 c0 b2184 m31193.5 rB
R174 c2 b2619 m29009.5 rL
R175 c2 b2142 m23771.5 rU
R176 c3 b2340 m25913.5 rU
R177 c1 b1981 m28253.5 rD
R178 c0 b1981 m28253.5 rW
R179 c2 b2727 m30234.5 rU
R180 c3 b3213 m35688.5 rH
R181 c4 b3250 m32475.5 rW
R182 c3 b3222 m35725.5 rJ
R183 c2 b3654 m40558.5 rS
R184 c2 b3104 m38731.5 rU
R185 c0 b2933 m41835.5 rB
R186 c0 b2730 m38902.5 rH
R187 c1 b2534 m36172.5 rL
R188 c0 b2359 m33638.5 rU
R189 c0 b2520 m35997.5 rW
R190 c-1 b1930 m38517.5 rD
R191 c-1 b1930 m38517.5 rW
R192 c-2 b2025 m40447.5 rB
R193 c-3 b1540 m38422.5 rH
R194 c0 b2214 m36882.5 rL
R195 c2 b2776 m34668.5 rU
R196 c0 b2625 m37444.5 rU
R197 c-1 b2005 m40069.5 rU
R198 c-1 b2105 m42074.5 rH
R199 c0 b2800 m39969.5 rD
R200 c1 b3200 m39969.5 rS
R201 c1 b3072 m38369.5 rW
R202 c0 b2905 m41441.5 rU
R203 c0 b2664 m44346.5 rU
R204 c0 b3297 m47010.5 rW
R205 c0 b3024 m50307.5 rU
R206 c-2 b2670 m53331.5 rL
R207 c-2 b2535 m50661.5 rL
R208 c-1 b2280 m45591.5 rU
R209 c0 b3012 m50151.5 rS
R210 c0 b2922 m48645.5 rL
R211 c0 b2748 m45723.5 rU
R212 c1 b3395 m48471.5 rW
R213 c0 b3114 m51866.5 rL
R214 c-1 b2440 m48752.5 rU
R215 c-1 b2560 m51192.5 rU
R216 c-1 b2690 m53752.5 rW
R217 c-3 b2260 m56442.5 rB
R218 c-4 b1626 m54182.5 rU
R219 c-2 b2795 m55808.5 rB
R220 c-3 b2124 m53013.5 rU
