============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: K
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rU
R2 c0 b784 m11200 rD
R3 c-1 b560 m11200 rB
R4 c-2 b535 m10640 rD
R5 c-2 b535 m10640 rB
R6 c-3 b408 m10105 rL
R7 c-2 b465 m9289 rB
R8 c-2 b445 m8824 rL
R9 c-4 b252 m8379 rU
R10 c-4 b261 m8631 rL
R11 c-4 b252 m8370 rU
R12 c-4 b261 m8622 rU
R13 c-3 b356 m8883 rJ
R14 c-5 b285 m9417 rW
R15 c-4 b300 m9987 rU
R16 c-5 b309 m10287 rW
R17 c-3 b424 m10596 rD
R18 c-1 b530 m10596 rL
R19 c-1 b505 m10066 rD
R20 c0 b606 m10066 rD
R21 c0 b606 m10066 rU
R22 c-1 b535 m10672 rU
R23 c-2 b565 m11207 rS
R24 c-1 b550 m10924.5 rH
R25 c-2 b520 m10374.5 rL
R26 c-1 b495 m9854.5 rL
R27 c0 b564 m9359.5 rL
R28 c0 b498 m8231.5 rB
R29 c0 b546 m7733.5 rU
R30 c0 b498 m8279.5 rW
R31 c-1 b465 m9275.5 rW
R32 c-1 b490 m9740.5 rL
R33 c0 b528 m8760.5 rB
R34 c-1 b415 m8232.5 rB
R35 c0 b474 m7817.5 rU
R36 c0 b581 m8291.5 rL
R37 c1 b624 m7710.5 rL
R38 c1 b497 m7086.5 rJ
R39 c0 b553 m7832.5 rW
R40 c0 b504 m8385.5 rU
R41 c0 b534 m8889.5 rD
R42 c1 b623 m8889.5 rU
R43 c2 b918 m10135.5 rL
R44 c0 b651 m9217.5 rU
R45 c1 b742 m10519.5 rL
R46 c1 b728 m9035.5 rS
R47 c1 b696 m8671.5 rU
R48 c1 b707 m10063.5 rU
R49 c0 b648 m10770.5 rB
R50 c-1 b510 m10122.5 rS
R51 c0 b594 m9867.5 rJ
R52 c0 b756 m10758.5 rB
R53 c0 b707 m10002.5 rL
R54 c1 b651 m9295.5 rL
R55 c2 b783 m8644.5 rB
R56 c2 b632 m7861.5 rU
R57 c2 b680 m8493.5 rL
R58 c2 b711 m7813.5 rW
R59 c1 b602 m8524.5 rH
R60 c0 b560 m7922.5 rB
R61 c1 b592 m7362.5 rW
R62 c1 b560 m7954.5 rL
R63 c0 b518 m7394.5 rD
R64 c1 b518 m7394.5 rU
R65 c1 b640 m7912.5 rU
R66 c0 b516 m8552.5 rU
R67 c-1 b455 m9068.5 rW
R68 c-3 b384 m9523.5 rU
R69 c-2 b500 m9907.5 rH
R70 c-2 b475 m9407.5 rJ
R71 c-3 b408 m10120.5 rU
R72 c-1 b530 m10528.5 rU
R73 c0 b666 m11058.5 rL
R74 c-2 b520 m10392.5 rL
R75 c-2 b495 m9872.5 rB
R76 c0 b564 m9377.5 rW
R77 c0 b600 m9941.5 rU
R78 c1 b896 m11141.5 rW
R79 c0 b847 m12037.5 rW
R80 c0 b903 m12884.5 rB
R81 c0 b720 m11981.5 rL
R82 c0 b791 m11261.5 rW
R83 c1 b968 m12052.5 rL
R84 c1 b888 m11084.5 rU
R85 c2 b1080 m11972.5 rB
R86 c2 b981 m10892.5 rL
R87 c3 b900 m9911.5 rW
R88 c4 b981 m10811.5 rJ
R89 c3 b1107 m12283.5 rW
R90 c1 b1072 m13390.5 rW
R91 c3 b1404 m15534.5 rL
R92 c2 b1278 m14130.5 rU
R93 c3 b1395 m15408.5 rU
R94 c2 b1352 m16803.5 rH
R95 c1 b1085 m15451.5 rL
R96 c0 b1008 m14366.5 rU
R97 c2 b1386 m15374.5 rB
R98 c2 b1120 m13988.5 rS
R99 c1 b1080 m13428.5 rW
R100 c2 b1314 m14508.5 rJ
R101 c2 b1320 m16479.5 rB
R102 c1 b1216 m15159.5 rB
R103 c1 b980 m13943.5 rL
R104 c0 b780 m12963.5 rL
R105 c0 b854 m12183.5 rL
R106 c1 b798 m11329.5 rB
R107 c2 b848 m10531.5 rU
R108 c1 b798 m11379.5 rB
R109 c0 b636 m10581.5 rS
R110 c0 b618 m10263.5 rB
R111 c0 b582 m9645.5 rU
R112 c1 b824 m10227.5 rU
R113 c1 b777 m11051.5 rJ
R114 c0 b861 m12217.5 rJ
R115 c0 b952 m13509.5 rS
R116 c0 b917 m13033.5 rL
R117 c0 b854 m12116.5 rU
R118 c1 b910 m12970.5 rU
R119 c1 b973 m13880.5 rB
R120 c1 b910 m12907.5 rH
R121 c0 b840 m11997.5 rW
R122 c1 b903 m12837.5 rU
R123 c1 b966 m13740.5 rJ
R124 c1 b1064 m15189.5 rS
R125 c0 b1029 m14657.5 rH
R126 c0 b959 m13628.5 rL
R127 c2 b1062 m11710.5 rL
R128 c4 b963 m10648.5 rL
R129 c4 b970 m9685.5 rL
R130 c5 b780 m7745.5 rS
R131 c5 b740 m7355.5 rH
R132 c6 b670 m6615.5 rW
R133 c5 b730 m7285.5 rD
R134 c3 b657 m7285.5 rS
R135 c2 b630 m6957.0 rD
R136 c1 b560 m6957.0 rW
R137 c0 b532 m7517.0 rL
R138 c0 b420 m6985.0 rL
R139 c0 b396 m6565.0 rL
R140 c0 b434 m6169.0 rS
R141 c0 b420 m5952.0 rW
