============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: L
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rH
R2 c-1 b470 m9400 rB
R3 c-1 b450 m8930 rL
R4 c-1 b425 m8480 rS
R5 c-1 b415 m8267.5 rL
R6 c-2 b395 m7852.5 rL
R7 c-3 b300 m7457.5 rW
R8 c-1 b390 m7757.5 rU
R9 c-1 b410 m8147.5 rJ
R10 c-1 b440 m8762.5 rL
R11 c-2 b420 m8322.5 rL
R12 c0 b450 m7482.5 rD
R13 c-1 b375 m7482.5 rS
R14 c-1 b365 m7295.0 rW
R15 c0 b462 m7660.0 rU
R16 c0 b492 m8122.0 rW
R17 c-1 b435 m8614.0 rL
R18 c0 b468 m7744.0 rL
R19 c-1 b365 m7276.0 rL
R20 c0 b420 m6911.0 rB
R21 c-1 b325 m6491.0 rS
R22 c-1 b320 m6328.5 rU
R23 c-1 b335 m6648.5 rL
R24 c-2 b320 m6313.5 rW
R25 c1 b469 m6633.5 rJ
R26 c0 b518 m7337.5 rB
R27 c0 b414 m6819.5 rS
R28 c0 b402 m6612.5 rS
R29 c0 b455 m6411.5 rH
R30 c0 b360 m5956.5 rD
R31 c1 b420 m5956.5 rL
R32 c2 b416 m5116.5 rH
R33 c1 b336 m4700.5 rL
R34 c0 b264 m4364.5 rW
R35 c0 b343 m4892.5 rL
R36 c1 b368 m4549.5 rW
R37 c1 b400 m4917.5 rB
R38 c1 b322 m4517.5 rH
R39 c0 b252 m4195.5 rL
R40 c0 b280 m3943.5 rL
R41 c0 b222 m3663.5 rS
R42 c0 b216 m3552.5 rW
R43 c0 b280 m3984.5 rH
R44 c1 b266 m3704.5 rB
R45 c0 b245 m3438.5 rD
R46 c1 b245 m3438.5 rU
R47 c1 b280 m3928.5 rJ
R48 c1 b352 m4348.5 rL
R49 c3 b360 m3996.5 rL
R50 c4 b333 m3636.5 rS
R51 c5 b350 m3470.0 rU
R52 c4 b390 m3820.0 rL
R53 c6 b350 m3430.0 rW
R54 c5 b380 m3780.0 rU
R55 c4 b378 m4160.0 rH
R56 c2 b342 m3782.0 rL
R57 c3 b315 m3440.0 rS
R58 c2 b297 m3282.5 rS
R59 c3 b288 m3134.0 rU
R60 c2 b280 m3422.0 rW
R61 c1 b304 m3702.0 rS
R62 c2 b288 m3550.0 rW
R63 c0 b273 m3838.0 rU
R64 c-1 b210 m4111.0 rB
R65 c0 b240 m3901.0 rD
R66 c-2 b200 m3901.0 rL
R67 c0 b228 m3701.0 rJ
R68 c0 b246 m4043.0 rU
R69 c0 b258 m4289.0 rL
R70 c0 b246 m4031.0 rS
R71 c0 b240 m3908.0 rW
R72 c1 b294 m4148.0 rD
R73 c1 b294 m4148.0 rU
R74 c2 b360 m4442.0 rL
R75 c2 b369 m4082.0 rW
R76 c3 b441 m4820.0 rS
R77 c3 b414 m4599.5 rB
R78 c3 b378 m4185.5 rU
R79 c3 b414 m4563.5 rW
R80 c1 b400 m4977.5 rW
R81 c1 b378 m5377.5 rW
R82 c2 b496 m6133.5 rS
R83 c2 b531 m5885.5 rU
R84 c1 b455 m6416.5 rS
R85 c0 b434 m6189.0 rU
R86 c0 b469 m6623.0 rL
R87 c0 b342 m5685.0 rJ
R88 c0 b372 m6198.0 rU
R89 c0 b462 m6570.0 rL
R90 c0 b372 m6108.0 rJ
R91 c0 b402 m6666.0 rJ
R92 c0 b438 m7269.0 rW
R93 c0 b468 m7707.0 rS
R94 c0 b450 m7473.0 rH
R95 c-1 b355 m7023.0 rS
R96 c-1 b345 m6845.5 rB
R97 c-1 b330 m6500.5 rW
R98 c-3 b276 m6830.5 rS
R99 c-3 b268 m6692.5 rL
R100 c-3 b260 m6424.5 rU
R101 c-1 b350 m6944.5 rJ
R102 c-1 b375 m7469.5 rD
R103 c1 b525 m7469.5 rS
R104 c0 b511 m7207.0 rW
R105 c1 b546 m7718.0 rH
R106 c2 b576 m7172.0 rW
R107 c2 b672 m8324.0 rL
R108 c3 b630 m6980.0 rH
R109 c2 b576 m6350.0 rU
R110 c3 b684 m7502.0 rU
R111 c4 b738 m8186.0 rL
R112 c4 b675 m7448.0 rB
R113 c3 b612 m6773.0 rB
R114 c2 b496 m6161.0 rU
R115 c1 b536 m6657.0 rL
R116 c0 b372 m6121.0 rD
R117 c-2 b310 m6121.0 rU
R118 c-1 b325 m6431.0 rL
R119 c0 b372 m6106.0 rL
R120 c0 b348 m5734.0 rH
R121 c0 b324 m5386.0 rU
R122 c0 b348 m5710.0 rL
R123 c1 b378 m5362.0 rW
R124 c0 b406 m5740.0 rU
R125 c1 b434 m6146.0 rB
R126 c1 b406 m5712.0 rL
R127 c1 b432 m5306.0 rU
R128 c1 b406 m5738.0 rH
R129 c1 b378 m5332.0 rW
R130 c1 b406 m5710.0 rW
R131 c1 b496 m6116.0 rJ
R132 c0 b414 m6860.0 rW
R133 c1 b511 m7274.0 rU
R134 c2 b664 m8296.0 rW
R135 c2 b873 m9624.0 rU
R136 c1 b735 m10497.0 rL
R137 c0 b686 m9762.0 rS
R138 c0 b570 m9419.0 rH
R139 c-1 b445 m8849.0 rW
R140 c-2 b465 m9294.0 rD
R141 c-1 b465 m9294.0 rJ
R142 c0 b600 m9992.0 rD
R143 c1 b700 m9992.0 rH
R144 c2 b837 m9292.0 rW
R145 c2 b918 m10129.0 rB
R146 c2 b744 m9211.0 rU
R147 c1 b800 m9955.0 rU
R148 c0 b648 m10755.0 rL
R149 c-1 b510 m10107.0 rL
R150 c-2 b480 m9597.0 rH
R151 c1 b696 m8637.0 rU
R152 c2 b752 m9333.0 rJ
R153 c3 b945 m10461.0 rL
R154 c3 b864 m9516.0 rW
R155 c2 b832 m10380.0 rU
R156 c2 b1017 m11212.0 rU
R157 c1 b984 m12229.0 rU
R158 c1 b1064 m13213.0 rW
R159 c1 b1144 m14277.0 rD
R160 c0 b1001 m14277.0 rD
R161 c0 b1001 m14277.0 rL
R162 c1 b931 m13276.0 rL
R163 c2 b992 m12345.0 rB
R164 c1 b912 m11353.0 rD
R165 c3 b1026 m11353.0 rU
R166 c2 b1116 m12379.0 rU
R167 c2 b1215 m13495.0 rL
R168 c1 b984 m12280.0 rD
R169 c1 b984 m12280.0 rL
R170 c2 b904 m11296.0 rL
R171 c4 b950 m9488.0 rS
R172 c5 b910 m9013.0 rL
R173 c5 b820 m8103.0 rS
R174 c4 b770 m7693.0 rB
R175 c3 b630 m6923.0 rL
R176 c5 b630 m6293.0 rL
R177 c4 b570 m5663.0 rH
R178 c2 b408 m5093.0 rU
R179 c1 b448 m5501.0 rD
R180 c1 b448 m5501.0 rW
R181 c1 b480 m5949.0 rW
R182 c2 b520 m6429.0 rU
R183 c3 b630 m6949.0 rW
R184 c4 b747 m8209.0 rL
R185 c3 b675 m7462.0 rU
R186 c3 b801 m8812.0 rL
R187 c3 b729 m8011.0 rB
R188 c3 b657 m7282.0 rW
R189 c5 b860 m8596.0 rW
R190 c6 b950 m9456.0 rJ
R191 c5 b1090 m10881.0 rL
R192 c6 b1078 m9791.0 rS
R193 c6 b930 m9252.0 rB
R194 c5 b840 m8322.0 rJ
R195 c4 b864 m9582.0 rU
R196 c2 b945 m10446.0 rL
R197 c1 b768 m9501.0 rU
R198 c2 b824 m10269.0 rS
R199 c1 b792 m9857.0 rU
R200 c0 b749 m10649.0 rD
R201 c0 b749 m10649.0 rL
R202 c1 b693 m9900.0 rU
R203 c0 b742 m10593.0 rU
R204 c-1 b570 m11335.0 rU
R205 c-2 b600 m11905.0 rS
R206 c-2 b585 m11605.0 rW
R207 c-3 b488 m12190.0 rW
R208 c-4 b381 m12678.0 rU
R209 c-3 b540 m13440.0 rW
R210 c-5 b420 m13980.0 rJ
R211 c-5 b441 m14610.0 rL
R212 c-3 b568 m14169.0 rW
R213 c-4 b444 m14737.0 rL
R214 c-4 b429 m14293.0 rU
R215 c-5 b444 m14722.0 rB
R216 c-4 b429 m14278.0 rL
R217 c-2 b695 m13849.0 rL
R218 c-1 b660 m13154.0 rH
R219 c2 b1000 m12494.0 rL
R220 c2 b945 m10494.0 rW
R221 c1 b805 m11439.0 rL
R222 c2 b891 m9829.0 rL
R223 c3 b729 m8047.0 rD
R224 c2 b729 m8047.0 rW
R225 c2 b704 m8776.0 rS
R226 c2 b765 m8424.0 rU
R227 c1 b736 m9189.0 rH
R228 c0 b546 m7717.0 rL
R229 c-1 b360 m7171.0 rB
R230 c-1 b345 m6811.0 rL
R231 c-1 b325 m6466.0 rL
R232 c1 b434 m6141.0 rW
R233 c1 b462 m6575.0 rD
R234 c0 b396 m6575.0 rJ
R235 c0 b432 m7169.0 rL
R236 c0 b408 m6737.0 rH
R237 c0 b448 m6329.0 rL
R238 c0 b413 m5881.0 rH
R239 c2 b440 m5468.0 rU
R240 c2 b540 m5908.0 rW
R241 c2 b520 m6448.0 rD
R242 c1 b455 m6448.0 rL
R243 c0 b420 m5993.0 rU
R244 c1 b455 m6413.0 rU
R245 c0 b414 m6868.0 rH
R246 c-1 b325 m6454.0 rW
R247 c-1 b340 m6779.0 rU
R248 c0 b432 m7119.0 rL
R249 c0 b469 m6687.0 rB
R250 c0 b378 m6218.0 rH
R251 c1 b440 m5462.0 rW
R252 c1 b512 m6342.0 rS
R253 c2 b488 m6086.0 rU
R254 c2 b594 m6574.0 rW
R255 c1 b576 m7168.0 rD
R256 c1 b576 m7168.0 rW
R257 c3 b756 m8320.0 rU
R258 c2 b728 m9076.0 rL
R259 c2 b756 m8348.0 rL
R260 c3 b621 m6836.0 rJ
R261 c3 b702 m7768.0 rW
R262 c3 b765 m8470.0 rL
R263 c4 b702 m7705.0 rD
R264 c3 b702 m7705.0 rU
R265 c2 b680 m8407.0 rL
R266 c1 b624 m7727.0 rU
R267 c2 b720 m8975.0 rD
R268 c1 b720 m8975.0 rW
R269 c1 b776 m9695.0 rL
R270 c2 b810 m8919.0 rW
R271 c1 b784 m9729.0 rW
R272 c1 b742 m10513.0 rU
R273 c1 b791 m11255.0 rL
R274 c0 b630 m10464.0 rD
R275 c1 b840 m10464.0 rU
R276 c1 b912 m11304.0 rL
R277 c1 b760 m9480.0 rW
R278 c1 b824 m10240.0 rB
R279 c1 b760 m9416.0 rS
R280 c2 b819 m9036.0 rW
R281 c2 b792 m9855.0 rU
R282 c3 b1035 m11439.0 rU
R283 c3 b1125 m12474.0 rS
R284 c4 b1080 m11911.5 rH
R285 c4 b981 m10831.5 rH
R286 c4 b990 m9850.5 rH
R287 c5 b890 m8860.5 rH
R288 c3 b720 m7970.5 rL
R289 c2 b594 m6530.5 rB
R290 c2 b480 m5936.5 rD
R291 c2 b540 m5936.5 rB
R292 c2 b486 m5396.5 rH
R293 c3 b450 m4910.5 rS
R294 c3 b423 m4685.5 rW
R295 c2 b416 m5108.5 rL
R296 c2 b423 m4692.5 rU
R297 c2 b416 m5115.5 rS
R298 c1 b400 m4907.5 rL
R299 c2 b336 m4107.5 rD
R300 c1 b294 m4107.5 rH
R301 c1 b312 m3813.5 rB
R302 c1 b288 m3501.5 rU
R303 c1 b266 m3789.5 rS
R304 c0 b259 m3656.5 rH
R305 c0 b204 m3397.5 rD
R306 c0 b204 m3397.5 rL
R307 c0 b192 m3193.5 rW
R308 c0 b204 m3385.5 rW
R309 c0 b216 m3589.5 rL
R310 c-2 b170 m3373.5 rB
R311 c-2 b165 m3203.5 rH
R312 c3 b279 m3038.5 rL
R313 c2 b252 m2759.5 rL
R314 c4 b207 m2255.5 rL
R315 c4 b190 m1841.5 rL
R316 c5 b170 m1651.5 rB
R317 c4 b150 m1481.5 rJ
R318 c3 b162 m1706.5 rU
R319 c2 b171 m1868.5 rS
R320 c2 b144 m1783.0 rL
R321 c2 b136 m1639.0 rB
R322 c2 b144 m1503.0 rW
R323 c3 b153 m1647.0 rS
R324 c2 b144 m1570.5 rL
R325 c3 b117 m1282.5 rS
R326 c2 b117 m1224.0 rU
R327 c3 b126 m1341.0 rS
R328 c2 b117 m1278.0 rW
R329 c1 b112 m1395.0 rL
R330 c2 b104 m1283.0 rH
R331 c2 b108 m1179.0 rJ
R332 c2 b112 m1341.0 rU
R333 c2 b120 m1453.0 rU
R334 c1 b128 m1573.0 rH
R335 c0 b90 m1445.0 rH
R336 c0 b98 m1355.0 rL
R337 c1 b104 m1257.0 rL
R338 c1 b96 m1153.0 rL
R339 c0 b77 m1057.0 rW
R340 c2 b104 m1211.0 rJ
R341 c0 b98 m1367.0 rW
R342 c0 b105 m1465.0 rD
R343 c-1 b75 m1465.0 rL
R344 c-1 b70 m1315.0 rH
R345 c-1 b65 m1245.0 rW
R346 c-1 b70 m1310.0 rW
R347 c-1 b75 m1450.0 rW
R348 c0 b96 m1600.0 rL
R349 c0 b96 m1504.0 rL
R350 c2 b135 m1408.0 rU
R351 c3 b153 m1678.0 rU
R352 c3 b180 m1984.0 rB
R353 c3 b171 m1804.0 rJ
R354 c3 b189 m2061.0 rB
R355 c2 b152 m1872.0 rU
R356 c1 b147 m2024.0 rW
R357 c0 b132 m2171.0 rL
R358 c0 b147 m2039.0 rH
R359 c0 b133 m1892.0 rW
R360 c2 b189 m2025.0 rU
R361 c3 b207 m2214.0 rL
R362 c3 b189 m2007.0 rW
R363 c2 b198 m2196.0 rL
R364 c3 b180 m1998.0 rH
R365 c2 b152 m1818.0 rU
R366 c1 b160 m1970.0 rU
R367 c0 b132 m2130.0 rD
R368 c0 b154 m2130.0 rW
R369 c0 b138 m2284.0 rU
R370 c0 b150 m2422.0 rL
R371 c0 b138 m2272.0 rL
R372 c0 b154 m2134.0 rU
R373 c1 b175 m2442.0 rL
R374 c1 b184 m2267.0 rS
R375 c1 b154 m2175.0 rB
R376 c0 b147 m2021.0 rS
R377 c0 b120 m1947.5 rH
R378 c0 b108 m1707.5 rL
R379 c1 b112 m1599.5 rU
R380 c0 b108 m1711.5 rU
R381 c0 b114 m1819.5 rW
R382 c0 b120 m1933.5 rL
R383 c1 b133 m1813.5 rH
R384 c0 b102 m1680.5 rU
R385 c1 b144 m1782.5 rL
R386 c2 b136 m1638.5 rW
R387 c-1 b90 m1774.5 rW
R388 c0 b133 m1864.5 rU
R389 c0 b120 m1997.5 rU
R390 c1 b176 m2117.5 rW
R391 c1 b184 m2293.5 rL
R392 c2 b176 m2109.5 rL
R393 c2 b160 m1933.5 rL
R394 c1 b144 m1773.5 rW
R395 c1 b140 m1917.5 rW
R396 c1 b147 m2057.5 rL
R397 c0 b120 m1910.5 rJ
R398 c-1 b105 m2090.5 rJ
R399 c-1 b115 m2248.5 rU
R400 c-1 b120 m2363.5 rU
R401 c-1 b125 m2483.5 rL
R402 c0 b168 m2358.5 rL
R403 c-1 b110 m2190.5 rW
R404 c-2 b120 m2300.5 rH
R405 c0 b126 m2060.5 rL
R406 c0 b114 m1808.5 rL
R407 c0 b119 m1694.5 rU
R408 c0 b114 m1813.5 rU
R409 c0 b120 m1927.5 rB
R410 c0 b114 m1807.5 rB
R411 c-1 b85 m1693.5 rL
R412 c-1 b85 m1608.5 rU
R413 c0 b102 m1693.5 rL
R414 c0 b96 m1591.5 rW
R415 c-1 b85 m1687.5 rU
R416 c-1 b90 m1772.5 rW
R417 c0 b114 m1862.5 rH
R418 c0 b102 m1634.5 rL
R419 c-1 b80 m1532.5 rB
R420 c-2 b75 m1452.5 rW
R421 c-3 b64 m1527.5 rL
R422 c-3 b60 m1463.5 rU
R423 c-3 b64 m1523.5 rB
R424 c-4 b45 m1459.5 rJ
R425 c-4 b48 m1527.5 rU
R426 c-3 b64 m1575.5 rH
R427 c-3 b64 m1511.5 rD
R428 c-3 b64 m1511.5 rB
R429 c-4 b45 m1447.5 rU
R430 c-2 b75 m1492.5 rL
R431 c-1 b70 m1342.5 rH
R432 c0 b78 m1202.5 rL
R433 c0 b84 m1124.5 rL
R434 c3 b99 m1040.5 rW
R435 c1 b84 m1139.5 rW
R436 c1 b104 m1223.5 rH
R437 c2 b96 m1119.5 rU
R438 c1 b98 m1311.5 rW
R439 c1 b105 m1409.5 rH
R440 c1 b84 m1199.5 rU
R441 c1 b91 m1283.5 rW
R442 c1 b112 m1374.5 rL
R443 c2 b104 m1262.5 rW
R444 c1 b120 m1470.5 rD
R445 c1 b120 m1470.5 rH
R446 c2 b126 m1350.5 rH
R447 c1 b91 m1224.5 rL
R448 c1 b88 m1042.5 rU
R449 c0 b84 m1130.5 rB
R450 c1 b77 m1046.5 rW
R451 c1 b96 m1123.5 rL
R452 c2 b80 m931.5 rB
R453 c1 b72 m851.5 rB
R454 c1 b56 m779.5 rB
R455 c1 b64 m723.5 rU
R456 c1 b56 m787.5 rL
R457 c1 b49 m675.5 rD
R458 c-1 b35 m675.5 rU
R459 c-1 b40 m710.5 rW
R460 c-1 b40 m750.5 rD
R461 c0 b48 m750.5 rB
R462 c0 b48 m702.5 rU
R463 c1 b56 m750.5 rS
R464 c0 b56 m722.5 rH
R465 c0 b42 m666.5 rL
R466 c0 b36 m582.5 rW
R467 c0 b42 m618.5 rU
R468 c0 b42 m660.5 rU
R469 c0 b56 m702.5 rW
R470 c0 b63 m814.5 rL
R471 c1 b56 m751.5 rU
R472 c1 b72 m807.5 rW
R473 c2 b81 m879.5 rL
R474 c1 b64 m798.5 rW
R475 c0 b54 m862.5 rU
R476 c0 b60 m916.5 rJ
R477 c0 b66 m1006.5 rL
R478 c1 b70 m940.5 rS
R479 c1 b70 m905.5 rB
R480 c0 b54 m835.5 rH
R481 c0 b48 m781.5 rU
R482 c1 b63 m877.5 rS
R483 c1 b72 m846.0 rB
R484 c1 b64 m774.0 rU
R485 c3 b90 m902.0 rL
R486 c3 b81 m812.0 rB
R487 c3 b72 m731.0 rD
R488 c2 b72 m731.0 rU
R489 c2 b72 m803.0 rS
R490 c2 b64 m767.0 rL
R491 c0 b56 m703.0 rU
R492 c1 b63 m815.0 rD
R493 c0 b54 m815.0 rW
R494 c-1 b45 m869.0 rL
R495 c0 b54 m824.0 rD
R496 c0 b63 m824.0 rL
R497 c0 b56 m761.0 rL
R498 c-1 b40 m705.0 rB
R499 c-1 b35 m665.0 rU
R500 c-1 b35 m700.0 rB
R501 c-1 b35 m665.0 rB
R502 c0 b42 m630.0 rH
R503 c0 b36 m588.0 rW
R504 c1 b49 m660.0 rB
R505 c0 b49 m611.0 rL
R506 c1 b48 m562.0 rU
R507 c2 b56 m658.0 rB
R508 c2 b56 m602.0 rW
R509 c1 b56 m658.0 rD
R510 c2 b63 m658.0 rW
R511 c2 b64 m721.0 rH
R512 c2 b48 m593.0 rW
R513 c1 b49 m641.0 rU
R514 c1 b49 m690.0 rU
R515 c2 b72 m739.0 rU
R516 c3 b81 m811.0 rH
R517 c2 b72 m730.0 rU
R518 c4 b81 m874.0 rW
R519 c4 b90 m955.0 rU
R520 c2 b99 m1045.0 rL
R521 c5 b100 m946.0 rW
R522 c3 b99 m1046.0 rH
R523 c2 b80 m947.0 rW
R524 c2 b88 m1027.0 rH
R525 c1 b80 m939.0 rW
R526 c2 b88 m1099.0 rU
R527 c2 b96 m1187.0 rL
R528 c3 b99 m1091.0 rU
R529 c4 b108 m1190.0 rL
R530 c4 b99 m1082.0 rL
R531 c5 b100 m983.0 rL
R532 c6 b80 m783.0 rS
R533 c5 b80 m743.0 rS
R534 c5 b80 m703.0 rB
R535 c4 b70 m623.0 rH
R536 c4 b54 m553.0 rU
R537 c3 b63 m607.0 rB
R538 c2 b54 m544.0 rU
R539 c2 b54 m598.0 rW
R540 c1 b56 m652.0 rW
R541 c0 b56 m708.0 rS
R542 c0 b42 m680.0 rU
R543 c0 b48 m722.0 rH
R544 c-1 b35 m674.0 rU
R545 c-1 b40 m709.0 rL
R546 c2 b63 m669.0 rJ
R547 c2 b64 m764.0 rU
R548 c3 b81 m892.0 rW
R549 c2 b90 m973.0 rU
R550 c3 b108 m1153.0 rL
R551 c4 b99 m1045.0 rU
R552 c6 b143 m1243.0 rW
R553 c8 b154 m1386.0 rW
R554 c6 b160 m1540.0 rB
R555 c7 b154 m1380.0 rD
R556 c8 b154 m1380.0 rB
R557 c8 b143 m1226.0 rL
R558 c8 b121 m1083.0 rS
R559 c7 b121 m1022.5 rL
R560 c8 b120 m901.5 rL
R561 c7 b88 m781.5 rW
R562 c6 b90 m869.5 rU
R563 c6 b110 m959.5 rH
R564 c7 b99 m849.5 rU
R565 c7 b110 m948.5 rU
R566 c5 b110 m1058.5 rD
R567 c4 b99 m1058.5 rW
R568 c3 b108 m1157.5 rL
R569 c4 b99 m1049.5 rU
R570 c3 b117 m1247.5 rU
R571 c4 b140 m1364.5 rU
R572 c5 b170 m1644.5 rD
R573 c4 b153 m1644.5 rW
R574 c3 b162 m1797.5 rB
R575 c2 b136 m1635.5 rU
R576 c2 b144 m1771.5 rU
R577 c2 b180 m1915.5 rB
R578 c2 b162 m1735.5 rW
R579 c2 b171 m1897.5 rB
R580 c2 b144 m1726.5 rW
R581 c1 b133 m1870.5 rW
R582 c0 b126 m2003.5 rU
R583 c1 b154 m2129.5 rH
R584 c3 b180 m1975.5 rL
R585 c4 b153 m1615.5 rL
R586 c4 b135 m1462.5 rW
R587 c2 b144 m1597.5 rD
R588 c2 b144 m1597.5 rW
R589 c2 b162 m1741.5 rB
R590 c2 b128 m1579.5 rL
R591 c2 b135 m1451.5 rL
R592 c3 b126 m1316.5 rL
R593 c4 b108 m1190.5 rU
R594 c3 b117 m1298.5 rH
R595 c2 b108 m1181.5 rH
R596 c2 b88 m1073.5 rU
