============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: L
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rU
R2 c1 b784 m11200 rU
R3 c1 b840 m11984 rW
R4 c0 b903 m12824 rJ
R5 c0 b852 m14179 rD
R6 c1 b994 m14179 rH
R7 c0 b792 m13185 rL
R8 c1 b992 m12393 rB
R9 c1 b805 m11401 rB
R10 c0 b742 m10596 rL
R11 c0 b693 m9854 rL
R12 c0 b552 m9161 rU
R13 c0 b686 m9713 rU
R14 c1 b832 m10399 rJ
R15 c3 b1053 m11647 rH
R16 c3 b954 m10594 rH
R17 c2 b776 m9640 rJ
R18 c2 b872 m10804 rS
R19 c2 b936 m10368.0 rW
R20 c1 b984 m12240.0 rD
R21 c1 b984 m12240.0 rU
R22 c2 b1287 m14208.0 rL
R23 c4 b1053 m11634.0 rJ
R24 c3 b1197 m13214.0 rS
R25 c2 b1143 m12615.5 rB
R26 c2 b1035 m11472.5 rW
R27 c4 b1224 m13542.5 rB
R28 c3 b1116 m12318.5 rB
R29 c4 b1017 m11202.5 rW
R30 c3 b1107 m12219.5 rU
R31 c2 b1206 m13326.5 rW
R32 c2 b1168 m14532.5 rH
R33 c1 b1072 m13364.5 rL
R34 c1 b861 m12292.5 rU
R35 c0 b792 m13153.5 rL
R36 c0 b696 m11569.5 rS
R37 c0 b791 m11221.5 rB
R38 c0 b630 m10430.5 rL
R39 c1 b693 m9800.5 rS
R40 c1 b665 m9454.0 rL
R41 c1 b704 m8789.0 rL
R42 c0 b567 m8085.0 rL
R43 c3 b684 m7518.0 rL
R44 c3 b558 m6150.0 rU
R45 c2 b612 m6708.0 rW
R46 c3 b720 m7932.0 rL
R47 c4 b657 m7212.0 rW
R48 c3 b711 m7869.0 rU
R49 c4 b930 m9291.0 rB
R50 c4 b840 m8361.0 rL
R51 c5 b760 m7521.0 rW
R52 c3 b747 m8281.0 rU
R53 c2 b819 m9028.0 rJ
R54 c1 b824 m10257.0 rL
R55 c0 b570 m9433.0 rH
R56 c2 b712 m8863.0 rD
R57 c0 b534 m8863.0 rU
R58 c-1 b470 m9397.0 rU
R59 c-2 b495 m9867.0 rU
R60 c1 b728 m10362.0 rW
R61 c0 b777 m11090.0 rS
R62 c1 b756 m10701.5 rD
R63 c0 b756 m10701.5 rD
R64 c0 b648 m10701.5 rL
R65 c0 b606 m10053.5 rS
R66 c0 b588 m9750.5 rW
R67 c0 b660 m10926.5 rU
R68 c0 b812 m11586.5 rD
R69 c0 b696 m11586.5 rH
R70 c-1 b545 m10890.5 rS
R71 c-1 b535 m10618.0 rW
R72 c0 b672 m11153.0 rS
R73 c0 b654 m10817.0 rJ
R74 c0 b708 m11798.0 rL
R75 c0 b666 m11090.0 rL
R76 c0 b735 m10424.0 rH
R77 c0 b582 m9689.0 rU
R78 c1 b872 m10853.0 rU
R79 c2 b944 m11725.0 rJ
R80 c0 b924 m13141.0 rH
R81 c1 b861 m12217.0 rD
R82 c0 b861 m12217.0 rB
R83 c0 b798 m11356.0 rU
R84 c0 b854 m12154.0 rW
R85 c0 b786 m13008.0 rD
R86 c0 b786 m13008.0 rL
R87 c1 b861 m12222.0 rL
R88 c2 b912 m11361.0 rB
R89 c2 b840 m10449.0 rB
R90 c2 b776 m9609.0 rH
R91 c3 b801 m8833.0 rL
R92 c3 b729 m8032.0 rL
R93 c2 b592 m7303.0 rL
R94 c1 b476 m6711.0 rU
R95 c0 b432 m7187.0 rW
R96 c0 b486 m8051.0 rB
R97 c0 b456 m7565.0 rL
R98 c0 b504 m7109.0 rL
R99 c2 b603 m6605.0 rW
R100 c1 b511 m7208.0 rB
R101 c0 b469 m6697.0 rL
R102 c1 b441 m6228.0 rL
R103 c1 b432 m5346.0 rL
R104 c3 b450 m4914.0 rL
R105 c3 b405 m4464.0 rL
R106 c2 b328 m4059.0 rS
R107 c1 b312 m3895.0 rJ
R108 c1 b308 m4363.0 rH
R109 c-1 b205 m4055.0 rW
R110 c-1 b215 m4260.0 rL
R111 c-1 b205 m4045.0 rW
R112 c-2 b215 m4250.0 rW
R113 c-4 b135 m4465.0 rS
R114 c-3 b176 m4397.5 rU
R115 c-2 b230 m4573.5 rU
R116 c0 b294 m4803.5 rL
R117 c0 b322 m4509.5 rW
R118 c0 b364 m5153.5 rW
R119 c0 b413 m5881.5 rW
R120 c1 b441 m6294.5 rS
R121 c0 b427 m6074.0 rL
R122 c1 b424 m5220.0 rW
R123 c3 b549 m6068.0 rL
R124 c3 b450 m4970.0 rW
R125 c2 b495 m5420.0 rL
R126 c3 b450 m4925.0 rL
R127 c2 b405 m4475.0 rU
R128 c1 b343 m4880.0 rH
R129 c2 b378 m4194.0 rL
R130 c2 b351 m3816.0 rJ
R131 c3 b396 m4343.0 rL
R132 c5 b360 m3551.0 rU
R133 c4 b400 m3911.0 rL
R134 c3 b324 m3511.0 rD
R135 c3 b324 m3511.0 rW
R136 c3 b351 m3835.0 rL
R137 c3 b315 m3484.0 rD
R138 c1 b280 m3484.0 rU
R139 c2 b304 m3764.0 rS
R140 c1 b296 m3612.0 rB
R141 c2 b306 m3316.0 rW
R142 c2 b333 m3622.0 rW
R143 c1 b280 m3955.0 rU
R144 c2 b387 m4235.0 rU
R145 c1 b376 m4622.0 rL
R146 c2 b344 m4246.0 rU
R147 c1 b368 m4590.0 rL
R148 c2 b312 m3854.0 rU
R149 c2 b336 m4166.0 rL
R150 c3 b351 m3830.0 rW
R151 c1 b336 m4181.0 rD
R152 c1 b336 m4181.0 rU
R153 c2 b414 m4517.0 rU
R154 c1 b350 m4931.0 rU
R155 c3 b477 m5281.0 rL
R156 c4 b441 m4804.0 rD
R157 c3 b441 m4804.0 rU
R158 c4 b477 m5245.0 rU
R159 c4 b522 m5722.0 rU
R160 c3 b567 m6244.0 rU
R161 c2 b552 m6811.0 rU
R162 c2 b592 m7363.0 rL
R163 c0 b476 m6771.0 rJ
R164 c0 b525 m7485.0 rL
R165 c2 b560 m6960.0 rD
R166 c0 b420 m6960.0 rU
R167 c-1 b370 m7380.0 rU
R168 c0 b468 m7750.0 rH
R169 c0 b438 m7282.0 rB
R170 c0 b414 m6844.0 rJ
R171 c-2 b375 m7465.0 rW
R172 c-1 b395 m7840.0 rL
R173 c0 b426 m7050.0 rW
R174 c1 b525 m7476.0 rB
R175 c0 b490 m6951.0 rD
R176 c0 b420 m6951.0 rS
R177 c-1 b340 m6741.0 rL
R178 c0 b390 m6401.0 rH
R179 c1 b427 m6011.0 rH
R180 c1 b448 m5584.0 rW
R181 c2 b488 m6032.0 rU
R182 c2 b594 m6520.0 rD
R183 c2 b528 m6520.0 rL
R184 c3 b495 m5464.0 rS
R185 c2 b477 m5216.5 rU
R186 c1 b496 m6170.5 rJ
R187 c1 b490 m6914.5 rS
R188 c1 b536 m6669.5 rS
R189 c2 b520 m6401.5 rL
R190 c3 b531 m5881.5 rU
R191 c3 b585 m6412.5 rS
R192 c3 b558 m6120.0 rH
R193 c3 b504 m5562.0 rL
R194 c2 b408 m5058.0 rU
R195 c2 b440 m5466.0 rJ
R196 c1 b434 m6126.0 rW
R197 c1 b462 m6560.0 rW
R198 c2 b568 m7022.0 rW
R199 c3 b684 m7590.0 rW
R200 c1 b664 m8274.0 rW
R201 c0 b540 m8938.0 rW
R202 c1 b808 m10018.0 rB
R203 c1 b651 m9210.0 rW
R204 c2 b848 m10512.0 rU
R205 c3 b1026 m11360.0 rJ
R206 c2 b1161 m12899.0 rU
R207 c3 b1377 m15221.0 rW
R208 c2 b1328 m16598.0 rL
R209 c3 b1260 m13942.0 rL
R210 c4 b1143 m12682.0 rL
R211 c4 b1044 m11539.0 rL
R212 c3 b945 m10495.0 rU
R213 c3 b1035 m11440.0 rW
R214 c2 b1125 m12475.0 rB
R215 c1 b912 m11350.0 rU
R216 c2 b1107 m12262.0 rJ
R217 c2 b1120 m13923.0 rD
R218 c0 b840 m13923.0 rW
R219 c1 b1036 m14763.0 rH
R220 c1 b966 m13727.0 rU
R221 c1 b1029 m14693.0 rL
R222 c0 b822 m13664.0 rU
R223 c0 b1015 m14486.0 rD
R224 c0 b1015 m14486.0 rU
R225 c0 b936 m15501.0 rW
R226 c-1 b825 m16437.0 rD
R227 c-2 b825 m16437.0 rW
R228 c-2 b865 m17262.0 rS
R229 c-2 b845 m16829.5 rD
R230 c-1 b845 m16829.5 rW
R231 c-1 b930 m18519.5 rU
R232 c-1 b1020 m20379.5 rW
R233 c-2 b1070 m21399.5 rH
R234 c-2 b1020 m20329.5 rU
R235 c0 b1498 m21349.5 rU
R236 c0 b1374 m22847.5 rB
R237 c0 b1290 m21473.5 rH
R238 c0 b1414 m20183.5 rD
R239 c0 b1212 m20183.5 rH
R240 c-1 b950 m18971.5 rH
R241 c0 b1086 m18021.5 rL
R242 c0 b1190 m16935.5 rU
R243 c1 b1358 m19315.5 rU
R244 c0 b1242 m20673.5 rL
R245 c0 b1170 m19431.5 rU
R246 c0 b1449 m20601.5 rU
R247 c1 b1880 m23499.5 rS
R248 c1 b1808 m22559.5 rL
R249 c1 b1664 m20751.5 rL
R250 c2 b1528 m19087.5 rW
R251 c2 b1656 m20615.5 rL
R252 c1 b1330 m18959.5 rL
R253 c1 b1416 m17629.5 rS
R254 c1 b1190 m16921.5 rU
R255 c0 b1092 m18111.5 rW
R256 c1 b1624 m20295.5 rU
R257 c0 b1320 m21919.5 rU
R258 c0 b1722 m24559.5 rU
R259 c1 b2104 m26281.5 rB
R260 c1 b1936 m24177.5 rS
R261 c1 b1631 m23209.5 rW
R262 c0 b1743 m24840.5 rD
R263 c-1 b1245 m24840.5 rW
R264 c-1 b1305 m26085.5 rW
R265 c0 b1918 m27390.5 rL
R266 c1 b1785 m25472.5 rU
R267 c2 b2184 m27257.5 rW
R268 c3 b2853 m31625.5 rW
R269 c1 b2760 m34478.5 rL
R270 c2 b2862 m31718.5 rW
R271 c1 b2768 m34580.5 rH
R272 c1 b2233 m31812.5 rJ
R273 c0 b2112 m35162.5 rL
R274 c1 b2648 m33050.5 rD
R275 c2 b2979 m33050.5 rS
R276 c3 b2844 m31561.0 rU
R277 c2 b2760 m34405.0 rB
R278 c1 b2536 m31645.0 rW
R279 c1 b2394 m34181.0 rS
R280 c0 b2310 m32984.0 rB
R281 c0 b1842 m30674.0 rH
R282 c1 b2023 m28832.0 rL
R283 c0 b1614 m26809.0 rU
R284 c0 b1806 m30037.0 rW
R285 c-1 b1595 m31843.0 rW
R286 c-2 b1675 m33438.0 rW
R287 c-2 b1760 m35113.0 rL
R288 c0 b1896 m31593.0 rW
R289 c0 b2345 m33489.0 rD
R290 c0 b2010 m33489.0 rB
R291 c0 b1890 m31479.0 rL
R292 c0 b2072 m29589.0 rU
R293 c0 b2366 m33733.0 rD
R294 c0 b2028 m33733.0 rU
R295 c-1 b1790 m35761.0 rU
R296 c-2 b1880 m37551.0 rL
R297 c-3 b1428 m35671.0 rD
R298 c-3 b1428 m35671.0 rL
R299 c-4 b1029 m34243.0 rL
R300 c-1 b1610 m32185.0 rL
R301 c-3 b1224 m30575.0 rW
R302 c-3 b1324 m33023.0 rW
R303 c-4 b1032 m34347.0 rS
R304 c-4 b1017 m33831.0 rS
R305 c-3 b1336 m33322.5 rD
R306 c-3 b1336 m33322.5 rU
R307 c-2 b1800 m35994.5 rL
R308 c-1 b1710 m34194.5 rU
R309 c-2 b1800 m35904.5 rL
R310 c-1 b1710 m34104.5 rW
R311 c0 b2256 m37524.5 rU
R312 c0 b2388 m39780.5 rH
R313 c-2 b1870 m37392.5 rD
R314 c-1 b1870 m37392.5 rH
R315 c0 b2359 m33652.5 rL
R316 c0 b1878 m31293.5 rJ
R317 c-1 b1710 m34110.5 rB
R318 c-1 b1625 m32400.5 rH
R319 c0 b1848 m30775.5 rW
R320 c-2 b1635 m32623.5 rL
R321 c0 b2170 m30988.5 rB
R322 c1 b2023 m28818.5 rW
R323 c1 b2163 m30841.5 rU
R324 c1 b2317 m33004.5 rU
R325 c1 b2478 m35321.5 rW
R326 c0 b2646 m37799.5 rU
R327 c0 b2430 m40445.5 rW
R328 c-1 b2145 m42875.5 rD
R329 c0 b2574 m42875.5 rU
R330 c-1 b2275 m45449.5 rU
R331 c-1 b2390 m47724.5 rL
R332 c0 b2724 m45334.5 rW
R333 c0 b2886 m48058.5 rJ
R334 c-2 b2620 m52387.5 rL
R335 c-2 b2490 m49767.5 rJ
R336 c-2 b2680 m53502.5 rL
R337 c-2 b2410 m48142.5 rU
R338 c-2 b2650 m52962.5 rU
R339 c-2 b2785 m55612.5 rL
R340 c0 b3174 m52827.5 rH
R341 c0 b2982 m49653.5 rH
R342 c1 b3736 m46671.5 rB
R343 c1 b3440 m42935.5 rU
R344 c3 b4491 m49815.5 rU
R345 c5 b5440 m54306.5 rL
R346 c5 b4890 m48866.5 rJ
R347 c4 b5067 m56201.5 rW
R348 c3 b5517 m61268.5 rW
R349 c3 b6012 m66785.5 rU
R350 c4 b6552 m72797.5 rU
R351 c3 b7146 m79349.5 rH
R352 c3 b5859 m65057.5 rD
R353 c2 b5208 m65057.5 rL
R354 c0 b4193 m59849.5 rU
R355 c0 b3846 m64042.5 rU
R356 c0 b4308 m71734.5 rS
R357 c0 b4872 m69580.5 rU
R358 c0 b4470 m74452.5 rH
R359 c1 b4900 m69982.5 rU
R360 c0 b4494 m74882.5 rL
R361 c0 b4613 m65894.5 rB
R362 c0 b3678 m61281.5 rL
R363 c0 b3462 m57603.5 rB
R364 c-1 b2710 m54141.5 rH
R365 c-2 b2575 m51431.5 rL
R366 c-1 b2445 m48856.5 rL
R367 c0 b2790 m46411.5 rB
R368 c0 b2622 m43621.5 rL
R369 c1 b2870 m40999.5 rH
R370 c2 b3438 m38129.5 rL
R371 c1 b2429 m34691.5 rU
R372 c1 b3168 m39549.5 rU
R373 c1 b3424 m42717.5 rU
R374 c0 b3234 m46141.5 rD
R375 c0 b2772 m46141.5 rL
R376 c0 b3038 m43369.5 rU
R377 c0 b3255 m46407.5 rW
R378 c1 b3976 m49662.5 rW
R379 c2 b4616 m57614.5 rL
R380 c2 b4356 m48382.5 rU
R381 c2 b4752 m52738.5 rH
R382 c3 b4320 m47986.5 rS
R383 c3 b4131 m45826.5 rL
R384 c4 b3384 m37564.5 rB
R385 c3 b3078 m34180.5 rU
R386 c1 b2984 m37258.5 rW
R387 c1 b3224 m40242.5 rL
R388 c1 b2704 m33794.5 rJ
R389 c1 b2653 m37850.5 rB
R390 c1 b2464 m35197.5 rW
R391 c1 b3016 m37661.5 rB
R392 c1 b2776 m34645.5 rS
R393 c2 b2664 m33257.5 rW
R394 c0 b2520 m35921.5 rB
R395 c0 b2010 m33401.5 rH
R396 c0 b1884 m31391.5 rH
R397 c0 b1776 m29507.5 rS
R398 c-1 b1435 m28619.5 rD
R399 c0 b1722 m28619.5 rB
R400 c0 b1614 m26897.5 rW
R401 c0 b1812 m30125.5 rW
R402 c0 b2028 m33749.5 rW
R403 c-2 b1790 m35777.5 rU
R404 c0 b2364 m39357.5 rB
R405 c-1 b1850 m36993.5 rH
R406 c-2 b1760 m35143.5 rU
R407 c-3 b1480 m36903.5 rW
R408 c-5 b1152 m38383.5 rW
R409 c-4 b1188 m39535.5 rL
R410 c-4 b1152 m38347.5 rU
R411 c-3 b1580 m39499.5 rD
R412 c-3 b1580 m39499.5 rW
R413 c-4 b1233 m41079.5 rH
R414 c-2 b1995 m39846.5 rL
R415 c-2 b1895 m37851.5 rU
R416 c-2 b1990 m39746.5 rL
R417 c-2 b1890 m37756.5 rU
R418 c-1 b2080 m41536.5 rL
R419 c-2 b1975 m39456.5 rL
R420 c0 b2250 m37481.5 rW
R421 c0 b2388 m39731.5 rL
R422 c0 b2244 m37343.5 rH
R423 c0 b2457 m35099.5 rL
R424 c0 b2289 m32642.5 rH
R425 c-1 b1520 m30353.5 rL
R426 c-1 b1445 m28833.5 rL
R427 c0 b1644 m27388.5 rJ
R428 c-1 b1495 m29854.5 rB
R429 c0 b1988 m28359.5 rW
R430 c1 b2128 m30347.5 rS
R431 c0 b2051 m29283.5 rW
R432 c0 b2198 m31334.5 rL
R433 c1 b2336 m29136.5 rL
R434 c2 b2421 m26800.5 rL
R435 c1 b1952 m24379.5 rJ
R436 c0 b1644 m27307.5 rH
R437 c0 b1687 m24019.5 rB
R438 c0 b1344 m22332.5 rW
R439 c0 b1422 m23676.5 rW
R440 c-2 b1255 m25098.5 rB
R441 c-2 b1195 m23843.5 rL
R442 c-1 b1075 m21453.5 rW
R443 c0 b1356 m22528.5 rW
R444 c0 b1673 m23884.5 rL
R445 c2 b1784 m22211.5 rL
R446 c1 b1435 m20427.5 rL
R447 c2 b1520 m18992.5 rW
R448 c1 b1648 m20512.5 rU
R449 c1 b1776 m22160.5 rL
R450 c2 b1836 m20384.5 rD
R451 c2 b1836 m20384.5 rS
R452 c3 b1755 m19466.5 rL
R453 c2 b1602 m17711.5 rL
R454 c1 b1296 m16109.5 rB
R455 c1 b1043 m14813.5 rL
R456 c0 b828 m13770.5 rU
R457 c-1 b730 m14598.5 rU
R458 c-2 b770 m15328.5 rS
R459 c-3 b600 m14943.5 rL
R460 c-1 b690 m13743.5 rU
R461 c0 b870 m14433.5 rW
R462 c0 b924 m15303.5 rH
R463 c0 b864 m14379.5 rB
R464 c0 b816 m13515.5 rB
R465 c0 b762 m12699.5 rU
R466 c0 b945 m13461.5 rU
R467 c0 b1015 m14406.5 rW
R468 c3 b1485 m16436.5 rB
R469 c3 b1350 m14951.5 rW
R470 c3 b1476 m16301.5 rU
R471 c2 b1602 m17777.5 rU
R472 c2 b1552 m19379.5 rU
R473 c2 b2025 m22483.5 rH
R474 c1 b1640 m20458.5 rU
R475 c1 b1547 m22098.5 rJ
R476 c0 b1470 m24419.5 rL
R477 c-1 b1150 m22949.5 rB
R478 c-1 b1090 m21799.5 rU
R479 c-2 b1145 m22889.5 rU
R480 c-2 b1205 m24034.5 rH
R481 c-1 b1145 m22829.5 rD
R482 c0 b1374 m22829.5 rJ
R483 c0 b1494 m24890.5 rH
R484 c-1 b1170 m23396.5 rW
R485 c-1 b1230 m24566.5 rW
R486 c-3 b1032 m25796.5 rW
R487 c0 b1674 m27860.5 rS
R488 c0 b1626 m27023.5 rU
R489 c0 b2009 m28649.5 rL
R490 c1 b1869 m26640.5 rJ
R491 c0 b1770 m29444.5 rH
R492 c0 b1662 m27674.5 rB
R493 c-1 b1305 m26012.5 rW
R494 c-1 b1370 m27317.5 rU
R495 c-1 b1435 m28687.5 rB
R496 c-1 b1365 m27252.5 rW
R497 c0 b1722 m28617.5 rU
R498 c-1 b1520 m30339.5 rD
R499 c0 b2128 m30339.5 rH
R500 c0 b1981 m28211.5 rW
R501 c0 b1812 m30192.5 rB
R502 c-1 b1420 m28380.5 rS
R503 c-1 b1385 m27670.5 rB
R504 c0 b1578 m26285.5 rU
R505 c-1 b1475 m29441.5 rS
R506 c-1 b1440 m28704.0 rB
R507 c-2 b1365 m27264.0 rU
R508 c-1 b1435 m28629.0 rH
R509 c0 b1632 m27194.0 rU
R510 c0 b2023 m28826.0 rW
R511 c0 b2163 m30849.0 rW
R512 c0 b2317 m33012.0 rU
R513 c0 b2478 m35329.0 rL
R514 c1 b2303 m32851.0 rL
R515 c0 b2142 m30548.0 rU
R516 c0 b2289 m32690.0 rD
R517 c0 b1962 m32690.0 rL
R518 c0 b1848 m30728.0 rU
R519 c-1 b1630 m32576.0 rW
R520 c0 b2154 m35836.0 rL
R521 c2 b2528 m31528.0 rW
R522 c1 b2728 m34056.0 rS
R523 c1 b2616 m32692.0 rL
R524 c2 b2709 m30076.0 rW
R525 c2 b2952 m32785.0 rL
R526 c2 b2392 m29833.0 rD
R527 c1 b2093 m29833.0 rH
R528 c0 b1668 m27740.0 rL
R529 c-1 b1305 m26072.0 rL
R530 c-2 b1240 m24767.0 rB
R531 c-2 b1180 m23527.0 rU
R532 c-1 b1240 m24707.0 rH
R533 c0 b1410 m23467.0 rW
R534 c-2 b1245 m24877.0 rD
R535 c-2 b1245 m24877.0 rL
R536 c0 b1344 m22387.0 rU
R537 c-1 b1190 m23731.0 rU
R538 c-2 b1250 m24921.0 rL
R539 c0 b1422 m23671.0 rW
R540 c0 b1506 m25093.0 rL
R541 c1 b1652 m23587.0 rU
R542 c0 b1518 m25239.0 rD
R543 c0 b1518 m25239.0 rU
R544 c0 b1608 m26757.0 rH
R545 c0 b1512 m25149.0 rU
R546 c0 b1602 m26661.0 rL
R547 c0 b1757 m25059.0 rL
R548 c-1 b1170 m23302.0 rD
R549 c-1 b1170 m23302.0 rB
R550 c-1 b1110 m22132.0 rH
R551 c0 b1266 m21022.0 rL
R552 c0 b1386 m19756.0 rU
R553 c-1 b1060 m21142.0 rU
R554 c0 b1338 m22202.0 rU
R555 c-1 b1180 m23540.0 rH
R556 c-2 b1120 m22360.0 rS
R557 c-2 b1090 m21800.0 rU
R558 c-3 b916 m22890.0 rH
R559 c-3 b880 m21974.0 rH
R560 c-1 b1015 m20214.0 rW
R561 c-2 b1065 m21229.0 rS
R562 c-2 b1035 m20696.5 rB
R563 c-3 b788 m19661.5 rB
R564 c-3 b756 m18873.5 rD
R565 c-3 b756 m18873.5 rW
R566 c-4 b591 m19629.5 rB
R567 c-5 b573 m19038.5 rL
R568 c-5 b555 m18465.5 rL
R569 c-4 b540 m17910.5 rB
R570 c-3 b696 m17370.5 rJ
R571 c-3 b740 m18414.5 rH
