============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: Z
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R168 c-2 b525 m10430.5 rL
R169 c-2 b500 m9905.5 rU
R170 c-5 b330 m10905.5 rW
R171 c-4 b339 m11235.5 rL
R172 c-7 b218 m10896.5 rL
R173 c-4 b315 m10460.5 rU
R174 c-4 b324 m10775.5 rU
R175 c-4 b333 m11099.5 rU
R176 c0 b690 m11432.5 rJ
R177 c1 b1000 m12467.5 rS
R178 c1 b840 m11967.5 rS
R179 c0 b696 m11547.5 rB
R180 c0 b654 m10851.5 rL
R181 c0 b612 m10197.5 rS
R182 c-1 b495 m9891.5 rL
R183 c0 b658 m9396.5 rU
R184 c0 b707 m10054.5 rD
R185 c0 b606 m10054.5 rU
R186 c-1 b535 m10660.5 rU
R187 c-1 b560 m11195.5 rL
R188 c0 b642 m10635.5 rD
R189 c-2 b535 m10635.5 rW
R190 c-2 b590 m11705.5 rL
R191 c-4 b336 m11115.5 rB
R192 c-3 b432 m10779.5 rU
R193 c-4 b339 m11211.5 rW
R194 c-6 b232 m11550.5 rL
R195 c-2 b570 m11318.5 rU
R196 c-1 b595 m11888.5 rL
R197 c0 b678 m11293.5 rU
R198 c0 b889 m12649.5 rU
R199 c3 b1305 m14427.5 rL
R200 c0 b924 m13122.5 rW
R201 c1 b987 m14046.5 rU
R202 c2 b1359 m15033.5 rJ
R203 c3 b1539 m17072.5 rB
R204 c3 b1404 m15533.5 rD
R205 c-1 b780 m15533.5 rB
R206 c-2 b740 m14753.5 rU
R207 c-1 b815 m16233.5 rS
R208 c-2 b795 m15826.0 rU
R209 c-3 b668 m16621.0 rU
R210 c-1 b900 m17957.0 rJ
R211 c-2 b970 m19307.0 rL
R212 c-3 b736 m18337.0 rD
R213 c-3 b736 m18337.0 rW
R214 c-3 b764 m19073.0 rW
R215 c-2 b995 m19837.0 rD
R216 c-1 b995 m19837.0 rD
R217 c-2 b995 m19837.0 rH
R218 c0 b1134 m18842.0 rU
R219 c1 b1400 m19976.0 rH
R220 c-1 b930 m18576.0 rL
R221 c0 b1062 m17646.0 rS
R222 c0 b1032 m17115.0 rW
R223 c0 b1274 m18147.0 rU
R224 c0 b1170 m19421.0 rL
R225 c-2 b915 m18251.0 rU
R226 c-4 b576 m19166.0 rL
R227 c-4 b558 m18590.0 rD
R228 c-4 b558 m18590.0 rD
R229 c-2 b930 m18590.0 rU
R230 c0 b1372 m19520.0 rU
R231 c1 b1672 m20892.0 rD
R232 c3 b1881 m20892.0 rU
R233 c4 b2280 m22773.0 rH
R234 c1 b1435 m20493.0 rL
R235 c-1 b955 m19058.0 rU
R236 c0 b1206 m20013.0 rS
R237 c-1 b975 m19410.0 rU
R238 c0 b1224 m20385.0 rU
