============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: Z
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rL
R2 c4 b846 m9400 rL
R3 c2 b702 m7708 rW
R4 c1 b595 m8410 rB
R5 c1 b553 m7815 rW
R6 c2 b810 m8921 rL
R7 c2 b656 m8111 rB
R8 c0 b450 m7455 rB
R9 c-1 b355 m7005 rU
R10 c-2 b370 m7360 rS
R11 c-3 b288 m7175.0 rU
R12 c-1 b375 m7463.0 rU
R13 c-1 b395 m7838.0 rL
R14 c-1 b375 m7443.0 rH
R15 c4 b639 m7068.0 rW
R16 c4 b780 m7707.0 rL
R17 c5 b700 m6927.0 rD
R18 c5 b700 m6927.0 rB
R19 c3 b567 m6227.0 rU
R20 c0 b408 m6794.0 rU
R21 c0 b462 m7610.0 rW
R22 c0 b567 m8072.0 rU
R23 c-1 b435 m8639.0 rL
R24 c3 b747 m8204.0 rD
R25 c2 b747 m8204.0 rU
R26 c3 b810 m8951.0 rW
R27 c4 b882 m9761.0 rL
R28 c6 b890 m8879.0 rL
R29 c6 b710 m7099.0 rL
R30 c5 b640 m6389.0 rS
R31 c6 b671 m6069.0 rH
R32 c5 b540 m5398.0 rL
R33 c5 b490 m4858.0 rD
R34 c5 b490 m4858.0 rL
R35 c3 b396 m4368.0 rU
R36 c5 b480 m4764.0 rU
R37 c4 b530 m5244.0 rU
R38 c3 b522 m5774.0 rB
R39 c1 b371 m5252.0 rU
R40 c-1 b285 m5623.0 rJ
R41 c-1 b305 m6051.0 rW
R42 c-3 b256 m6356.0 rL
R43 c-3 b244 m6100.0 rL
R44 c-3 b236 m5856.0 rB
R45 c-3 b228 m5620.0 rL
R46 c-1 b270 m5392.0 rD
R47 c-5 b162 m5392.0 rL
R48 c-5 b159 m5230.0 rS
R49 c-6 b104 m5150.5 rU
R50 c-5 b159 m5254.5 rL
R51 c-2 b255 m5095.5 rU
R52 c1 b456 m5605.5 rD
