============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rU
R2 c-1 b530 m10600 rH
R3 c-1 b505 m10070 rW
R4 c0 b636 m10575 rS
R5 c0 b618 m10257.0 rU
R6 c0 b763 m10875.0 rB
R7 c0 b612 m10112.0 rW
R8 c0 b648 m10724.0 rL
R9 c0 b707 m10076.0 rS
R10 c0 b686 m9722.5 rL
R11 c1 b728 m9036.5 rU
R12 c2 b882 m9764.5 rW
R13 c2 b1044 m11528.5 rW
R14 c1 b1008 m12572.5 rU
R15 c1 b1088 m13580.5 rL
R16 c1 b1000 m12492.5 rL
R17 c0 b805 m11492.5 rH
R18 c0 b749 m10687.5 rW
R19 c0 b805 m11436.5 rL
R20 c2 b963 m10631.5 rU
R21 c2 b1044 m11594.5 rU
R22 c2 b1143 m12638.5 rL
R23 c1 b920 m11495.5 rW
R24 c2 b1072 m13335.5 rL
R25 c2 b1107 m12263.5 rH
R26 c1 b896 m11156.5 rW
R27 c1 b968 m12052.5 rS
R28 c1 b928 m11568.5 rW
R29 c1 b1080 m13424.5 rU
R30 c1 b1168 m14504.5 rH
R31 c4 b1098 m12168.5 rS
R32 c4 b1053 m11619.5 rJ
R33 c3 b1188 m13199.5 rL
R34 c4 b1210 m12011.5 rH
R35 c2 b981 m10801.5 rW
R36 c3 b1062 m11782.5 rL
R37 c3 b972 m10720.5 rU
R38 c4 b1053 m11692.5 rW
R39 c3 b1152 m12745.5 rU
R40 c3 b1251 m13897.5 rD
R41 c2 b1251 m13897.5 rS
R42 c2 b1197 m13272.0 rW
R43 c3 b1413 m15666.0 rL
R44 c2 b1287 m14253.0 rL
R45 c2 b1170 m12966.0 rU
R46 c2 b1278 m14136.0 rS
R47 c2 b1215 m13497.0 rL
R48 c5 b1230 m12282.0 rL
R49 c6 b1221 m11052.0 rU
R50 c7 b1353 m12273.0 rL
R51 c10 b1320 m10920.0 rL
R52 c10 b1152 m9600.0 rU
R53 c10 b1296 m10752.0 rL
R54 c10 b1140 m9456.0 rW
R55 c8 b1272 m10596.0 rS
R56 c9 b1200 m9960.0 rJ
R57 c9 b1416 m11760.0 rD
R58 c7 b1298 m11760.0 rW
R59 c6 b1441 m13058.0 rL
R60 c7 b1287 m11617.0 rU
R61 c8 b1560 m12904.0 rL
R62 c7 b1254 m11344.0 rH
R63 c7 b1111 m10090.0 rB
R64 c6 b990 m8979.0 rL
R65 c6 b880 m7989.0 rD
R66 c6 b880 m7989.0 rL
R67 c5 b720 m7109.0 rS
R68 c6 b680 m6749.0 rW
R69 c7 b825 m7429.0 rU
R70 c6 b913 m8254.0 rL
R71 c6 b814 m7341.0 rW
R72 c6 b820 m8155.0 rU
R73 c6 b990 m8975.0 rL
R74 c7 b880 m7985.0 rW
R75 c6 b979 m8865.0 rD
R76 c7 b979 m8865.0 rU
R77 c8 b1188 m9844.0 rU
R78 c8 b1332 m11032.0 rH
R79 c11 b1008 m8368.0 rD
R80 c9 b1008 m8368.0 rB
R81 c9 b888 m7360.0 rU
R82 c8 b996 m8248.0 rU
R83 c8 b1116 m9244.0 rU
R84 c7 b1144 m10360.0 rU
R85 c7 b1276 m11504.0 rS
R86 c7 b1199 m10866.0 rL
R87 c7 b1067 m9667.0 rU
R88 c9 b1296 m10734.0 rW
R89 c8 b1452 m12030.0 rL
R90 c9 b1104 m9126.0 rL
R91 c10 b972 m8022.0 rD
R92 c10 b972 m8022.0 rL
R93 c10 b852 m7050.0 rH
R94 c10 b744 m6198.0 rW
R95 c9 b840 m6942.0 rB
R96 c9 b744 m6102.0 rL
R97 c10 b648 m5358.0 rL
R98 c11 b576 m4710.0 rU
R99 c11 b636 m5286.0 rD
R100 c11 b636 m5286.0 rL
R101 c12 b564 m4650.0 rU
R102 c11 b636 m5214.0 rW
R103 c11 b708 m5850.0 rW
R104 c11 b792 m6558.0 rU
R105 c13 b888 m7350.0 rJ
R106 c13 b1044 m8682.0 rH
R107 c13 b924 m7638.0 rU
R108 c13 b1032 m8562.0 rU
R109 c13 b1152 m9594.0 rU
R110 c14 b1296 m10746.0 rU
R111 c14 b1452 m12042.0 rD
R112 c12 b1452 m12042.0 rH
R113 c11 b1272 m10590.0 rL
R114 c11 b1128 m9318.0 rH
R115 c12 b852 m7062.0 rU
