============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rU
R2 c1 b784 m11200 rW
R3 c-1 b600 m11984 rU
R4 c-2 b630 m12584 rL
R5 c-1 b600 m11954 rL
R6 c0 b684 m11354 rU
R7 c1 b1024 m12722 rB
R8 c1 b936 m11698 rJ
R9 c0 b792 m13102 rU
R10 c0 b973 m13894 rW
R11 c1 b1043 m14867 rU
R12 c0 b960 m15910 rU
R13 c1 b1352 m16870 rW
R14 c2 b1647 m18222 rB
R15 c2 b1494 m16575 rL
R16 c1 b1208 m15081 rU
R17 c3 b1575 m17497 rL
R18 c1 b1280 m15922 rU
R19 c1 b1211 m17202 rU
R20 c2 b1665 m18413 rU
R21 c1 b1608 m20078 rS
R22 c2 b1544 m19274.0 rB
R23 c2 b1602 m17730.0 rW
R24 c1 b1552 m19332.0 rU
R25 c1 b1463 m20884.0 rD
R26 c2 b1672 m20884.0 rU
R27 c2 b1944 m24228.0 rL
R28 c3 b2007 m22284.0 rW
R29 c4 b2430 m24291.0 rU
R30 c5 b2680 m26721.0 rH
R31 c6 b2410 m24041.0 rW
R32 c6 b2915 m26451.0 rU
R33 c7 b3234 m29366.0 rD
R34 c6 b3234 m29366.0 rL
R35 c6 b2882 m26132.0 rD
R36 c4 b2620 m26132.0 rB
R37 c4 b2360 m23512.0 rL
R38 c5 b2120 m21152.0 rW
R39 c3 b2097 m23272.0 rB
R40 c3 b1908 m21175.0 rH
R41 c3 b1737 m19267.0 rL
R42 c2 b1584 m17530.0 rL
R43 c3 b1440 m15946.0 rL
R44 c4 b1310 m13066.0 rS
R45 c4 b1250 m12411.0 rL
R46 c4 b1120 m11161.0 rL
R47 c6 b990 m8921.0 rW
R48 c7 b1100 m9911.0 rU
R49 c8 b1342 m12111.0 rB
R50 c8 b1188 m10769.0 rU
R51 c6 b1320 m11957.0 rW
R52 c6 b1330 m13277.0 rB
R53 c6 b1200 m11947.0 rW
R54 c5 b1320 m13147.0 rB
R55 c4 b1190 m11827.0 rL
R56 c6 b1070 m10637.0 rW
R57 c6 b1408 m12777.0 rL
R58 c7 b1100 m9961.0 rB
R59 c7 b979 m8861.0 rL
R60 c8 b840 m6903.0 rB
R61 c7 b671 m6063.0 rL
R62 c6 b594 m5392.0 rW
R63 c7 b660 m5986.0 rU
R64 c7 b737 m6646.0 rJ
R65 c8 b858 m7752.0 rW
R66 c8 b1140 m9468.0 rL
R67 c9 b1008 m8328.0 rW
R68 c8 b1128 m9336.0 rW
R69 c8 b1392 m11592.0 rW
R70 c8 b1560 m12984.0 rD
R71 c8 b1560 m12984.0 rW
R72 c8 b1606 m14544.0 rB
R73 c8 b1560 m12938.0 rU
R74 c8 b1740 m14498.0 rS
R75 c7 b1507 m13628.0 rU
R76 c6 b1672 m15135.0 rL
R77 c8 b1485 m13463.0 rL
R78 c7 b1320 m11978.0 rL
R79 c7 b1177 m10658.0 rB
R80 c7 b1045 m9481.0 rS
R81 c6 b990 m8958.5 rH
R82 c7 b880 m7968.5 rL
R83 c7 b781 m7088.5 rD
R84 c5 b710 m7088.5 rB
R85 c6 b640 m6378.5 rL
R86 c5 b580 m5738.5 rL
R87 c6 b506 m4578.5 rW
R88 c6 b510 m5084.5 rL
R89 c5 b460 m4574.5 rL
R90 c5 b370 m3654.5 rL
R91 c5 b330 m3284.5 rD
R92 c4 b330 m3284.5 rU
R93 c6 b440 m3944.5 rS
R94 c7 b418 m3724.5 rH
R95 c7 b374 m3306.5 rS
R96 c6 b352 m3119.5 rS
R97 c6 b330 m2943.5 rU
R98 c7 b363 m3273.5 rL
R99 c9 b312 m2547.5 rH
R100 c9 b276 m2235.5 rW
R101 c8 b312 m2511.5 rD
R102 c8 b312 m2511.5 rW
R103 c8 b319 m2823.5 rU
R104 c7 b352 m3142.5 rS
R105 c7 b330 m2966.5 rD
R106 c7 b330 m2966.5 rW
R107 c8 b444 m3626.5 rJ
R108 c7 b473 m4292.5 rS
R109 c7 b451 m4056.0 rL
R110 c8 b444 m3605.0 rH
R111 c7 b352 m3161.0 rU
R112 c8 b432 m3513.0 rW
R113 c9 b480 m3945.0 rL
R114 c10 b360 m2985.0 rL
R115 c10 b324 m2625.0 rU
R116 c11 b360 m2949.0 rU
R117 c10 b408 m3309.0 rU
