============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R1 c0 b600 m10000 rL
R2 c1 b658 m9400 rU
R3 c0 b606 m10058 rU
R4 c0 b642 m10664 rS
R5 c-1 b520 m10343.0 rL
R6 c-1 b495 m9823.0 rL
R7 c0 b564 m9328.0 rW
R8 c1 b792 m9892.0 rU
R9 c2 b963 m10684.0 rL
R10 c2 b784 m9721.0 rU
R11 c2 b954 m10505.0 rD
R12 c2 b954 m10505.0 rU
R13 c2 b1035 m11459.0 rL
R14 c2 b945 m10424.0 rW
R15 c2 b1026 m11369.0 rW
R16 c1 b992 m12395.0 rB
R17 c0 b805 m11403.0 rW
R18 c1 b984 m12208.0 rS
R19 c1 b944 m11716.0 rW
R20 c0 b889 m12660.0 rW
R21 c0 b1015 m14438.0 rB
R22 c1 b945 m13423.0 rW
R23 c1 b1008 m14368.0 rW
R24 c0 b1078 m15376.0 rS
R25 c0 b1043 m14837.0 rJ
R26 c1 b1320 m16402.0 rB
R27 c1 b1057 m15082.0 rL
R28 c3 b1269 m14025.0 rW
R29 c3 b1377 m15294.0 rS
R30 c2 b1323 m14605.5 rU
R31 c5 b1730 m17251.5 rH
R32 c6 b1716 m15521.5 rU
R33 c6 b1903 m17237.5 rH
R34 c7 b1694 m15334.5 rW
R35 c4 b1710 m17028.5 rW
R36 c3 b1692 m18738.5 rH
R37 c4 b1539 m17046.5 rL
R38 c6 b1716 m15507.5 rD
R39 c5 b1560 m15507.5 rU
R40 c4 b1710 m17067.5 rL
R41 c3 b1386 m15357.5 rW
R42 c2 b1512 m16743.5 rL
R43 c4 b1377 m15231.5 rD
R44 c4 b1530 m15231.5 rW
R45 c6 b1680 m16761.5 rB
R46 c5 b1510 m15081.5 rS
R47 c5 b1440 m14326.5 rJ
R48 c6 b1815 m16486.5 rU
R49 c6 b2024 m18301.5 rU
R50 c6 b2244 m20325.5 rU
R51 c4 b2260 m22569.5 rW
R52 c5 b2490 m24829.5 rU
R53 c6 b3014 m27319.5 rB
R54 c6 b2684 m24305.5 rB
R55 c5 b2170 m21621.5 rU
R56 c5 b2380 m23791.5 rJ
R57 c4 b2740 m27361.5 rU
R58 c6 b3322 m30101.5 rU
R59 c6 b3685 m33423.5 rB
R60 c6 b3278 m29738.5 rW
R61 c6 b3310 m33016.5 rU
R62 c5 b3640 m36326.5 rH
R63 c6 b3201 m29046.5 rS
R64 c6 b3025 m27446.0 rS
R65 c6 b2860 m25933.5 rL
R66 c4 b2310 m23073.5 rB
R67 c5 b2080 m20763.5 rW
R68 c5 b2290 m22843.5 rD
R69 c5 b2290 m22843.5 rW
R70 c8 b3025 m27423.5 rU
R71 c8 b3355 m30448.5 rU
R72 c8 b4068 m33803.5 rU
R73 c8 b4548 m37871.5 rS
R74 c8 b4272 m35597.5 rW
R75 c6 b4389 m39869.5 rJ
R76 c6 b4650 m46453.5 rH
R77 c7 b4609 m41803.5 rU
R78 c7 b5115 m46412.5 rL
R79 c8 b4956 m41297.5 rU
R80 c7 b5093 m46253.5 rS
R81 c7 b4818 m43707.0 rL
R82 c9 b4092 m34071.0 rW
R83 c7 b4202 m38163.0 rW
R84 c8 b5088 m42365.0 rW
R85 c8 b6312 m52541.0 rU
R86 c8 b7068 m58853.0 rL
R87 c9 b6216 m51785.0 rH
R88 c10 b4728 m39353.0 rU
R89 c11 b5868 m48809.0 rW
R90 c11 b6564 m54677.0 rL
R91 c13 b4992 m41549.0 rH
R92 c12 b4392 m36557.0 rU
R93 c10 b4920 m40949.0 rL
R94 c9 b4332 m36029.0 rW
R95 c9 b4848 m40361.0 rL
R96 c9 b4272 m35513.0 rH
R97 c9 b3756 m31241.0 rW
R98 c9 b4200 m34997.0 rS
R99 c10 b3948 m32897.0 rS
R100 c10 b3720 m30923.0 rU
R101 c11 b4608 m38363.0 rU
R102 c11 b5160 m42971.0 rU
R103 c11 b5784 m48131.0 rJ
R104 c10 b6828 m56807.0 rH
R105 c9 b6000 m49979.0 rH
R106 c8 b4840 m43979.0 rW
R107 c8 b5379 m48819.0 rU
R108 c9 b6504 m54198.0 rB
R109 c9 b5724 m47694.0 rL
R110 c9 b5040 m41970.0 rW
R111 c8 b5652 m47010.0 rW
R112 c10 b7008 m58314.0 rU
R113 c10 b8688 m72330.0 rL
