============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R167 c17 b3864 m32185.5 rU
R168 c17 b4332 m36049.5 rL
R169 c18 b3816 m31717.5 rL
R170 c17 b3360 m27901.5 rW
R171 c17 b4164 m34621.5 rJ
R172 c16 b4908 m40867.5 rB
R173 c16 b4320 m35959.5 rU
R174 c16 b5352 m44599.5 rL
R175 c16 b4716 m39247.5 rL
R176 c17 b3588 m29815.5 rB
R177 c17 b3156 m26227.5 rL
R178 c17 b2772 m23071.5 rL
R179 c18 b2436 m20299.5 rU
R180 c17 b2736 m22735.5 rS
R181 c17 b2568 m21367.5 rU
R182 c16 b2880 m23935.5 rU
R183 c16 b3564 m29695.5 rH
R184 c16 b2712 m22567.5 rH
R185 c15 b2388 m19855.5 rW
R186 c17 b2676 m22243.5 rU
R187 c17 b3000 m24919.5 rL
R188 c15 b2640 m21919.5 rU
R189 c15 b3264 m27199.5 rB
R190 c16 b2880 m23935.5 rW
R191 c17 b3228 m26815.5 rS
R192 c16 b3036 m25201.5 rL
R193 c17 b2664 m22165.5 rW
R194 c16 b2988 m24829.5 rS
R195 c16 b2808 m23335.5 rJ
R196 c15 b3312 m27547.5 rH
R197 c17 b2520 m20923.5 rH
R198 c15 b2220 m18403.5 rS
R199 c14 b2076 m17293.5 rW
R200 c14 b2328 m19369.5 rL
R201 c15 b2052 m17041.5 rW
R202 c16 b2292 m19093.5 rU
R203 c17 b2568 m21385.5 rU
R204 c19 b2880 m23953.5 rL
R205 c18 b2532 m21073.5 rH
R206 c17 b2232 m18541.5 rJ
R207 c16 b2628 m21889.5 rU
R208 c16 b2952 m24517.5 rW
R209 c17 b3660 m30421.5 rJ
R210 c16 b4320 m35911.5 rD
R211 c15 b4320 m35911.5 rW
R212 c15 b4836 m40231.5 rH
R213 c16 b3672 m30559.5 rU
R214 c16 b4116 m34231.5 rW
R215 c15 b4608 m38347.5 rJ
R216 c14 b5436 m45259.5 rU
R217 c14 b6744 m56131.5 rL
R218 c16 b5928 m49387.5 rU
R219 c16 b6648 m55315.5 rU
R220 c16 b7440 m61963.5 rH
R221 c18 b6552 m54523.5 rW
R222 c19 b7332 m61075.5 rW
R223 c18 b8220 m68407.5 rU
R224 c18 b9204 m76627.5 rS
R225 c18 b8652 m72025.5 rL
